msc_013020_0010#0,"""모두, 와줘서 고마워."""
msc_013020_0020#0,"""센트럴 캐논은 어때?"""
msc_013020_0030#0,"""응, 지난번 싸움에서 센트럴 캐논이 <br> 다크 펄스에 유효하다는 것을 알았어."""
msc_013020_0040#0,"""그렇다고는 해도 단 한 발에 포신이 파손되어 버려서 말야. <br>복구는 진행되고 있지만 동시에 개량도 해야할 것 같아."""
msc_013020_0050#0,"""얼마전, 다크 펄스와의 큰 전투가 있었어."""
msc_013020_0060#0,"""급한 상황이긴 했지만 센트럴 캐논을 써서 <br>어떻게든 격퇴할 수 있었어."""
msc_013020_0070#0,"""하지만 단 한 발에 포신이 파손되어 버려서 말야. <br>복구는 진행되고 있지만 동시에 개량도 해야할 것 같아."""
msc_013020_0080#0,"""특히 문제는 발사기 내부와 포신이야."""
msc_013020_0090#0,"""고압축된 포톤을 단숨에 사출하기에는<br>포톤 가속기의 성능과 포신의 강도가 압도적으로 부족해..."""
msc_013020_0100#0,"""그래서 내 친구이기도 한 연구자의 도움을 받고 있었어. <br>개량을 위한 유익한 정보를 얻었다고 연락이 왔었는데..."""
msc_013020_0110#0,"""무슨 문제라도?"""
msc_013020_0120#0,"""실은 요 며칠동안 연락이 되지 않아서..."""
msc_013020_0130#0,"""에?"""
msc_013020_0140#0,"""그의 여동생에게 물어봤더니 <br>아무래도 행방불명이 된 것 같다고 해."""
msc_013020_0150#0,"""그런..."""
msc_013020_0160#0,"""이번에는 너희가 그 친구를 찾아 줬으면 해. <br>부탁해도 될까? """
msc_013020_0170#0,"""알겠어."""
msc_013020_0180#0,"""이게 그가 사는 “크바리스 리전”이야. <br>모두 이곳으로 가주길 바래."""
msc_013020_0190#0,"""이미 알고있는 사람도 많겠지만 크바리스 리전은<br>수 십 년 전에 포기해버린 상태 그대로야."""
msc_013020_0200#0,"""이곳에는 과거 센트럴 시티의 전신이 되는<br>수도가 있었는데..."""
msc_013020_0210#0,"""돌즈와의 싸움에서 <br>결국 손을 뗄 수밖에 없었다고 해."""
msc_013020_0220#0,"""친구의 이름은 이루마. 어리지만 아주 우수한 연구자야.<br>센트럴 캐논의 완성에는 그의 힘이 필요해."""
msc_013020_0230#0,"""게다가... 친구로서 그의 안부가 너무 걱정돼. <br>부디 잘 부탁할게."""
