msc_013230_0010#0,"""다녀왔어~!"""
msc_013230_0020#0,"""오오!\u3000너희도 돌아왔군!<br>무사해서 다행이야!"""
msc_013230_0030#0,"""타이바스랑 툴리한테 들었어.<br>같이 싸워 줬다며?"""
msc_013230_0040#0,"""아, 응.<br>제대로 만났어."""
msc_013230_0050#0,"""두 사람을 구해줘서 고마워."""
msc_013230_0060#0,"""아냐.<br>힘들 땐 서로 도와야지."""
msc_013230_0070#0,"""도와줄게."""
msc_013230_0080#0,"""응……그럼 부탁할게."""
msc_013230_0090#0,"""짐작 가는 돌즈 소굴은 전부 털어봤지만…,<br>이루마의 흔적은 없었다."""
msc_013230_0100#0,"""그렇군……이 리전에선 더 이상 찾을 곳이 없는데.<br>으음…."""
msc_013230_0110#0,"""이럴 때 이루마가 있었으면<br>좋은 아이디어를 내 줬을텐데."""
msc_013230_0120#0,"""그 이루마가 없잖아…."""
msc_013230_0130#0,"""나도 알아."""
msc_013230_0140#0,"""좋아!\u3000찾아 본 곳을 처음부터 샅샅이 돌아보자!<br>빠트린 게 있을지도 몰라."""
msc_013230_0150#0,"""……난 따로 찾아볼 곳이 있어."""
msc_013230_0160#0,"""응?\u3000어딘데?"""
msc_013230_0170#0,"""로스트 센트럴…."""
msc_013230_0180#0,"""그게 무슨 소리야!\u3000거긴 안 돼!"""
msc_013230_0190#0,"""이루마가 로스트 센트럴에<br>관심을 갖고 있긴 했지만……거기 가진 않았을 거야."""
msc_013230_0200#0,"""하지만 남은 곳은 거기 밖에 없어."""
msc_013230_0210#0,"""안 돼!\u3000위험해!"""
msc_013230_0220#0,"""장남으로서 널 거기 보낼 순 없어!<br>애초에 넌 매번 그렇게 혼자 다니잖아!"""
msc_013230_0230#0,"""들어봐,<br>이럴 때일수록 팀워크를 중요하게 생각해야……."""
msc_013230_0240#0,"""좀 진정해."""
msc_013230_0250#0,"""이럴 때, 할아버지가 있었다면…."""
msc_013230_0260#0,"""……할아버지."""
msc_013230_0270#0,"""쿠카, 어디 가려고?"""
