msc_013280_0010#0,"""이루마……?"""
msc_013280_0020#0,"""어라… 얘들아…?"""
msc_013280_0030#0,"""이루마!"""
msc_013280_0032#0,"""이루마!"""
msc_013280_0034#0,"""이루마!"""
msc_013280_0036#0,"""이루마!"""
msc_013280_0040#0,"""다들 와줬구나!"""
msc_013280_0050#0,"""이런 곳에서 뭐하고 있었어!"""
msc_013280_0060#0,"""걱정했잖아!"""
msc_013280_0070#0,"""미안. 할아버지의 연구내용을 조사하다가<br>로스트 센트럴에 들어갈 힌트를 찾아서…."""
msc_013280_0080#0,"""잠깐 상태만 보러 올 생각이었는데…<br>강해 보이는 돌즈에게 가는 길이 막혀서 말야."""
msc_013280_0090#0,"""연락하고 싶어도 재밍이 심해서,<br>할 수 있는 게 없었어."""
msc_013280_0100#0,"""구해주러 와줘서 정말 고마워."""
msc_013280_0110#0,"""하아, 정말 한결같다니까."""
msc_013280_0120#0,"""그러게 말이야……연구에 빠져서 자기 상황도 잊는 건 너답지만서도."""
msc_013280_0130#0,"""정말 답이 안 나오는 녀석이야…."""
msc_013280_0140#0,"""얼마나 걱정했는데, 그래도 무사해서 다행이야."""
msc_013280_0150#0,"""잘 됐네…."""
msc_013280_0160#0,"""이루마를 찾아낸 건<br>너희들 덕분이야!"""
msc_013280_0170#0,"""맞아, 고마워."""
msc_013280_0180#0,"""그렇지 않아.<br>모두가 도와준 덕분인걸?"""
msc_013280_0190#0,"""이루마, 네게 할 이야기가 있어."""
msc_013280_0200#0,"""너희들은……?"""
msc_013280_0210#0,"""우린 크로포드의 부탁으로<br>센트럴 시티에서 왔어."""
msc_013280_0220#0,"""……아하."""
msc_013280_0230#0,"""센트럴 캐논 조정에 필요한 데이터가 필요했었니."""
msc_013280_0240#0,"""지난 전투로 센트럴 캐논이<br>다크 폴스에게 데미지를 입힐 수 있다는 건 알았어."""
msc_013280_0250#0,"""하지만 그와 동시에 큰 과제가 두 가지 남겨진 건<br>너희도 파악하고 있을 거야."""
msc_013280_0260#0,"""첫번째는 출력. 다크 펄스에게 데미지를<br>주는 건 성공했지만 파괴하지는 못했어."""
msc_013280_0270#0,"""파괴를 위해선 포톤의 압축률을 늘린 상태에서<br>그 압축 포톤을 그대로 사출하는 가속기가 필요해."""
msc_013280_0280#0,"""다른 하나는 내구성. 이번에 센트럴 캐논을<br>한 발 쏜 것만으로 포신이 파손돼 버렸지."""
msc_013280_0283#0,"""보강해야 하는 파츠는 포신과 포톤 가속기.<br>발사기 내부의 프레임은 내구성이 더 높은 소재를 써야 해だ."""
msc_013280_0286#0,"""하지만 이 문제들은 크로포드한테 얘기했듯이,<br>여기의 자재와 기술을 쓰면 해결할 수 있다는 건 이미 검산이 끝났어."""
msc_013280_0290#0,"""문제는 지금부터야. 사실 여기서 더 깊이 들어간 에리어에<br>상당히 유용한 데이터와 기재가 있을 것 같거든!"""
msc_013280_0300#0,"""……어어."""
msc_013280_0310#0,"""하나도 모르겠어, 이루마."""
msc_013280_0320#0,"""어~, 그러니까……옛날에, 다크 펄스를 격퇴했던<br>로스트 센트럴의 병기."""
msc_013280_0330#0,"""거기 쓰인 자재와 기술 데이터를 찾았는데,<br>그거 말고도 쓸 만한 게 있을지도 몰라."""
msc_013280_0350#0,"""뭐……?"""
msc_013280_0360#0,"""들어가 보면 알 거야.<br>모두 따라와줘!"""
