msc_013100_0010#0,"""뭐랄까…. 경계하고 있는 걸까…?"""
msc_013100_0020#0,"""죄송해요. 저희는 외지인과 만날 일이 없어서…,<br>메리가 거리감을 잡지 못하고 있는 것 같아요."""
msc_013100_0030#0,"""그렇구나…."""
msc_013100_0040#0,"""저기, 어떻게 할까?<br>이대로 내버려 둘 순 없잖아."""
msc_013100_0050#0,"""우리도 걱정되니까 찾아보자."""
msc_013100_0060#0,"""찾아내는 게 임무야."""
msc_013100_0080#0,"""응응. 행방불명된 아크스가 있다면<br>걱정돼서 그냥 둘 수 없지."""
msc_013100_0090#0,"""그렇네. 우리는 우리 나름대로<br>임무로 탐색에 나서자. 그러면 문제없을 거야."""
msc_013100_0110#0,"""맞아!\u3000임무인걸!\u3000<br>메리가 안된다고 해도, 찾으러 가자!"""
msc_013100_0120#0,"""신경쓰게 해서 죄송해요.<br>이루마를 잘 부탁드립니다."""
msc_013100_0130#0,"""오빠 두 사람이 탐색을 나섰다고 말했었지.<br>그들이 어디로 갔는지 알 수 있을까?"""
msc_013100_0140#0,"""분명 툴리는 연구시설을 보러 간다고 했어요.<br>타이바스는“로스트 센트럴” 쪽으로 향한다고 했죠."""
msc_013100_0141#0,"""로스트 센트럴?"""
msc_013100_0142#0,"""아, 옛날 수도를 말하는 겁니다."""
msc_013100_0150#0,"""그렇군요.<br>일단 합류해 보자."""
msc_013100_0160#0,"""쿠카, 고마워!\u3000좋아, 가보자!<br>메리에게 저녁 때까지는 돌아간다고 전해줘!"""
