Begin#0,"""/ci2 1 パティー開始"""
Success#0,"""/mn1 /ci2 2 パティー成功"""
Failure#0,"""/mn1 /ci2 2 パティー失敗"""
Dead#0,"""/mn1 /ci2 2 パティー死亡"""
BuddyDead#0,"""/mn1 /ci2 2 パティー相手が死亡"""
Evolution#0,"""/mn1 /ci2 2 パティー発展"""
Begin#1,"""/ci2 1 케이크!\u3000케이크!\u3000맛있는 케이크!<br>나우라의 케이크 가게, 나타나 줘!<br>그렇지 않으면 이쪽으로부터 찾아갈테다-!"""
Success#1,"""/ci2 2 후후후후, 이 정도로 나의<br>케이크로의 길을 막는 건 불가능!<br>자 자, 티아, 수색 재개야-!"""
Failure#1,"""/ci3 1 우웃, 이거 버틸 수 없군!<br>파티와 티아는 해산하겠습니다!"""
Dead#1,"""/ci4 1 아아……케이크 가게가 보여……<br>이건……꿈?"""
BuddyDead#1,"""/mn22 /ci4 1 티아가 당했다, 하지만 티아는<br>우리들 중에서도 가장 작은 존재!\u3000가슴이!<br>……쓰러져 있는 티아로부터의 시선이 아파!"""
Evolution#1,"""/mn17 /ci2 2 아직도, 온다!<br>케이크로의 길은 길고 험난하네요!"""
Begin#2,"""/ci2 4 불려져서 튀어나와 짜잔-!<br>아크스 제일의 정보상<br>지금 바로 등장!"""
Success#2,"""/ci2 2 자아자아!<br>예의 건, 기억하고 있죠!?<br>잊지 않았죠!"""
Failure#2,"""이대로면 티아도<br>행방불명이 될 것 같으니<br>이 쯤에서 퇴각!"""
Dead#2,"""자, 잠깐 쉬고 싶을지도……"""
BuddyDead#2,"""후후후, 티아가 당했는가……<br>하지-만, 오늘의 우리는<br>평소와는 급이 다르다고-!"""
