Begin#0,"""開始5230"""
Success#0,"""成功5230"""
Failure#0,"""失敗5230"""
Dead#0,"""自分死亡5230"""
BuddyDead#0,"""相手死亡5230"""
Evolution#0,"""発展5230"""
Begin#1,"""/mn15 /toge /ci2 4 눈이닷! 밤이닷!<br>거기에 색다른 파티와 티아다!<br>성야의 아이돌, 이곳에 강림이야!"""
Success#1,"""/mn15 /ci2 1 후후훗, 당해낼 수 있을리 없지! <br>파티와 티아의 신기술엔 맞설 적 없음!<br>자아, 아이들이 기다리고 있어!"""
Failure#1,"""/mn1 어, 어라? 실패해버렸네…<br>뭐, 뭐어 이럴 때도 있는거지!<br>신경쓰지 말고 크리스마스를 즐기자-!"""
Dead#1,"""/mn5 어라? 왠지 눈이 핑핑…<br>오오, 세계도 돌고 있어…<br>어라, 거기에 순록이… 꼴딱."""
BuddyDead#1,"""/mn36 아, 티앗!? 산타니까<br>둘이서 선물 나눠주기로 했잖아!<br>이 원한, 갚지 않고 배길쏘냐!"""
