msc_023020_0010#0,"""아, <%me>!"""
msc_023020_0020#0,"""방금 누구야?"""
msc_023020_0030#0,"""모르는 아크스인데."""
msc_023020_0040#0,"""입대한 지 얼마 안 된 아크스야."""
msc_023020_0050#0,"""아직 입대한 지 얼마 안 됐으니까."""
msc_023020_0060#0,"""앞으로, 내가 담당할 훈련생."""
msc_023020_0070#0,"""크로포드의 부탁을 들어주기로 했어."""
msc_023020_0080#0,"""그래서 두 사람은 그 훈련이 시작되기 전에,<br>일부러 인사하러 와준 거야."""
msc_023020_0090#0,"""존경하는 아이나 선배님께<br>지도를 받을 수 있다니 영광입니다… 라더라."""
msc_023020_0100#0,"""인기가 많네."""
msc_023020_0110#0,"""아이나 교관님."""
msc_023020_0120#0,"""아냐… 아하하…."""
msc_023020_0130#0,"""사랑받는 건 좋지만…."""
msc_023020_0140#0,"""정말, 그만해!<br>왠지 부끄러워."""
msc_023020_0150#0,"""그래서, 두 사람에게 들었는데."""
msc_023020_0160#0,"""우리, 유명인이라고 하더라고."""
msc_023020_0170#0,"""<%me>, 마논과 나 이렇게 세 사람."""
msc_023020_0180#0,"""각지에서 싸워왔던 게,<br>여기저기 소문이 났다고 하더라고."""
msc_023020_0190#0,"""약간 영웅같은 느낌."""
msc_023020_0200#0,"""뭐, 대체로 크로포드가<br>과하게 선전한 탓이겠지만…."""
msc_023020_0210#0,"""별로 실감이 안 나네."""
msc_023020_0220#0,"""모두의 사기를 높이기 위해서겠지."""
msc_023020_0230#0,"""그래, 그렇네.<br>나도 전혀 실감이 안나네."""
msc_023020_0240#0,"""그건 그렇긴 한데."""
msc_023020_0250#0,"""역시 부담스러워."""
msc_023020_0260#0,"""특히 나는 <%me>, 너희 뒤를<br>열심히 쫓아갔을 뿐이니까…."""
msc_023020_0270#0,"""주목받는다 해도,<br>어떻게 해야 할지 모르겠어."""
msc_023020_0280#0,"""그렇게 대단한 아크스가 아닌데… 말이지."""
msc_023020_0290#0,"""아이나는 대단한 아크스야."""
msc_023020_0300#0,"""아이나 덕분에 싸워올 수 있었어."""
msc_023020_0310#0,"""어?<br>그, 그럴려나…."""
msc_023020_0320#0,"""저, 정말로?"""
msc_023020_0330#0,"""그렇게 생각해 주고 있었구나."""
msc_023020_0340#0,"""저기…."""
msc_023020_0350#0,"""…응, 그렇겠지."""
msc_023020_0360#0,"""모두가 기대하고 있다면,<br>그에 부응해야겠지."""
msc_023020_0370#0,"""훈련 교관 역할, 열심히 해볼게."""
