Title#0,"""Разгул тьмы"""
Explanation#0,"""На Оракуле сигналы множества планет<br>с очень сильными вражескими сигналами.<br>Это очень похоже на Дарк Фальцев Омеги.<br>[Персона] также подозревается в<br>причастности к происходящему.<br>Все ARKS должны отправиться и<br>урегулировать ситуацию.<br>――――――――――――――――――――<br>Ограничение урона: 999999<br>Победите врагов в конечной области"""
SimpleExplanation#0,"""Победите врагов!"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
Area0S#0,"""Неподалёку от [Персоны]"""
Area0L#0,"""Оракул - Неподалёку от [Персоны]"""
Area1S#0,"""Планета Набериус: Руины"""
Area1L#0,"""Планета Набериус: Руины"""
Area2S#0,"""Планета Вопал: Плавучее сооружение"""
Area2L#0,"""Планета Вопал: Плавучее сооружение"""
Area3S#0,"""Планета Лиллипа: Горнодобывающая база"""
Area3L#0,"""Планета Лиллипа: Горнодобывающая база"""
Area4S#0,"""Планета Харкотан: Местность Курона"""
Area4L#0,"""Планета Харкотан: Местность Курона"""
Area5S#0,"""Корабль ARKS: Городская местность"""
Area5L#0,"""Корабль ARKS: Городская местность"""
Area6S#0,"""Неподалёку от [Персоны]"""
Area6L#0,"""Оракул - Неподалёку от [Персоны]"""
Area11S#0,"""Планета Набериус: Руины"""
Area11L#0,"""Планета Набериус: Руины"""
Area12S#0,"""Планета Вопал: Плавучее сооружение"""
Area12L#0,"""Планета Вопал: Плавучее сооружение"""
Area13S#0,"""Планета Лиллипа: Горнодобывающая база"""
Area13L#0,"""Планета Лиллипа: Горнодобывающая база"""
Area14S#0,"""Планета Харкотан: Местность Курона"""
Area14L#0,"""Планета Харкотан: Местность Курона"""
Area15S#0,"""Корабль ARKS: Городская местность"""
Area15L#0,"""Корабль ARKS: Городская местность"""
NpcComMsg1#0,"""Сейчас мы начнём операцию по<br>уничтожению Дарк Фальцев Омеги<br>и их войск, появившихся на<br>Оракуле."""
NpcComMsg2#0,"""Каждый Дарк Фальц пытается<br>атаковать каждую планету на<br>Оракуле всей своей силой."""
NpcComMsg3#0,"""Соберитесь и защитите каждую<br>планету от нападения.<br>Это будет сложно, но я уверена,<br>что мы сможем это сделать.<br>Удачи!"""
