name_7662#0,"""Dantre."""
ssn_011121_0001#0,"""De acuerdo entonces, hablemos."""
ssn_011121_0101#0,"""Ummm... parece que tu clase no es Hunter."""
ssn_011121_0102#0,"""Si quieres aprender a luchar, ve al Contador de Clases y cambia tu clase a Hunter."""
ssn_011121_0103#0,"""Además, ¡asegúrate de aprender la Habilidad de Clase de Hunter!"""
ssn_011121_0104#0,"""pero hablemos del Hunter"""
ssn_011121_0201#0,"""¡Los Hunter son una clase que destaca en el combate cuerpo a cuerpo!"""
ssn_011121_0202#0,"""¡Protégete contra los ataques enemigos, da un paso para esquivarlos y golpea ...... con un poderoso contraataque! Esa es la forma básica de luchar."""
ssn_011121_0203#0,"""Utilizando las habilidades de tu clase, podrás apuntar tus contraataques sin miedo en el combate cuerpo a cuerpo con el Enemigo."""
ssn_011121_0204#0,"""Al principio, debes aprender Masive Hunter"""
ssn_011121_0205#0,"""Te daré un reto, ¡inténtalo!"""
ssn_011121_0300#0,"""Bien ¡Si quieres estar solo, tendrás que volver!"""
