name_7662#0,"""Dantre."""
ssn_011120_0010#0,"""¡Eres nuevo aquí! Mmm, parece que eres realmente nuevo aquí"""
ssn_011120_0020#0,"""¡Puedes volver aquí cuando hayas perfeccionado un poco más tus habilidades!"""
ssn_011120_0030#0,"""¡Has llegado muy lejos! Soy Dantre, el instructor de entrenamiento de la clase de Fighter"""
ssn_011120_0040#0,"""Bueno, puedo decir por su comportamiento. Parece que has estado perfeccionando tus habilidades! """
ssn_011120_0045#0,"""Si deseas aprender el arte del combate, te enseñaré. Vamos, ¿qué clase quieres que te enseñe a luchar? """
ssn_011120_0050#0,"""Bien ¡Si quieres estar solo, tendrás que volver! """
ssn_011120_0060#0,"""¡No descuides tu formación!"""
ssn_011120_0070#0,"""¡Asegúrate de ganar experiencia y convertirte pronto en un Arks de pleno derecho!"""
ssn_011120_0101#0,"""¿Cómo te va, has mejorado un poco?"""
ssn_011120_0102#0,"""Como has aprendido en la formación, las habilidades de clase siguen siendo importantes."""
ssn_011120_0103#0,"""Las habilidades son un desperdicio de tesoro si sólo las aprendes. Tienes que ser capaz de usarlos!"""
