name_7662#0,"""Dantre."""
ssn_005110_0001#0,"""¡Eres nuevo aquí! Bueno, estás aprendiendo a ser un ARKS, ¿no?"""
ssn_005110_0002#0,"""¡Cuando hayas perfeccionado un poco más tus habilidades, puedes volver aquí!"""
ssn_005110_0101#0,"""Bienvenido a bordo! Soy Dantre, instructor de entrenamiento de la clase de Fighter"""
ssn_005110_0102#0,"""Gwyden me ha hablado de ti. ¿Quieres aprender sobre los Hunters? """
ssn_005110_0151#0,"""Me lo imaginaba, pero no creo que tu clase sea Hunter."""
ssn_005110_0152#0,"""Si quieres entrenar, ve al contador de clases y haz tu clase Hunter."""
ssn_005110_0153#0,"""¡Además, no te olvides de aprender la habilidad de clase Hunter (Masive Hunter!)"""
ssn_005110_0103#0,"""¡El Hunter es una clase que destaca en el combate cuerpo a cuerpo!"""
ssn_005110_0104#0,"""¡Conserva los ataques del enemigo, da un paso para esquivarlos y golpea... con un poderoso contraataque! Ese es el estilo básico de lucha."""
ssn_005110_0105#0,"""Utilizando las habilidades de tu clase, podrás apuntar tus contraataques sin miedo en los combates cuerpo a cuerpo con los enemigos."""
ssn_005110_0106#0,"""Al principio, sí, ¡Recomiendo Massive Hunter!"""
ssn_005110_0107#0,"""¡Úsalo bien y derrota al Enemigo!"""
ssn_005110_0108#0,"""¡Bueno, es mejor estar familiarizado que aprender! Te voy a proponer un reto, ¡Inténtalo!"""
ssn_005110_0301#0,"""Bien, si quieres ser un Hunter de pleno derecho, tendrás que volver!"""
ssn_005110_0201#0,"""¿Cómo te va, has mejorado un poco?"""
ssn_005110_0202#0,"""Como has aprendido en tu formación, las habilidades de clase siguen siendo muy importantes"""
ssn_005110_0203#0,"""Las habilidades son un desperdicio de tesoro si sólo las aprendes. Tienes que ser capaz de usarlos!"""
