name_7662#0,"""Dantre."""
ssn_011131_0001#0,"""De acuerdo entonces, hablemos."""
ssn_011131_0101#0,"""Ummm, parece que tu clase no es Fighter"""
ssn_011131_0102#0,"""Si quieres aprender a luchar, ve al Contador de clases y cambia tu clase a Fighter"""
ssn_011131_0103#0,"""¡Y asegúrate de aprender la Habilidad de Clase del Fighter!"""
ssn_011131_0104#0,"""...pero hablemos de los Fighter."""
ssn_011131_0201#0,"""Los Fighter son una clase que destaca en el combate a corta distancia. Lo que lo hace único es su gran poder de golpeo! """
ssn_011131_0202#0,"""Tienen una variedad de acciones de ataque. ¡Pongan sus puños en el aire!"""
ssn_011131_0203#0,"""Pero por otro lado, el rango de ataque es estrecho y corto. Es importante meterse bien en el bolsillo del enemigo."""
ssn_011131_0204#0,"""¡Para ello, son importantes las habilidades de clase! En primer lugar, es conveniente acostumbrarse al Limit Break."""
ssn_011131_0205#0,"""¡Bueno, mejor acostumbrarse que aprender! Te daré una tarea, ¡inténtalo!"""
