sq00_01#0,"""Saludos."""
favs_present_010#0,"""Recibió \""Grinder\"" de Lucotte."""
favs_present_020#0,"""Recibió \""Synthesizer\"" de Lucotte."""
favs_present_030#0,"""Recibió \""Photon Sphere\"" de Lucotte."""
favs_present_040#0,"""Recibió \""Excube\"" de Lucotte."""
favs_present_050#0,"""Recibió \""Lambda Grinder\"" de Lucotte."""
favs_present_060#0,"""Recibió \""Tri-Boost +50%\"" de Lucotte."""
favs_present_070#0,"""Recibió \""Great Grind Success +50%\"" de Lucotte."""
favs_present_080#0,"""Recibió \""Lambda Grinder x3\"" de Lucotte."""
favs_present_090#0,"""Recibió \""Ability Success Rate +30%\"" de Lucotte."""
favs_present_100#0,"""Recibió \""Tri-Boost +100%\"" de Lucotte."""
favs_present_add_001#0,"""Recibió \""<%skit_text>\"" de Lucotte."""
11_voice_NPC_5570_100#0,"""¡Oh maestro! Justo a tiempo. Por favor ven aquí."""
favs_after_010#0,"""Me gustaría expresar mis sentimientos hacia usted a través de mi servicio."""
favs_after_020#0,"""Me ha sido de gran ayuda, y estoy muy agradecida por eso."""
favs_after_030#0,"""Maestro, ¡Espero que los tres nos veamos mucho más en el futuro!"""
ep6_sq03_01_01#0,"""Saludos, maestro. Estoy bien gracias."""
ep6_sq03_01_02#0,"""Si quieres saber sobre la clase Etoile, puedes preguntarme cualquier cosa."""
11_voice_NPC_5570_100#1,"""おかげさまで、エトワールの<br>宣伝活動は好評でしたの。<br>ストラトスには感謝ですわ。"""
ep6_sq03_03_02#0,"""まだまだ未熟者ですが<br>焦らずに、しっかりとエトワールを<br>広めていきたいと思いますの。"""
ep6_sq03_03_03#0,"""マスター。<br>引き続き、よろしくお願いしますの！"""
11_voice_NPC_5570_101#0,"""また三人でこうやって<br>笑い合える日が来るなんて……<br>感謝ですの！\u3000感激ですの！"""
ep6_sq03_04_02#0,"""ずっと、ずっと夢見ていた未来へ<br>マスターが、導いてくれましたの。<br>本当に、最高のマスターですわ！"""
11_voice_NPC_5570_100#2,"""ぜひぜひ、今後もメイドとして<br>マスターにお仕えさせてくださいね。<br>末永くお願いいたします、ですの！"""
ep6_sq04_01_01#0,"""わたくし、大変な時にぎりぎり<br>間に合ったようですね。"""
ep6_sq04_01_02#0,"""エトワールの力<br>存分に使ってくださいですの。"""
11_voice_NPC_5570_100#3,"""わたくしも<br>マスターのお力になれるよう<br>精一杯、がんばりますの！"""
text01#0,"""マスター。<br>おかえりなさい、ですの。"""
11_voice_NPC_5570_101#1,"""未曾有の危機ではありましたが……<br>マスターと、皆さまとご一緒に<br>戦えたことを光栄に思っていますの。"""
text03#0,"""今度、お茶と甘い焼き菓子を用意して<br>お疲れさま会で、皆さまにおもてなしを<br>させていただこうと思いますの！"""
oct01#0,"""キリトさま、ですわね。<br>マスターから、お話は伺っていますわ。<br>わたくしの経験から申し上げますと……"""
oct02#0,"""お相手を「知る」こと。<br>一手先を「読む」こと。<br>自分が「楽しむ」こと……"""
oct03#0,"""この３つが大切だと考えていますの。<br>どれが欠けても、いけませんわ。"""
oct04#0,"""なるほど……敵の強さを「知る」。<br>攻撃の一手先を「読む」。<br>そして戦いを「楽しむ」……か。"""
11_voice_NPC_5570_100#4,"""以上が、わたくしが<br>おもてなしに必要と考える<br>メイドの心得、ですわ。"""
oct06#0,"""め、メイドの心得……？<br>俺は「強くなるコツ」だと思って<br>聞いてたんだけど……"""
11_voice_NPC_5570_104#0,"""まあ！\u3000それは大変、失礼しました。<br>わたくし、てっきり「メイドのコツ」を<br>お伝えするものだとばかり……"""
oct08#0,"""メイドのコツの話をしていたのか……<br>でも、意外と参考になっちゃったな……<br>ありがとう、助かったよ。"""
name01#0,"""キリト"""
