name_7661#0,"""Basinia"""
ssn_013010_0001#0,"""ยินดีต้อนรับสู่ Central City! ดีใจที่ได้เจอนะ"""
ssn_013010_0002#0,"""ยังพยายามเรียนรู้งานอยู่สินะ? อาจจะรู้สึกหนักไปหน่อย แต่ก็พยายามให้เต็มที่ล่ะ เข้าใจไหม?"""
ssn_013010_0101#0,"""รู้จัก ""Tower"" ไหม? ...อ้อ ไม่ใช่หอคอยใหญ่ๆ ใน Central City นะ"""
ssn_013010_0102#0,"""ถ้าไม่รู้จัก เดี๋ยวจะอธิบายให้ฟังเอง"""
ssn_013010_0201#0,"""ถ้าสงสัยก็ค่อยมาหาทีหลังได้นะ"""
ssn_013010_0103#0,"""ดูเหมือนว่า Power Level จะสูงพอแล้วนะ ตอนนี้คิดว่าน่าจะไปท้าทาย Tower ได้ตามสบายเลยล่ะ"""
ssn_013010_0104#0,"""ควรจะเพิ่ม Power Level ไว้เผื่อถึงเวลาที่ต้องใช้นะ โอเคไหม? โชคดีล่ะ!"""
ssn_013010_0151#0,"""Tower ก็คล้ายๆ กับ Cocoon นั่นแหละ คือ Trainia หรือก็คือสถานที่ฝึกฝนนั่นเอง"""
ssn_013010_0152#0,"""มีรูปแบบคล้ายๆ กับ Cocoon แต่รับรองว่ามองแวบเดียวก็เดาออกว่าต่างกันยังไง"""
ssn_013010_0153#0,"""ข้างใน Tower จะกว้างขวางกว่ามาก แล้วก็มีศัตรูที่แข็งแกร่งกว่าเยอะ เพราะงั้นต้องแน่ใจว่าเพิ่ม Power Level มาเยอะๆ ก่อนจะไปท้าทายล่ะ"""
ssn_013010_0154#0,"""เข้าใจนะ? โชคดีล่ะ!"""
ssn_013010_0301#0,"""Tower ทำให้แข็งแกร่งขึ้นได้ดีกว่า Cocoon มากเลยล่ะ เพราะงั้นถ้าเจอที่อื่นอีกล่ะก็ อย่าลืมไปลองดูล่ะ"""
ssn_013010_0302#0,"""พวกนั้นก็เหมือนกันนะ ต้องแน่ใจจริงๆ ว่า Power Level สูงพอแล้วค่อยไปลุยล่ะ"""
ssn_013010_0303#0,"""อ้อ ใช่ พูดถึงเรื่อง Power Level..."""
ssn_013010_0304#0,"""ถ้า Power Level ไม่สูงพอ จะไม่ได้รับอนุญาตให้เข้าร่วม Emergency Quest บางเควสต์ หรือเรื่องอันตรายๆ ทำนองนั้นด้วยนะ"""
ssn_013010_0305#0,"""เพราะงั้นควรจะมุ่งเน้นไปที่การเพิ่ม Power Level ไว้เผื่อถึงเวลาที่ต้องใช้นะ โอเคไหม? โชคดีล่ะ!"""
