st_064110_0010#0,"""ぐ……はっ……！"""
st_064110_0020#0,"""...Lo haré. Pero mi objetivo también se logra."""
st_064110_0030#0,"""¡¿Qué pretentes?!..."""
st_064110_0040#0,"""¡Lo contrario a tu objetivo!... Usando mi cuerpo, destruiré la vena espiritual..."""
st_064110_0050#0,"""¡Y a través del Mana excitado por la batalla, destruira la energía reunida!"""
st_064110_0060#0,"""...Haa. Ese fue el objetivo más desagradable que Lisa ha disparado hasta la fecha. ¿No estás de acuerdo, Harriet?"""
st_064110_0070#0,"""...Bien hecho, Lady Harriet."""
st_064110_0080#0,"""Varuna... ¿Por qué ir tan lejos?, ¿Shiva es realmente alguien por quien arriesgarías tu propia vida?"""
st_064110_0090#0,"""Yo no lo entiendo. Sin embargo, sé que mi señora no derramará lágrimas incluso si tengo que perecer aquí."""
st_064110_0100#0,"""...¿Quieres saber por qué, incluso entonces?"""
st_064110_0110#0,"""Mi lealtad se mantuvo sin esperar ninguna recompensa. Tampoco lo hice todo sin querer."""
st_064110_0120#0,"""Incluso caer en la batalla por mi señora fue, sin ninguna duda, hecho por mi propia voluntad."""
st_064110_0130#0,"""Sin embargo, Lady Harriet..."""
st_064110_0140#0,"""Yo... El tiempo que pasé aquí no fue como el Dios de la fidelidad... Caminé junto a ti como yo mismo."""
st_064110_0150#0,"""Nuestro tiempo juntos fue corto, pero... Estoy agradecido."""
st_064110_0160#0,"""……ヴァルナ。"""
st_064110_0170#0,"""Guardian... No sé qué está bien o qué está mal."""
st_064110_0180#0,"""El resultado de su batalla con mi señoar será decidido por el mundo."""
st_064110_0190#0,"""Te dejo el resto... A ti."""
st_064110_0200#0,"""Varuna... Que encuentres la paz..."""
st_064110_0210#0,"""ハリエット……"""
st_064110_0220#0,"""...Estoy bien, Margareta. No hay tiempo para llorar. La lucha continúa incluso ahora."""
st_064110_0230#0,"""Si no tomamos el control de la vena espiritual y erigimos la barrera, ni Omega ni Oracle alcanzaran la paz... Me convertiré en el enlace aquí."""
st_064110_0240#0,"""¡La actividad enemiga ha cesado!, ¡Hemos sellado el poder de los Photoners!..."""
st_064110_0250#0,"""Sin embargo, no soy Sukuna-hime, por lo que la barrera no es perfecta. Como tal, sus efectos no serán absolutos."""
st_064110_0260#0,"""Permaneceré aquí para mantener la barrera."""
st_064110_0270#0,"""No sé cuánto tiempo podré mantenerlo activo. Por lo tanto... Debes ocuparte del resto, Guardian."""
st_064110_0272#0,"""En ese caso, permaneceré aquí también. ¡Harriet es la deidad de nuestra tierra, y yo soy su Reina Divina!"""
st_064110_0274#0,"""Gracias Margareta."""
st_064110_0280#0,"""...Lisa, Estoy agradecida por todo el tiempo que pasamos juntos. Fue realmente reconfortante."""
st_064110_0290#0,"""Ara ara ara, ¿Realmente deberías hacer que esto suene como una ultima despedida?"""
st_064110_0300#0,"""¿Hmm? Técnicamente, tu vida ya terminó, así que tal vez eso no esté mal después de todo."""
st_064110_0310#0,"""Pero eso no es importante. Lisa no tiene la intención de hacer de esto una despedida de ninguna manera."""
st_064110_0320#0,"""Todavía quedan muchas cosas divertidas para disfrutar. Entonces Lisa te volverá a ver cuando todo esto termine."""
st_064110_0330#0,"""...Estoy segura de que lo harás."""
