name010#0,"""나즌"""
text010#0,"""…어, 어째선지 나타난 에너미를 쓰러뜨린 후,<br>\""객관식\"" 퀴즈의 시간입니다!"""
text011#0,"""다음 중,<br>정답이라고 생각되는 발판으로 가주세요."""
text020#0,"""그럼, 문제 나갑니다.<br>…짠!"""
text030#0,"""정답이라고 생각되는 발판으로 가주세요!<br>렛츠 씽킹!"""
text040#0,"""타임 업!"""
text050#0,"""다음 문제입니다.<br>…짠!"""
text060#0,"""그럼 마지막 문제입니다.<br>…짠!"""
text080#0,"""\""객관식\""퀴즈는 여기까지입니다.<br>다음 퀴즈의  장소로 이동하죠!"""
quiz00_01#0,"""없음"""
quiz_correct#0,"""축하드립니다!"""
quiz_incorrect#0,"""아쉽네요…."""
quiz01#0,"""문제<br><yellow>\""N-그라인더\""는,<br>한 개를 판매할 때 \""얼마\""일까요?<c>"""
quiz01_01#0,"""\""N-그라인더\""는,"""
quiz01_02#0,"""한 개를 판매할 때 \""얼마\""일까요?"""
quize01_select1#0,"""30N-메세타"""
quize01_select2#0,"""40N-메세타"""
quize01_select3#0,"""50N-메세타"""
quize01_select4#0,"""60N-메세타"""
quize01_answer#0,"""정답은…<br><red>40N-메세타<c>입니다!"""
quiz02#0,"""문제<br><yellow>크바리스 다섯 쌍둥이 중,<br>\""차남의 이름\""은?<c>"""
quiz02_01#0,"""크바리스 다섯 쌍둥이 중,"""
quiz02_02#0,"""\""차남의 이름\""은?"""
quize02_select1#0,"""타이바스"""
quize02_select2#0,"""이루마"""
quize02_select3#0,"""툴리"""
quize02_select4#0,"""쿠카"""
quize02_answer#0,"""정답은…<br><red>툴리<c>입니다!"""
quiz03#0,"""문제<br><yellow>크바리스 \""다섯 쌍둥이가 아닌\"" 인물은?"""
quiz03_01#0,"""크바리스 \""다섯 쌍둥이가 아닌\"" 인물은?"""
quize03_select1#0,"""레소"""
quize03_select2#0,"""메리"""
quize03_select3#0,"""이루마"""
quize03_select4#0,"""쿠카"""
quize03_answer#0,"""정답은…<br><red>레소<c>입니다!"""
quiz04#0,"""문제<br><yellow>아이나의 \""아버지의 이름\""은?"""
quiz04_01#0,"""아이나의 \""아버지의 이름\""은?"""
quize04_select1#0,"""가로아"""
quize04_select2#0,"""브루더"""
quize04_select3#0,"""크로포드"""
quize04_select4#0,"""라이서스"""
quize04_answer#0,"""정답은…<br><red>가로아<c>입니다!"""
quiz5#0,"""문제<br><yellow>광석 \""블리자디움\""을<br>\""얻을 수 있는 곳\""은?"""
quiz05_01#0,"""광석 \""블리자디움\""을"""
quiz05_02#0,"""\""얻을 수 있는 곳\""은?"""
quize05_select1#0,"""이하나산"""
quize05_select2#0,"""라트바산"""
quize05_select3#0,"""피코트산"""
quize05_select4#0,"""마그너스산"""
quize05_answer#0,"""정답은…<br><red>이하나산<c>입니다!"""
quiz6#0,"""문제<br><yellow>\""스텔라 그레이스 회수 작전\""에서<br>회수 가능한 \""스텔라 그레이스의 수\""는?"""
quiz06_01#0,"""\""스텔라 그레이스 회수 작전\""에서"""
quiz06_02#0,"""회수 가능한 \""스텔라 그레이스의 수\""는?"""
quize06_select1#0,"""30"""
quize06_select2#0,"""10"""
quize06_select3#0,"""20"""
quize06_select4#0,"""40"""
quize06_answer#0,"""정답은…<br><red>30<c>입니다!"""
quiz7#0,"""문제<br><yellow>크바리스 다섯 쌍둥이 중,<br>타이바스의 \""재킷 색상\""은?"""
quiz07_01#0,"""크바리스 다섯 쌍둥이 중,"""
quiz07_02#0,"""타이바스의 \""재킷 색상\""은?"""
quize07_select1#0,"""빨간색"""
quize07_select2#0,"""핑크색"""
quize07_select3#0,"""흰색"""
quize07_select4#0,"""파란색"""
quize07_answer#0,"""정답은…<br><red>빨간색<c>입니다!"""
quiz8#0,"""문제<br><yellow>스티아에 등장하는<br>\""랍피\""가 먹고있는 \""과일\""은?"""
quiz08_01#0,"""스티아에 등장하는"""
quiz08_02#0,"""\""랍피\""가 먹고있는 \""과일\""은?"""
quize08_select1#0,"""페이 스티라스타츠"""
quize08_select2#0,"""맛타 스티라바난"""
quize08_select3#0,"""삿파 스티라앗포우"""
quize08_select4#0,"""갓츠 스티라플럼"""
quize08_answer#0,"""정답은…<br><red>페이 스티라스타츠<c>입니다!"""
quiz9#0,"""문제<br><yellow>한때 크로포드, 그렌과<br>함께 싸웠던 \""아크스의 이름\""은?"""
quiz09_01#0,"""한때 크로포드, 그렌과"""
quiz09_02#0,"""함께 싸웠던 \""아크스의 이름\""은?"""
quize09_select1#0,"""히바나"""
quize09_select2#0,"""하나비"""
quize09_select3#0,"""란"""
quize09_select4#0,"""히바치"""
quize09_answer#0,"""정답은…<br><red>히바나<c>입니다!"""
quiz10#0,"""문제<br><yellow>태스크 \""다섯 쌍둥이의 부탁\""에서<br>메리가 \""맡긴 물건\""은?"""
quiz10_01#0,"""태스크 \""다섯 쌍둥이의 부탁\""에서"""
quiz10_02#0,"""메리가 \""맡긴 물건\""은?"""
quize10_select1#0,"""도시락"""
quize10_select2#0,"""모피"""
quize10_select3#0,"""무기"""
quize10_select4#0,"""전언"""
quize10_answer#0,"""정답은…<br><red>도시락통<c>입니다!"""
quiz11#0,"""문제<br><yellow>호밍 탄을 이용한 공격으로,<br>아크스를 \""서포트 하는\""것은?"""
quiz11_01#0,"""호밍 탄을 이용한 공격으로,"""
quiz11_02#0,"""아크스를 \""서포트 하는\""것은?"""
quize11_select1#0,"""호백"""
quize11_select2#0,"""드롬"""
quize11_select3#0,"""마그"""
quize11_select4#0,"""모바일 캐논"""
quize11_answer#0,"""정답은…<br><red>호백<c>입니다!"""
quiz12#0,"""문제<br><yellow>HP를 회복하는 \""효과가 있는\""것은?"""
quiz12_01#0,"""HP를 회복하는 \""효과가 있는\""것은?"""
quize12_select1#0,"""레스타 사인"""
quize12_select2#0,"""N-그라인더"""
quize12_select3#0,"""리버서 사인"""
quize12_select4#0,"""N-메세타"""
quize12_answer#0,"""정답은…<br><red>레스타 사인<c>입니다!"""
quiz13#0,"""문제<br><yellow>레이요르드 협만에 등장하는<br>\""에인션트 에너미\""의 \""이명\""은?"""
quiz13_01#0,"""레이요르드 협만에 등장하는"""
quiz13_02#0,"""\""에인션트 에너미\""의 \""이명\""은?"""
quize13_select1#0,"""원세의"""
quize13_select2#0,"""정예의"""
quize13_select3#0,"""설화의"""
quize13_select4#0,"""노련의"""
quize13_answer#0,"""정답은…<br><red>「원세의」<c>입니다!"""
quiz14#0,"""문제<br><yellow>고가에 판매할 수 있는 아이템이 \""아닌\"" 것은?"""
quiz14_01#0,"""고가에 판매할 수 있는 아이템이 \""아닌\"" 것은?"""
quize14_select1#0,"""암즈 리파이너"""
quize14_select2#0,"""알파 리액터"""
quize14_select3#0,"""스텔라 시드"""
quize14_select4#0,"""스노쿠스"""
quize14_answer#0,"""정답은…<br><red>암즈 리파이너<c>입니다!"""
quiz15#0,"""문제<br><yellow>센트럴 타워의 지휘실에서,<br>란의 \""옆자리에 앉아있는 사람\""은?"""
quiz15_01#0,"""센트럴 타워의 지휘실에서,"""
quiz15_02#0,"""란의 \""옆자리에 앉아있는 사람\""은?"""
quize15_select1#0,"""류린"""
quize15_select2#0,"""롯사"""
quize15_select3#0,"""오란제"""
quize15_select4#0,"""크로포드"""
quize15_answer#0,"""정답은…<br><red>류린<c>입니다!"""
quiz16#0,"""문제<br><yellow>태스크 \""다섯 쌍둥이의 부탁\""에서<br>\""세 번째\""에 부탁하는 인물은?"""
quiz16_01#0,"""태스크 \""다섯 쌍둥이의 부탁\""에서"""
quiz16_02#0,"""\""세 번째\""에 부탁하는 인물은?"""
quize16_select1#0,"""툴리"""
quize16_select2#0,"""이루마"""
quize16_select3#0,"""쿠카"""
quize16_select4#0,"""타이바스"""
quize16_answer#0,"""정답은…<br><red>툴리<c>입니다!"""
quiz17#0,"""문제<br><yellow>이 중 실제로 존재하는 에너미는?"""
quiz17_01#0,"""이 중 실제로 존재하는 에너미는?"""
quize17_select1#0,"""절망의 넥스 에아리오"""
quize17_select2#0,"""절망의 와우론"""
quize17_select3#0,"""절망의 크로포드"""
quize17_select4#0,"""절망의 파스타"""
quize17_answer#0,"""정답은…<br><red>절망의 넥스 에아리오<c>입니다!"""
quiz18#0,"""문제<br><yellow>에아리오 리전의 리더인<br>크로포드의 \""클래스\""는?"""
quiz18_01#0,"""에아리오 리전의 리더인"""
quiz18_02#0,"""크로포드의 \""클래스\""는?"""
quize18_select1#0,"""포스"""
quize18_select2#0,"""텍터"""
quize18_select3#0,"""헌터"""
quize18_select4#0,"""파이터"""
quize18_answer#0,"""정답은…<br><red>텍터<c>입니다!"""
quiz19#0,"""문제<br><yellow>이루마의 \""안경테 색상\""은?"""
quiz19_01#0,"""이루마의 \""안경테 색상\""은?"""
quize19_select1#0,"""검정색"""
quize19_select2#0,"""흰색"""
quize19_select3#0,"""빨간색"""
quize19_select4#0,"""핑크색"""
quize19_answer#0,"""정답은…<br><red>검정색<c>입니다!"""
quiz20#0,"""문제<br><yellow>에아리오의 모든 트레이니아를 클리어해서<br>얻을 수 있는 \""스킬 포인트의 총합\""은?"""
quiz20_01#0,"""에아리오의 모든 트레이니아를 클리어해서"""
quiz20_02#0,"""얻을 수 있는 \""스킬 포인트의 총합\""은?"""
quize20_select1#0,"""20포인트"""
quize20_select2#0,"""18포인트"""
quize20_select3#0,"""23포인트"""
quize20_select4#0,"""15포인트"""
quize20_answer#0,"""정답은…<br><red>20포인트<c>입니다!"""
