line01#0,"""4択クイズ、開始！<br>（全2問）"""
name010#0,"""나즌"""
text010#0,"""\\クイズ会場が解放されましたね！<br>자 그럼,<red>この류커 디바이스どこでしょうクイズ<c><br>スタートです！"""
text020#0,"""\\자 그럼,表示される画像を見て<br>どこに配置されている류커 디바이스か<br>当ててください！じゃん！"""
text030#0,"""\\正解だと思う足場へ向かってください！<br><red>20秒後に正解発表<c>です！<br>カウントダウン스타트"""
text040#0,"""타임 업!<br>正解は…"""
text050#0,"""\\続いて、次の문제です！<br>じゃん！"""
text060#0,"""\\자 그럼,最後の문제です！<br>じゃん！"""
text080#0,"""\\これですべてのプログラムは終了…<br>おっと！会場にエネミーが乱入したようです！<br>イベントを締める前に片づけてしまいましょう！"""
line02#0,"""正解だと思う領域に向かえ！<br>10秒後に結果発表だ！"""
line03#0,"""タイムアップ！<br>正解は…"""
line04#0,"""次の会場に移動します"""
quiz00_01#0,"""없음"""
quiz00_02#0,"""."""
quize_explanation#0,"""この류커 디바이스はどこでしょう？"""
Title#0,"""この류커 디바이스はどこでしょう？"""
quize_wait#0,"""全員が画像見終わるのを待ちます"""
quiz01#0,"""この류커 디바이스はどこでしょう？"""
quize01_select1#0,"""크라이아노 절벽"""
quize01_select2#0,"""라카우 해안"""
quize01_select3#0,"""할파나 평원: 동"""
quize01_select4#0,"""할파나 평원: 북"""
quize02_select1#0,"""할파나 평원: 동"""
quize02_select2#0,"""할파나 평원: 북"""
quize02_select3#0,"""마그너스산: 서"""
quize02_select4#0,"""발플로우 대폭포: 서"""
quize03_select1#0,"""마그너스산: 서"""
quize03_select2#0,"""발플로우 대폭포"""
quize03_select3#0,"""라카우 해안"""
quize03_select4#0,"""카나이 섬"""
quize04_select1#0,"""이하나산: 서"""
quize04_select2#0,"""다난 설원: 서"""
quize04_select3#0,"""베르가나 유적: 북"""
quize04_select4#0,"""라트바산: 북"""
quize05_select1#0,"""다난 설원: 서"""
quize05_select2#0,"""미스트라 삼림: 북"""
quize05_select3#0,"""퀴일 산길"""
quize05_select4#0,"""이하나산: 동"""
quize01_correct#0,"""<red>크라이아노 절벽<c>입니다!<br>정답 축하드립니다!<br>정답 수 +1입니다!"""
quize01_incorrect#0,"""<red>크라이아노 절벽<c>입니다!<br>크으~ 아쉽네요!!"""
quize02_correct#0,"""<red>할파나 평원: 동<c>입니다!<br>정답 축하드립니다!<br>정답 수 +1입니다!"""
quize02_incorrect#0,"""<red>할파나 평원: 동<c>입니다!<br>크으~ 아쉽네요!!"""
quize03_correct#0,"""<red>마그너스산: 서<c>입니다!<br>정답 축하드립니다!<br>정답 수 +1입니다!"""
quize03_incorrect#0,"""<red>마그너스산: 서<c>입니다!<br>크으~ 아쉽네요!!"""
quize04_correct#0,"""<red>이하나산: 서<c>입니다!<br>정답 축하드립니다!<br>정답 수 +1입니다!"""
quize04_incorrect#0,"""<red>이하나산: 서<c>입니다!<br>크으~ 아쉽네요!!"""
quize05_correct#0,"""<red>다난 설원: 서<c>입니다!<br>정답 축하드립니다!<br>정답 수 +1입니다!"""
quize05_incorrect#0,"""<red>다난 설원: 서<c>입니다!<br>크으~ 아쉽네요!!"""
quize06_select1#0,"""마그너스산: 동"""
