name010#0,"""나즌"""
text010#0,"""첫 번째 퀴즈는,<br>\""YES or NO\"" 퀴즈입니다!"""
text015#0,"""맞다고 생각하면 <c 008b00>Y 발판<c>으로,<br>아니라고 생각하면 <red>N 발판<c>으로 이동해 주세요."""
text020#0,"""그럼, 문제 나갑니다.<br>……짠!"""
text030#0,"""정답이라고 생각되는 발판으로 가주세요!<br>렛츠 씽킹!"""
text040#0,"""타임 업!"""
text050#0,"""정답은…<br><red>NO<c>입니다!"""
text051#0,"""정답은…<br><red>YES<c>입니다!"""
text052#0,"""축하드립니다!"""
text053#0,"""아쉽네요…."""
text060#0,"""다음 문제입니다.<br>……짠!"""
text070#0,"""그럼 마지막 문제입니다.<br>……짠!"""
text080#0,"""\""YES or NO\"" 퀴즈는 여기까지입니다.<br>다음 퀴즈의  장소로 이동하죠!"""
Textobj_Yes#0,"""YES"""
Textobj_No#0,"""NO"""
quiz01#0,"""문제<br><yellow>센트럴 시티의 서쪽 문의<br>경비를 서고 있는 사람은 \""세이타\""다.<c><br>YES or NO？"""
quiz00_1#0,"""없음"""
quiz01_1#0,"""센트럴 시티의 서쪽 문의"""
quiz01_2#0,"""경비를 서고 있는 사람은 \""세이타\""다."""
quiz02#0,"""문제<br><yellow>리템 시티의 에스테 점원은,<br>\""카타리나\""다.<c><br>YES or NO？"""
quiz02_1#0,"""리템시티의 에스테 점원은,"""
quiz02_2#0,"""\""카타리나\""다."""
quiz03#0,"""문제<br><yellow>서브 클래스를 설정하면, 해당 서브 클래스의<br>\""포톤 아츠\""를 사용할 수 있다.<c><br>YES or NO？"""
quiz03_1#0,"""서브 클래스를 설정하면, 해당 서브 클래스의"""
quiz03_2#0,"""\""포톤 아츠\""를 사용할 수 있다."""
quiz04#0,"""문제<br><yellow>제트 부츠는 \""법격 무기\""다.<br>YES or NO？<c>"""
quiz04_1#0,"""제트 부츠는 \""법격 무기\""다."""
quiz05#0,"""문제<br><yellow>건 슬래시는, \""타격 무기\""다.<c><br>YES or NO？"""
quiz05_1#0,"""건 슬래시는, \""타격 무기\""다."""
quiz06#0,"""문제<br><yellow>택트는 \""법격 무기\""다.<c><br>YES or NO？"""
quiz06_1#0,"""택트는 \""법격 무기\""다."""
quiz07#0,"""문제<br><yellow>\""탐색 섹션\""에서<br>PSE 버스트가 발생한다.<c><br>YES or NO？"""
quiz07_1#0,"""\""탐색 섹션\""에서"""
quiz07_2#0,"""PSE 버스트가 발생한다."""
quiz08#0,"""문제<br><yellow>\""전투 섹션\""에서<br>PSE 버스트가 발생한다.<c><br>YES or NO？"""
quiz08_1#0,"""\""전투 섹션\""에서"""
quiz08_2#0,"""PSE 버스트가 발생한다."""
quiz09#0,"""문제<br><yellow>에아리오 리전의 리더는,<br>\""크로포드\""다.<c><br>YES or NO？"""
quiz09_1#0,"""에아리오 리전의 리더는,"""
quiz09_2#0,"""\""크로포드\""다."""
quiz10#0,"""문제<br><yellow>클래스 스킬 \""위크 불릿\""의<br>지속 시간은, \""10초\""다.<c><br>YES or NO？"""
quiz10_1#0,"""클래스 스킬 \""위크 불릿\""의"""
quiz10_2#0,"""지속 시간은, \""10초\""다."""
quiz11#0,"""문제<br><yellow>우주에서 강하 포드를 타고 온 사람들을,<br>\""별로 돌아가는 자\""라고 부른다.<c><br>YES or NO？"""
quiz11_1#0,"""우주에서 강하 포드를 타고 온 사람들을,"""
quiz11_2#0,"""\""별로 돌아가는 자\""라고 부른다."""
quiz12#0,"""문제<br><yellow>날씨 \""뇌우\""가 관측되는 리전은,<br>\""크바리스\""다.<c><br>YES or NO？"""
quiz12_1#0,"""날씨 \""뇌우\""가 관측되는 리전은,"""
quiz12_2#0,"""\""크바리스\""다."""
quiz13#0,"""문제<br><yellow>\""닐스 스티아\""의 약점은,<br>\""빙속성\""이다.<c><br>YES or NO？"""
quiz13_1#0,"""\""닐스 스티아\""의 약점은,"""
quiz13_2#0,"""\""빙속성\""이다."""
quiz14#0,"""문제<br><yellow>\""르메이라\""시리즈 무기는<br>\""암속성\""이다.<c><br>YES or NO？"""
quiz14_1#0,"""\""르메이라\""시리즈 무기는"""
quiz14_2#0,"""\""암속성\""이다."""
quiz15#0,"""문제<br><yellow>한 팀에 가입할 수 있는 최대 인원은,<br>\""120인\""이다.<c><br>YES or NO？"""
quiz15_1#0,"""한 팀에 가입할 수 있는 최대 인원은,"""
quiz15_2#0,"""\""120인\""이다."""
quiz16#0,"""문제<br><yellow>\""렐릭 배틀 버지\""의 무기군은,<br>\""로드\""다.<c><br>YES or NO？"""
quiz16_1#0,"""\""렐릭 배틀 버지\""의 무기군은,"""
quiz16_2#0,"""\""로드\""다."""
quiz17#0,"""문제<br><yellow>나데레프가 전투에서 사용하는 무기군은,<br>\""듀얼 블레이드\""다.<c><br>YES or NO？"""
quiz17_1#0,"""나데레프가 전투에서 사용하는 무기군은,"""
quiz17_2#0,"""\""듀얼 블레이드\""다."""
quiz18#0,"""문제<br><yellow>반포드와 크로포드는,<br>\""부모와 자식\""의 관계이다.<c><br>YES or NO？"""
quiz18_1#0,"""반포드와 크로포드는,"""
quiz18_2#0,"""\""부모와 자식\""의 관계이다."""
quiz19#0,"""문제<br><yellow>브루더의 나이는 \""18세\""이다.<c><br>YES or NO？"""
quiz19_1#0,"""브루더의 나이는 \""18세\""이다."""
quiz20#0,"""문제<br><yellow>아크스 훈련교관 리아메이의 클래스는,<br>\""텍터\""다.<c><br>YES or NO？"""
quiz20_1#0,"""아크스 훈련교관 리아메이의 클래스는,"""
quiz20_2#0,"""\""텍터\""다."""
quiz21#0,"""문제<br><yellow>할파에 도착한 주인공이<br>처음 만난 인물은 \""마논\""이다.<c><br>YES or NO？"""
quiz21_1#0,"""할파에 도착한 주인공이"""
quiz21_2#0,"""처음 만난 인물은 \""마논\""이다."""
quiz22#0,"""문제<br><yellow>텍터는 \""완드\""를 장착할 수 있다.<c><br>YES or NO？"""
quiz22_1#0,"""텍터는 \""완드\""를 장착할 수 있다."""
quiz23#0,"""문제<br><yellow>리버서 사인의 최대 보유 개수는,<br>\""5개\""다.<c><br>YES or NO？"""
quiz23_1#0,"""리버서 사인의 최대 보유 개수는,"""
quiz23_2#0,"""\""5개\""다."""
quiz24#0,"""문제<br><yellow>웨이커는,<br>\""펫\""을 불러내어 싸운다.<c><br>YES or NO？"""
quiz24_1#0,"""웨이커는,"""
quiz24_2#0,"""\""펫\""을 불러내어 싸운다."""
quiz25#0,"""문제<br><yellow>완드는,<br>\""텍터\""의 전용 무기다.<c><br>YES or NO？"""
quiz25_1#0,"""완드는,"""
quiz25_2#0,"""\""텍터\""의 전용 무기다."""
quiz26#0,"""문제<br><yellow>\""파이터 스킵 아츠\""는,<br>\""PA를 길게 누르기\""로 발동할 수 있다.<c><br>YES or NO？"""
quiz26_1#0,"""\""파이터 스킵 아츠\""는,"""
quiz26_2#0,"""\""PA를 길게 누르기\""로 발동할 수 있다."""
quiz27#0,"""문제<br><yellow>스테이지 라이브를 보면,<br>\""레어 드랍 배율\""이 일정 시간 동안 상승한다.<c><br>YES or NO？"""
quiz27_1#0,"""스테이지 라이브를 보면,"""
quiz27_2#0,"""\""레어 드랍 배율\""이 일정 시간 동안 상승한다."""
quiz28#0,"""문제<br><yellow>\""킬링 PP 게인\""은,<br>\""레인저\""의 클래스 스킬이다.<c><br>YES or NO？"""
quiz28_1#0,"""\""킬링 PP 게인\""은,"""
quiz28_2#0,"""\""레인저\""의 클래스 스킬이다."""
quiz30#0,"""문제<br><yellow>\""알파 리액터\""는<br>개당 \""3500 N-메세타\""에 판매할 수 있다.<c><br>YES or NO？"""
quiz30_1#0,"""\""알파 리액터\""는"""
quiz30_2#0,"""개당 \""3500 N-메세타\""에 판매할 수 있다."""
quiz31#0,"""문제<br><yellow>\""미션 패스\""는, \""20SG\""<br>로 티어의 1단계를 올릴 수 있다.<c><br>YES or NO？"""
quiz31_1#0,"""\""미션 패스\""는, \""20SG\"""""
quiz31_2#0,"""로 티어의 1단계를 올릴 수 있다."""
quiz32#0,"""문제<br><yellow>『NGS』의 아크스 카드는,<br>칭호를 \""최대 3개\""까지 설정할 수 있다.<c><br>YES or NO？"""
quiz32_1#0,"""『NGS』의 아크스 카드는,"""
quiz32_2#0,"""칭호를 \""최대 3개\""까지 설정할 수 있다."""
quiz33#0,"""문제<br><yellow>서부 에아리오에는,<br>\""다이달 소드\""가 출현한다.<c><br>YES or NO？"""
quiz33_1#0,"""서부 에아리오에는,"""
quiz33_2#0,"""\""다이달 소드\""가 출현한다."""
quiz34#0,"""문제<br><yellow>그렌이 입고 있는 옷의 이름은,<br>\""クーヴェルウィーズ[Se]\""다.<c><br>YES or NO？"""
quiz34_1#0,"""그렌이 입고 있는 옷의 이름은,"""
quiz34_2#0,"""\""クーヴェルウィーズ[Se]\""다."""
quiz35#0,"""문제<br><yellow>무기\""쿠쿠로피스 보우\""는,<br>\""크로코다라스\""를 모티브로 했다.<c><br>YES or NO？"""
quiz35_1#0,"""무기\""쿠쿠로피스 보우\""는,"""
quiz35_2#0,"""\""크로코다라스\""를 모티브로 했다."""
quiz36#0,"""문제<br><yellow>주인공의 포드가 낙하한 섬의 이름은,<br>\""카나이 섬\""이다.<c><br>YES or NO？"""
quiz36_1#0,"""주인공의 포드가 낙하한 섬의 이름은,"""
quiz36_2#0,"""\""카나이 섬\""이다."""
quiz37#0,"""문제<br><yellow>할피리아 호수에 출현하는<br>테임즈 레벨은 \""65\""다.<c><br>YES or NO？"""
quiz37_1#0,"""할피리아 호수에 출현하는"""
quiz37_2#0,"""테임즈 레벨은 \""65\""다."""
quiz38#0,"""문제<br><yellow>아이나가 사용하는 어설트 라이플에는,<br>\""스카프\""를 감아놨다.<c><br>YES or NO？"""
quiz38_1#0,"""아이나가 사용하는 어설트 라이플에는,"""
quiz38_2#0,"""\""스카프\""를 감아놨다."""
quiz39#0,"""문제<br><yellow>남부 리템에는,<br>\""노련의 버블 크랩\""이 출현한다.<c><br>YES or NO？"""
