name_7224#0,"""시트레"""
ssn_019060_001_0001#0,"""와 줘서 고마워.<br>다시 한 번 내 소개를 할게."""
ssn_019060_001_0002#0,"""내 이름은 시트레. 센트럴 시티의 보급 부대 소속이고,<br>물자 관리나 전투 지원같은 걸 맡고 있어."""
ssn_019060_001_0003#0,"""보급은 전투의 생명줄!<br>어떤 곳에라도 물자를 조달해 주지."""
ssn_019060_001_0004#0,"""하지만 요즘 에너미의 활동이 활발해져서,<br>수송 임무나 물자 조달 자체에도 지장이 생기고 있어."""
ssn_019060_001_0005#0,"""보급선을 안전하게 유지하기 위해<br>에너미 토벌을 도와주지 않을래?"""
ssn_019060_001_0006#0,"""먼저……그렇지, 요즘 특히 기승인<br>심볼 달린 에너미를 많이 쓰러트려 줬으면 해."""
ssn_019060_001_0007#0,"""사례도 좋은 걸로<br>준비할테니까!"""
ssn_019060_001_0008#0,"""그럼, 부탁할게~!"""
ssn_019060_001_0101#0,"""보급은 전투의 생명줄!<br>에너미가 방해한다고 무너질 순 없지."""
ssn_019060_001_0102#0,"""그치만, 요즘은 조금 상황이 안 좋거든……."""
ssn_019060_001_0201#0,"""오, 왔구나.<br>맞아, 이거야 이거!"""
ssn_019060_001_0202#0,"""정말 고마워~.<br>이제 사람들의 식단도 다양해지겠는걸."""
ssn_019060_001_0203#0,"""도와준 답례로<br>조리한 바루니 믹스를 줄게. 너도 한 번 먹어 봐."""
ssn_019060_001_0204#0,"""그걸 먹고 다음 임무도 힘내!"""
ssn_019060_001_0205#0,"""……하고, 또 부탁할 게 있는데,<br>심볼 달린 인핸스드 에너미를 많이 쓰러트려 줬으면 해."""
ssn_019060_001_0206#0,"""수송 부대는 전투능력이 높지 않아서,<br>인핸서를 제대로 노리는 게 어렵거든."""
ssn_019060_001_0207#0,"""그러니까 부탁할게.<br>잘 부탁해~!"""
ssn_019060_001_0301#0,"""어서 와!<br>다치진 않았어?"""
ssn_019060_001_0302#0,"""정말 덕분에 한 시름 놨어.<br>도와줘서 고마워."""
ssn_019060_001_0303#0,"""네 덕분에 수송도 한결 수월해졌어.<br>이제 어디든지 물자를 조달할 수 있겠어."""
ssn_019060_001_0304#0,"""그래서!\u3000이제껏 도와준 답례로<br>특별한 아이템을 줄게!"""
ssn_019060_001_0305#0,"""또 필요한 게 있으면<br>여러 가지 준비해 줄테니 뭐든 말만 해."""
ssn_019060_001_0306#0,"""앞으로도 또 에너미가 늘어나면<br>해치워줘!"""
ssn_019060_001_0401#0,"""어서 와!<br>그럼 자세하게 이야기할게."""
ssn_019060_001_0402#0,"""정찰 나간 아크스에게서, 서부 에아리오에<br>심볼 달린 에너미들이 모이고 있다는 정보를 얻었어."""
ssn_019060_001_0403#0,"""전투 부대에서 소탕을 준비하고 있는데,<br>네 활약을 보고 도와줄 수 있을지 알고 싶대."""
ssn_019060_001_0404#0,"""작전 개시 전에 통보할 거라고 했으니,<br>그 때까지 준비해 두는 게 좋을 거야."""
ssn_019060_001_0405#0,"""아, 참. 평소하고 모습이 다른 에너미도<br>섞여 있다고 하니까, 조심해야 해."""
ssn_019060_001_0406#0,"""그럼, 부탁할게.<br>잘 부탁해!"""
npc_menu_0001#0,"""시즈널 포인트로 아이템 교환（2022년 4월 6일 11시 00분까지）"""
npc_menu_0002#0,"""시즈널 개더링 소재로 아이템 교환（2022년 4월 6일 11시 00분까지）"""
npc_menu_0003#0,"""시즈널 이벤트의 설명 듣기"""
npc_menu_0004#0,"""메뉴 닫기"""
npc_menu_0005#0,"""\""시즈널 이벤트\""에 관하여"""
npc_menu_0006#0,"""\""시즈널 이벤트 캐릭터\""에 관하여"""
npc_menu_0007#0,"""\""데일리/위클리 태스크 추가\""에 관하여"""
npc_menu_0008#0,"""\""미스치프 심볼\""에 관하여"""
npc_menu_0009#0,"""\""시즈널 개더링\""에 관하여"""
npc_menu_0010#0,"""\""시즈널 리전 마그\""에 관하여"""
npc_menu_0011#0,"""\""시즌 에너미\""에 관하여"""
npc_menu_0012#0,"""\""월드 트라이얼\""에 관하여"""
npc_menu_0013#0,"""\""기간 한정 퀘스트\""에 관하여"""
npc_menu_0014#0,"""\""기간 한정 스페셜 스크래치\""에 관하여"""
npc_menu_0015#0,"""\""기간 한정 태스크 추가\""에 관하여"""
npc_menu_0016#0,"""묻고 싶은 것이 없다"""
