name_7234#0,"""패피 랍피"""
name_7224#0,"""시트레"""
ssn_019080_002_0001#0,"""안녕, 자네는 랍피를 좋아하나!?"""
ssn_019080_002_0002#0,"""나는 정말 좋아하지!"""
ssn_019080_002_0003#0,"""…앗, 미안하네.<br>내가 너무 성급했군."""
ssn_019080_002_0004#0,"""자기소개가 늦었군. 나는 랍피를 누구보다 사랑하는<br>\""랍피 형\"" 패피 랍피라네."""
ssn_019080_002_0005#0,"""들어보게!"""
ssn_019080_002_0006#0,"""지금 이 할파에 랍피가 대량으로 출현하고 있어.<br>그것도 온갖 종류의 랍피가 한꺼번에!"""
ssn_019080_002_0007#0,"""그래서 자네에게 조사를 부탁하고 싶네.<br>지금 할파 전역에 랍피가 얼마나 있는지 말이야!"""
ssn_019080_002_0008#0,"""랍피를 좋아하는 사람만이 해낼 수 있는,<br>극도로 어려운 미션이지!"""
ssn_019080_002_0009#0,"""하지만 여러 경험을 쌓아 온<br>자네라면 분명 해낼 거라 믿고 있네."""
ssn_019080_002_0010#0,"""자네가 랍피에게 품은 \""애정\""을<br>보여 주게!"""
ssn_019080_002_0011#0,"""이야, 잘 봤네!<br>내 눈이 틀리지 않았군."""
ssn_019080_002_0012#0,"""자네라면<br>내 진짜 소원을 이뤄 줄 수 있겠어."""
ssn_019080_002_0013#0,"""사실 어떤 연구 데이터에서,<br>이번 랍피 대량 출현이 예측되고 있었네."""
ssn_019080_002_0014#0,"""그에 맞춰,<br>어떤 공간이 나타날 수 있다고 하더군…"""
ssn_019080_002_0015#0,"""온갖 랍피가 모여드는,<br>\""랍피 집회장\""이!"""
ssn_019080_002_0016#0,"""그래서 그 집회장에는,<br>랍피들의 왕이 강림하지!"""
ssn_019080_002_0017#0,"""이게 사실이라면 엄청난 발견이야.<br>꼭 이 눈으로 보고 싶네!"""
ssn_019080_002_0018#0,"""하지만 \""랍피 집회장\""이 나타나는 건,<br>안전한 장소뿐이네."""
ssn_019080_002_0019#0,"""\""드레드 에너미\""가 배회하는 위험한 장소에는,<br>랍피들이 모이지 않겠지."""
ssn_019080_002_0020#0,"""우선 에너미를 쓰러뜨려 주변의 안전을 확보한 뒤,<br>\""랍피 집회장\""을 찾아봐 주지 않겠나!"""
ssn_019080_002_0021#0,"""본래는 내가 직접 찾고 싶지만,<br>일이 밀려 있어서 자리를 비울 수가 없네."""
ssn_019080_002_0022#0,"""자네에게라면 내 꿈을 맡길 수 있어.<br>부탁하네."""
ssn_019080_002_0023#0,"""돌아왔군.<br>\""랍피 집회장\""을 찾아줘서 고맙네."""
ssn_019080_002_0024#0,"""오랜 숙원이 드디어 이뤄졌어.<br><%me>, 정말 고맙네."""
ssn_019080_002_0025#0,"""…하지만 이렇게 되고 보니 욕심이 나는군.<br>아직도 랍피는 수많은 비밀에 싸여 있어."""
ssn_019080_002_0026#0,"""자네는 \""세레모 그레토 랍피\""를<br>만난 적이 있나?"""
ssn_019080_002_0056#0,"""지금 시기에만 볼 수 있는 \""세레모 랍피\""의<br>왕 중의 왕이라 불릴 만한 존재라네."""
ssn_019080_002_0027#0,"""지금까지는 발견된 적이 없어서 전설의 존재라 하지만,<br>랍피 대량 출현이 일어난 지금은 무슨 일이 생겨도 이상하지 않아!"""
ssn_019080_002_0028#0,"""이 \""세레모 그레토 랍피\""를 발견하면,<br>내게 알려주지 않겠나."""
