name_7224#0,"""시트레"""
ssn_019090_002_0001#0,"""와 줘서 고마워.<br>다시 한번 자기소개할게."""
ssn_019090_002_0002#0,"""내 이름은 시트레. 센트럴 시티 보급대 소속이고,<br>물자 관리나 전투 지원 같은 일을 맡고 있어."""
ssn_019090_002_0003#0,"""그래서 본론을 얘기하자면…"""
ssn_019090_002_0004#0,"""지금까지 애써 준 아크스들을 격려하려고<br>후방지원 담당들이 다 같이 파티를 열기로 했거든."""
ssn_019090_002_0005#0,"""깜짝 선물로 \""달맞이 경단\""이라는<br>하얗고 동그란 신기한 음식을 준비했어."""
ssn_019090_002_0006#0,"""그런데, 그걸 트럭으로 각지에 옮기던 도중에<br>어느새 일부가 사라져 버린 거야."""
ssn_019090_002_0007#0,"""수송대로서 있을 수 없는 실책이야!"""
ssn_019090_002_0008#0,"""게다가 다 같이 열심히 만들었는데!<br>언제, 누가, 어디로 가져간 거야~!"""
ssn_019090_002_0009#0,"""…이런 분노가<br>내 안을 휘몰아치고 있다는 거지."""
ssn_019090_002_0010#0,"""…그래서 내가 범인을 찾고 싶은데,<br>이래저래 바빠서 손이 모자라거든."""
ssn_019090_002_0011#0,"""네가 좀 도와주면<br>정말 좋겠어…"""
ssn_019090_002_0012#0,"""현장에 있던 몇 사람에게는 얘기해 뒀으니까,<br>가서 이야기 좀 들어 줄래?"""
ssn_019090_002_0013#0,"""사례는 제대로 할게."""
ssn_019090_002_0014#0,"""그럼, 부탁할게!"""
ssn_019090_002_0015#0,"""<%me>! 와 줘서 고마워."""
ssn_019090_002_0016#0,"""그래서, 바로 본론으로 들어가자면…"""
ssn_019090_002_0017#0,"""어서 와!<br>어땠어? 뭔가 알아냈어?"""
ssn_019090_002_0018#0,"""범인을 알아냈으면,<br>혼쭐을 내줘야지!"""
ssn_019090_002_0019#0,"""…아니, 시트레,<br>진정하자…"""
ssn_019090_002_0020#0,"""심호흡… 심호흡…"""
ssn_019090_002_0021#0,"""그럼, 이야기를 정리해 보자."""
ssn_019090_002_0022#0,"""………"""
ssn_019090_002_0023#0,"""그렇구나.<br>동그랗고, 작고, 손이 있는… 뭔가구나."""
ssn_019090_002_0024#0,"""그럼…"""
ssn_019090_002_0025#0,"""어, 뭘까…?"""
ssn_019090_002_0026#0,"""넌 뭔지 알겠어?"""
ssn_019090_002_0027#0,"""그렇구나!<br>확실히 \""동그랗다\""면 그 녀석이지!"""
ssn_019090_002_0028#0,"""그런데 고로론은 좀 크지 않나?"""
ssn_019090_002_0029#0,"""그 느긋한 녀석 말이지!<br>테임즈라, 그 생각은 못 했네."""
ssn_019090_002_0030#0,"""하지만, 정말로 사니가 맞을까…?"""
ssn_019090_002_0031#0,"""항상 트레이닝을 빼먹지 않는 그 녀석이구나.<br>확실히 늘 바위를 들고 있지."""
ssn_019090_002_0032#0,"""그런데 자우단 로어가 동그랗다고 할 수 있나…?"""
ssn_019090_002_0033#0,"""으음…<br>왠지 아닌 것 같아."""
ssn_019090_002_0034#0,"""그래, 이렇게 된 거 경단으로 유인해 보자!<br><%me>, 도와줄래?"""
ssn_019090_002_0035#0,"""…동그랗고, 작고, 손이 있는…"""
ssn_019090_002_0036#0,"""그렇구나…<br>그런 거였구나…"""
ssn_019090_002_0037#0,"""그 츠키미 랍피를 한번 쫓아가 봐!"""
ssn_019090_002_0038#0,"""어서 와.<br>이런 일까지 부탁해서 미안해."""
ssn_019090_002_0039#0,"""…범인이 설마<br>랍피였을 줄이야."""
ssn_019090_002_0040#0,"""돌즈였으면 절대 용서 안 했겠지만,<br>뭐어… 랍피라면 어쩔 수 없지."""
ssn_019090_002_0041#0,"""그 녀석에게 함부로 손댔다간,<br>또 내 상사가 울 테니까…"""
ssn_019090_002_0042#0,"""이번 일은<br>에너미 습격 때 일어난 사고라고 얘기해 둘게."""
ssn_019090_002_0043#0,"""…달맞이 경단은 이 시기 하늘에 빛나는 별,<br>가이라를 본뜬 음식이라고 하더라."""
ssn_019090_002_0044#0,"""자기 나이만큼 먹으면<br>좋은 일이 생긴다고 해."""
ssn_019090_002_0045#0,"""그래서 가능한 한 많은 아크스에게<br>나눠주고 싶었어."""
ssn_019090_002_0046#0,"""하지만 없어진 만큼<br>다시 만들면 되지."""
ssn_019090_002_0047#0,"""조금, 재료를 구하기 힘들긴 하겠지만…"""
ssn_019090_002_0048#0,"""괜찮다면 너도 한번 먹어 봐."""
ssn_019090_002_0049#0,"""그래서, 이걸로 문제는 해결…"""
ssn_019090_002_0050#0,"""된 건가? 정말 된 건가?<br>…아니, 해결된 걸로 치자."""
ssn_019090_002_0051#0,"""난 다음 일로 넘어가 볼게."""
ssn_019090_002_0052#0,"""이번 일은 정말로 고마워.<br>또 무슨 일이 생기면 네게 부탁할게."""
ssn_019090_002_0053#0,"""잘 부탁해!"""
ssn_019090_002_0054#0,"""보급은 전투의 생명줄!"""
ssn_019090_002_0055#0,"""이 정도 습격에<br>주저앉진 않아!"""
npc_select_0001#0,"""고로론인가…?"""
npc_select_0002#0,"""사니인가…?"""
npc_select_0003#0,"""자우단 로어인 것 같은데…"""
npc_menu_0001#0,"""티켓과 교환하기"""
npc_menu_0002#0,"""시즈널 포인트와 교환하기 ($(0)까지)"""
npc_menu_0003#0,"""시즈널 포인트 설명 듣기"""
npc_menu_0004#0,"""메뉴 닫기"""
npc_menu_0005#0,"""\""시즈널 이벤트\""에 대해"""
npc_menu_0006#0,"""\""시즈널 이벤트 캐릭터\""에 대해"""
npc_menu_0007#0,"""\""데일리/위클리 태스크\""에 대해"""
npc_menu_0008#0,"""\""미스치프 심볼\""에 대해"""
npc_menu_0009#0,"""\""시즌 개더링\""에 대해"""
npc_menu_0010#0,"""\""시즈널 리전 마그\""에 대해"""
npc_menu_0011#0,"""\""시즌 에너미\""에 대해"""
npc_menu_0012#0,"""\""월드 트라이얼\""에 대해"""
npc_menu_0014#0,"""묻고 싶은 것이 없다"""
npc_menu_0015#0,"""개더링 소재와 교환하기"""
