name_7211#0,"""섄디"""
ssn_019010_006_0001#0,"""시티의 상태가 변한 걸<br>눈치 채셨나요?\u3000에너미도 마찬가지고요."""
ssn_019010_006_0002#0,"""……가이라.<br>밤하늘에 밝게 빛나는 별을, 저희는 그렇게 불러요."""
ssn_019010_006_0003#0,"""저희는 이 변화의 원인이<br>저 가이라에 있는 것이 아닌가 추측 중이에요."""
ssn_019010_006_0004#0,"""이 시기에는 가이라가 특히나 밝게 빛나서, <br>주변의 초목 따위에도 영향을 주고 있는 것으로 보여요."""
ssn_019010_006_0005#0,"""또, 에너미……특히 밤중 알터즈의 행동에 <br>변화를 주고 있을 가능성도 있죠."""
ssn_019010_006_0006#0,"""당신에게 의뢰하고 싶은 건, <br>이 알터즈의 조사에요."""
ssn_019010_006_0007#0,"""시즌 심볼이 달린 알터즈와의<br>야간 전투 데이터를 제공해 주실 수 있을까요?"""
ssn_019010_006_0008#0,"""에너미에 대한 자세한 정보는 단말로 보내드릴테니,<br>확인해 주세요."""
ssn_019010_006_0009#0,"""협력자 분들께는 특별한 보상을 준비해 뒀으니."""
ssn_019010_006_0010#0,"""그럼, 잘 부탁드립니다."""
