name_7211#0,"""섄디"""
ssn_019002_0001#0,"""와주셔서 감사합니다.<br>다시 한 번 자기 소개를 하겠습니다."""
ssn_019002_0002#0,"""저는 섄디. 할파에서 발생하는<br>다양한 특이현상을 연구하고 있습니다."""
ssn_019002_0003#0,"""당신을 부른 건 지금 일어나고 있는<br>현상의 조사를 도와주셨으면 해서요."""
ssn_019002_0101#0,"""감사합니다.<br>페다스 베라의 전투 데이터도 잘 찍혀 있었습니다."""
ssn_019002_0102#0,"""지금부턴 저희가 열심히 해야 할 부분이네요.<br>받은 데이터를 이용해 에너미 조사를 진행하겠습니다."""
ssn_019002_0103#0,"""아무리 작은 정보라도 차근차근 모아 해석하면<br>앞으로의 싸움에 도움이 될 것입니다."""
ssn_019002_0104#0,"""한 사람이라도 많은 아크스가<br>싸움에서 무사히 돌아올 수 있도록…"""
ssn_019002_0105#0,"""보수는 건네드린 포인트와 교환해 드릴 테니<br>필요한 게 있으면 알려 주시기 바랍니다."""
ssn_019002_0106#0,"""앞으로도 정기적으로 심볼이 있는 에너미와의<br>교전 기록을 보내 주시면 기쁠 것 같습니다."""
ssn_019002_0107#0,"""잘 부탁드려요."""
npc_menu_0001#0,"""이벤트 태스크를 수주"""
npc_menu_0002#0,"""시즈널 포인트로 아이템 교환"""
npc_menu_0003#0,"""메뉴 닫기"""
