name_7631#0,"""카프티"""
ssn_019090_005_0001#0,"""아, 시트레 얘긴가요?"""
ssn_019090_005_0002#0,"""제가 수송대 트럭을 찾았을 땐<br>무슨 일인지 에너미와 싸우고 있더라구요."""
ssn_019090_005_0003#0,"""도와주고 싶었지만 전 전투원이 아니어서,<br>허둥대기만 했어요."""
ssn_019090_005_0004#0,"""그러다보니<br>어느샌가 전투는 끝나 있고."""
ssn_019090_005_0005#0,"""……수송대 사람들<br>모두 기운이 없어 보였어요."""
ssn_019090_005_0006#0,"""저도 같이 기운이 빠질 정도였어요."""
ssn_019090_005_0007#0,"""컨테이너가 부서져서<br>내용물을 못 쓰게 된 걸까요?"""
ssn_019090_005_0008#0,"""도중에 \""뭔가를 들고 있는\"" 듯한<br>그림자가 보였는데, 혹시 그거랑 관련 있는 걸지도요?"""
ssn_019090_005_0009#0,"""어두워서 잘 안 보였지만<br>그건……뭐였던 걸까요."""
ssn_019090_005_0010#0,"""어?\u3000생각하기 시작하니까<br>점점 신경 쓰이기 시작했어요. 무서워……."""
ssn_019090_005_0011#0,"""아, 아크스시군요."""
ssn_019090_005_0012#0,"""고생이 많으세요."""
ssn_019090_005_0013#0,"""전 뭘 봤던 걸까요."""
ssn_019090_005_0014#0,"""무서워라……."""
