name_7211#0,"""섄디"""
ssn_019010_002_0001#0,"""와주셔서 감사합니다.<br>다시 한 번 자기 소개를 하겠습니다."""
ssn_019010_002_0002#0,"""저는 섄디. 할파에서 발생하는<br>다양한 특이현상을 연구하고 있습니다."""
ssn_019010_002_0003#0,"""당신을 부른 건 지금 일어나고 있는<br>현상의 조사를 도와주셨으면 해서요."""
ssn_019010_002_0101#0,"""어서 오세요.<br>방금 얻은 전투 데이터도 확실하게 기록해 뒀습니다."""
ssn_019010_002_0102#0,"""다른 연구원들도, <br>당신의 활약에 관심을 가지기 시작한 것 같아요."""
ssn_019010_002_0103#0,"""이 데이터를 활용하면, 에너미의 약점 연구나 <br>유효한 장비 개발에 도움이 될 거에요."""
ssn_019010_002_0104#0,"""이번에는 정말 감사합니다."""
ssn_019010_002_0105#0,"""보수는 건네드린 포인트와 교환해 드릴 테니<br>필요한 게 있으면 알려 주시기 바랍니다."""
ssn_019010_002_0106#0,"""앞으로도 정기적으로 심볼이 있는 에너미와의<br>교전 기록을 보내 주시면 기쁠 것 같습니다."""
ssn_019010_002_0107#0,"""앞으로도 잘 부탁드려요."""
ssn_019010_002_0201#0,"""이 시기의 에너미의 변화에 관하여서는, <br>현재 조사중입니다"""
ssn_019010_002_0202#0,"""아무리 사소한 데이터라도<br>제공해 주셨으면 해요."""
ssn_019010_002_0301#0,"""감사합니다!<br>덕분에 귀중한 데이터를 얻었어요."""
ssn_019010_002_0302#0,"""이걸로 가이라와 에너미 간의 관계 해명에<br>한 발 다가간 것 같네요."""
ssn_019010_002_0303#0,"""그래서……말인데요.<br>조금만 더, 에너미의 데이터를 가져다 주셨으면 합니다."""
ssn_019010_002_0304#0,"""괜찮으시다면, 협력을 부탁드려요."""
ssn_019010_002_0401#0,"""수고 많으셨습니다!<br>이번 데이터도 연구에 큰 도움이 될 거에요."""
ssn_019010_002_0402#0,"""그리고, 이건 아크스 전투단 측에서도<br>요청한 건데……."""
ssn_019010_002_0403#0,"""앞으로도 잘 부탁드립니다."""
ssn_019010_002_0501#0,"""와주셔서 감사합니다."""
ssn_019010_002_0502#0,"""이번에도 당신에게<br>부탁을 드릴 수 없을까 싶어서요……."""
npc_menu_0001#0,"""태스크 수주"""
npc_menu_0002#0,"""시즈널 포인트로 아이템 교환"""
npc_menu_0003#0,"""시즈널 이벤트의 설명 듣기"""
npc_menu_0004#0,"""메뉴 닫기"""
npc_menu_0005#0,"""\""시즈널 이벤트\""에 관하여"""
npc_menu_0006#0,"""\""시즈널 이벤트 캐릭터\""에 관하여"""
npc_menu_0007#0,"""\""데일리/위클리 태스크 추가\""에 관하여"""
npc_menu_0008#0,"""\""미스치프 심볼\""에 관하여"""
npc_menu_0009#0,"""\""시즌 에너미\""에 관하여"""
npc_menu_0010#0,"""묻고 싶은 것이 없다"""
