text01#0,"""Hello! I'm planning a Thanksgiving event to try and convey my gratitude!"""
11_voice_NPC_6010_104#0,"""でも、まだ詳細が決まってなくて……<br>みんなが楽しめるような<br>そんなイベントにしたいんだ！"""
text03#0,"""わたしも頑張るから、貴方も一緒に<br>考えてくれると嬉しいな！"""
text01#1,"""今どんな感じなのかなっ？<br>焦らないでいいからね！<br>いつもありがとうねっ！"""
text01#2,"""イベントの準備をしていると<br>みんなが声をかけてくれるの！"""
11_voice_NPC_6010_101#0,"""楽しみにしてるよ、ありがとう！って<br>感謝を伝えるイベントなのに<br>先に伝えられちゃったよ！"""
text01#3,"""感謝って、大事だよね。<br>どんなことがあっても、感謝する心が<br>あれば乗り越えられちゃうよ！"""
11_voice_NPC_6010_100#0,"""感謝祭みたいな機会があれば<br>大切な人たちにありがとうって<br>言いやすいと思うの！"""
text01#4,"""おつかれさまー！<br>いっぱい手伝ってくれたね！<br>わたしもヘトヘトだよー。"""
text02#0,"""感謝の気持ちを伝えるための<br>イベントだったのに……<br>感謝が増えていくばかりだよ！"""
11_voice_NPC_6010_101#1,"""まずは貴方に感謝だよね！<br>本当にありがとう！<br>イベント、いーっぱい楽しんでね！"""
