text00#0,"""안녕하십니까.<br>어떤 용건이십니까?"""
text01#0,"""『챌린지 블록』에 대하여"""
text02#0,"""『챌린지 퀘스트』에 대하여"""
text03#0,"""『공통 쉽』에 대하여"""
text04#0,"""『챌린지 중 조언을 부탁한다』"""
text05#0,"""『챌린지 중 조언을 그만 받는다』"""
text06#0,"""이곳을 떠난다"""
text07#0,"""『아이템 전달』에 대하여"""
11_voice_challe_ope_001#0,"""챌린지 블록에 관한 거군요.<br>설명이 길어질 테니<br>우선 이것부터 봐 주세요."""
text01#1,"""요약하면 <c bb0000>장비나 클래스 레벨 등이<br>일시적으로 바뀌지만 원래 블록으로<br>이동하면 되돌아간다<c>는 뜻입니다."""
text02#1,"""훈련 사정상 클래스도 강제로<br>챌린저로 변경되지만<br>일시적이니 안심해 주세요."""
11_voice_challe_ope_001#1,"""챌린지 퀘스트에 관한 거군요.<br>설명이 길어질 테니<br>우선 이것부터 봐 주세요."""
text01#2,"""요약하면 <c bb0000>통일된 환경에서<br>상황에 맞게 대응하는 법을 훈련하는<br>퀘스트<c>라는 뜻입니다."""
text02#2,"""VR 에너지가 바닥나기 전에<br>얼마나 멀리 돌파할 수 있는지,<br>당신의 진정한 실력을 시험합니다."""
text03#1,"""도달 거리에 따라 지급되는<br>챌린지 마일은 원래 블록에서<br>보상과 교환할 수 있습니다."""
11_voice_challe_ope_001#2,"""공통 쉽에 관한 거군요.<br>설명이 길어질 테니<br>우선 이것부터 봐 주세요."""
text01#3,"""요약하면 <c bb0000>소속 쉽이 다른 사람과<br>교류할 수 있는 쉽<c>이라는 뜻입니다."""
text00#1,"""네, 알겠습니다.<br>챌린지 중 조언을<br>해 드리겠습니다."""
text01#4,"""조언이 필요 없게 되시면<br>언제든 말씀해 주세요."""
text00#2,"""네, 알겠습니다.<br>챌린지 도중에는 조언하지 않도록<br>하겠습니다."""
text01#5,"""다만 중요한 부분은<br>지금까지처럼 안내해 드리니<br>양해 부탁드립니다."""
text02#3,"""다시 조언이 필요해지시면<br>언제든 말씀해 주세요."""
11_voice_challe_ope_001#3,"""아이템 전달에 관한 거군요.<br>설명이 길어질 테니<br>우선 이것부터 봐 주세요."""
text01#6,"""요약하면 <c bb0000>자신의 소지품을<br>필드에 놓아 다른 플레이어에게<br>건넬 수 있다<c>는 뜻입니다."""
text02#4,"""챌린지 퀘스트에서는<br>무기나 유닛을 필드에 놓아<br>서로 건넬 수 있습니다. 잘 활용해 주세요."""
text00#3,"""『챌린지 블록』에 대하여"""
text01#7,"""『챌린지 블록』에 관해 설명하겠습니다.<br><br>챌린지 블록은 챌린지 퀘스트를<br>수주하기 위한 블록입니다.<br><br>챌린지 블록에서는 동일한 환경에서<br>훈련할 수 있도록 <red>플레이어의 레벨과<br>소지품이 일시적으로 제한<c>됩니다.<br><br>클라이언트 오더 등<br>일부 기능도 사용할 수 없지만<br>일반 블록으로 돌아가면<br>원래대로 돌아오니 안심해 주세요."""
text02#5,"""챌린지 블록도 다른 블록과 마찬가지로<br>퀘스트 카운터에서<br>퀘스트를 수주할 수 있습니다.<br><br>또한 텔레포터를 이용해<br>다른 챌린지 블록이나<br>원래 블록으로 이동할 수도 있습니다."""
text03#2,"""『챌린지 모뉴먼트』에 관해<br>설명하겠습니다.<br><br>챌린지 블록 안의<br>챌린지 모뉴먼트에 접속하면<br>챌린지 퀘스트 랭킹을<br>확인할 수 있습니다.<br><br>1위를 목표로<br>챌린지 퀘스트에 도전해 보세요.<br><br>※랭킹은 일정 기간마다 초기화됩니다"""
text00#4,"""『챌린지 퀘스트』에 대하여"""
text01#8,"""『챌린지 퀘스트』에 관해 설명하겠습니다.<br><br><red>챌린지 퀘스트는 VR 에너지가<br>바닥나기 전에 지정된 미션을 클리어하는<br>것을 목표로 하는 퀘스트<c>입니다.<br><br>다음 조건에서 퀘스트가 종료됩니다.<br><yellow>・지정된 미션 클리어<br>・VR 에너지 소진<c><br><br>VR 에너지는 참가자 모두가 공유합니다.<br>남은 양은 녹색 바로 표시됩니다."""
text02#6,"""『챌린저』<br>에 관해 설명하겠습니다.<br><br>챌린지 퀘스트에서는 클래스가<br>「챌린저」로 변경됩니다.<br><br>챌린저의 특징은 다음과 같습니다.<br><yellow>・모든 무기와 방어구 장비 가능<br>・PA, 테크닉, 스킬을 조건 없이<br>\u3000디스크에서 습득하고 장비 가능<c><br><br>스탠스는 2개까지 동시에 사용할 수 있습니다.<br>※일부 스탠스는 함께 사용할 수 없습니다"""
text03#3,"""『VR 에너지』에 관해 설명하겠습니다.<br><br>VR 에너지는 퀘스트 중에<br>소모되는 제한 시간과 같은 개념입니다.<br><br>다음 조건에서 VR 에너지가 소모됩니다.<br><yellow>・퀘스트 중 시간 경과(일부 퀘스트만)<br>・플레이어가 전투 불능이 됨<c><br><br>에너지 캡슐을 주우면<br>VR 에너지를 회복할 수 있습니다.<br>회복한 에너지는 참가자 모두가 공유합니다.<br><red>※미니맵에 표시되지 않는 캡슐도<br>있습니다<c>"""
text04#1,"""전투 불능이 되면 VR 에너지가<br>크게 소모됩니다.<br><br>다음 방법으로 부활하면 일정량을<br>회복할 수 있습니다.<br><yellow>・문 아토마이저 사용<c><br><br><red>그 밖의 방법으로 부활하면<br>소모한 VR 에너지는 회복되지 않으므로<c><br>동료를 적극적으로 부활시켜 주세요.<br><br>또한 <yellow>챌린지 돌<c>을 지니고 있으면<br>전투 불능자가 자동으로 부활하므로<br>VR 에너지를 소모하지 않습니다."""
text05#1,"""『인터벌 에리어』에 관해 설명하겠습니다.<br><br>퀘스트 중에는 인터벌 에리어라는<br>휴식 지점이 있습니다.<br>플레이어가 이곳에 도착하면<br>시간 경과에 따른 VR 에너지<br>소모가 멈춥니다.<br>※전투 불능 시의 에너지 소모와<br>문 아토마이저 사용 시 회복은 적용됩니다.<br><br>또한 일정 시간이 지나면 이곳에 도착하지 못한<br>모든 플레이어가 강제로 전송됩니다.<br><red>전투 불능 상태의 플레이어는 부활하지만<br>VR 에너지는 회복되지 않습니다.<c>"""
text06#1,"""인터벌 에리어의 리사이클 샵에서는<br>유용한 아이템으로 교환할 수 있습니다.<br><br>다음 미션에 대비해 회복 아이템을<br>보충하거나 무기와 디스크를<br>교환해 두세요.<br><br>교환 아이템이 부족하다면<br>파티 멤버에게 받는 것도 좋은 방법입니다."""
text07#1,"""『챌린지 마일』에 관해 설명하겠습니다.<br><br>챌린지 퀘스트를 클리어하면<br>챌린지 마일을 획득할 수 있습니다.<br>챌린지 마일은 샵 에리어에서<br>각종 아이템으로 교환할 수 있습니다.<br><br>마일은 주로 다음 방법으로 획득합니다.<br><yellow>・미션 클리어<br>・마일 크리스탈 획득<c><br>미션 클리어율은 에리어의<br>선두 플레이어 위치에 따라 결정됩니다.<br>마일 크리스탈 획득량은<br>참가자 모두가 공유합니다."""
text08#0,"""『자기 최고 기록 태그』에 관해 설명하겠습니다.<br><br>챌린지 퀘스트를 클리어하면<br>다음 챌린지 퀘스트부터<br>자기 최고 기록 태그가 배치됩니다.<br><br>자신의 최고 도달 기록을 나타내며<br>기록을 경신하면 위치도 갱신됩니다.<br><br>자신의 기록은 파란색,<br>다른 플레이어의 기록은 은색입니다."""
text09#0,"""챌린지 퀘스트에서는<br>에너미가 떨어뜨린 아이템과<br>컨테이너에서 나온 아이템을<br>자신만 주울 수 있습니다.<br><br><yellow>다른 플레이어는 주울 수 없으니<br>나타난 아이템은 적극적으로 주워 주세요.<c>"""
text10#0,"""『엑스트라 차지 보너스』에 관해<br>설명하겠습니다.<br><br>VR 에너지를 100% 이상 회복하면<br>회복량에 따라 엑스트라 차지 보너스를<br>얻을 수 있습니다.<br><br>엑스트라 차지 보너스로<br>2.5%마다 챌린지 마일을 1씩 지급하지만<br><red>VR 에너지는 100%를 넘겨 회복되지<br>않습니다.<c>"""
text00#5,"""『공통 쉽』에 대하여"""
text01#9,"""『공통 쉽』에 관해 설명하겠습니다.<br><br>공통 쉽은 각 쉽의 경계를 넘어<br>교류할 수 있는 쉽입니다.<br>이 쉽 안에서만 다른 쉽의 플레이어와<br>챌린지 퀘스트나 배틀 아레나를<br>플레이할 수 있습니다.<br><br>텔레포터에서<br>「공통 쉽의 챌린지 로비로 이동」 또는<br>「공통 쉽의 배틀 로비로 이동」을<br>선택하면 각 로비로<br>이동할 수 있습니다."""
text00#6,"""『아이템 전달』에 대하여"""
text01#10,"""『아이템 전달』에 관해<br>설명하겠습니다.<br><br>챌린지 퀘스트에서는<br>획득한 아이템을 필드에<br>놓을 수 있습니다.<br>놓은 아이템은 다른 플레이어가<br>주울 수 있습니다."""
text02#7,"""아이템을 배치하려면 아이템 팩에서<br>배치할 아이템을 선택한 뒤<br>「놓기」 커맨드를 실행하면<br>됩니다.<br>「놓기」 커맨드는 퀘스트 시작 후 사용할 수 있습니다.<br><br>아이템을 배치하면 해당 아이템은<br>아이템 팩에서 사라지고 필드에<br>배치됩니다.<br><br>자신이 배치한 아이템은 직접<br>다시 획득할 수도 있으므로, 실수로<br>아이템을 배치한 경우에도<br>다시 주우면 회수할 수 있습니다."""
text03#4,"""플레이어가 필드에 놓은<br>아이템은 에너미가 드롭한<br>아이템과 생김새가 다릅니다.<br><br>필드에 놓을 수 있는 아이템은<br>모든 플레이어를 합해<br>160개까지입니다.<br>놓은 아이템 수가<br>160개를 넘으면 가장 먼저 놓은<br>아이템부터 차례로 사라지니<br>주의해 주세요."""
text04#2,"""아이템 전달은<br>챌린지 퀘스트 공략에<br>매우 효과적인 방법입니다.<br><br>자신에게 필요 없는 아이템도<br>동료에게는 필요할 수 있으니<br>적극적으로 연락을 주고받으며<br>서로 부족한 아이템을 나누세요.<br><br>놓은 아이템 이름은 <green><lt>putitem<gt><c> 또는<br><green><lt>pi<gt><c>로 채팅에 입력할 수 있습니다."""
