Title#0,"""Основы Форса"""
Explanation#0,"""*Меню обучения<br>――――――――――――――――――――<br>Задание 1: используйте Just Attack<br>Задание 2: используйте последовательные<br>Just Attack<br>Задание 3: используйте Just Attack<br>с заряженными техниками<br>Задание 4: используйте талис<br>Задание 5: боевая подготовка"""
SimpleExplanation#0,"""CВыполните 5 заданий!"""
Training1#0,"""Используйте Just Attack с техниками"""
Training2#0,"""Используйте последовательные Just Attack с техниками"""
Training3#0,"""Используйте Just Attack с заряженными техниками"""
Training4#0,"""Используйте заряженные техники с помощью талиса"""
Training4_1#0,"""Атакуйте всех врагов одновременно"""
Training5#0,"""Уничтожьте противников"""
Retry_1#0,"""Задание 1"""
Retry_2#0,"""Задание 2"""
Retry_3#0,"""Задание 3"""
Retry_4#0,"""Задание 4"""
Retry_5#0,"""Задание 5"""
