Title#0,"""Основы Хантера"""
Explanation#0,"""*Меню обучения<br>――――――――――――――――――――<br>Задание 1: Выполните Just Attack ФА<br>Задание 2: Выполните Just Guard<br>Задание 3: обучение мечу<br>Задание 4: обучение цепным лансам<br>Задание 5: обучение партизанам<br>Задание 6: боевая подготовка"""
SimpleExplanation#0,"""Выполните 6 заданий!"""
Training1#0,"""Выполните Just Attack ФА"""
Training2#0,"""Выполните Just Guard"""
Training3#0,"""Используйте Фотон Арт Amass Gear"""
Training4#0,"""Используйте Фотон Арт Amass Gear"""
Training5#0,"""Используйте Фотон Арт Amass Gear"""
Training6#0,"""Уничтожьте противников"""
Retry_1#0,"""Задание 1"""
Retry_2#0,"""Задание 2"""
Retry_3#0,"""Задание 3"""
Retry_4#0,"""Задание 4"""
Retry_5#0,"""Задание 5"""
Retry_6#0,"""Задание 6"""
