Title#0,"""Основы Боунсера"""
Explanation#0,"""*Меню обучения<br>――――――――――――――――――――<br>Задание １：フォトンアーツのジャストアタック<br>課題２：武器アクションとフォトンブレード<br>課題３：武器属性の上書き<br>課題４：派生攻撃の使用<br>課題５：２段ジャンプ訓練<br>課題６：実戦訓練"""
SimpleExplanation#0,"""Выполните 6 заданий!"""
Training1#0,"""Выполните Just Attack ФА"""
Training2#0,"""Выполните действие оружием"""
Training3#0,"""Используйте Photon Blades"""
Training4#0,"""Зарядите Foie"""
Training4_1#0,"""ギアをためて通常攻撃"""
Training4_2#0,"""バータをチャージして通常攻撃"""
Training5#0,"""派生攻撃を行う"""
Training6#0,"""目標地点に辿り着く"""
Training7#0,"""Уничтожьте противников"""
Retry_1#0,"""Задание 1"""
Retry_2#0,"""Задание 2"""
Retry_3#0,"""Задание 3"""
Retry_4#0,"""Задание 4"""
Retry_5#0,"""Задание 5"""
Retry_6#0,"""Задание 6"""
Retry_7#0,"""Задание 7"""
