Title#0,"""Основы Файтера"""
Explanation#0,"""*Меню обучения<br>――――――――――――――――――――<br>Задание １：ツインダガーのギア訓練<br>課題２：ダブルセイバーのギア訓練<br>課題３：ナックルのギア訓練<br>課題４：ブレイブスタンスの使用<br>課題５：ワイズスタンスの使用<br>課題６：実戦訓練"""
SimpleExplanation#0,"""Выполните 6 заданий!"""
Training1#0,"""Используйте Фотон Арт Amass Gear"""
Training2#0,"""ギアをためてかまいたち発動"""
Training3#0,"""ギアを最大までためる"""
Training4#0,"""Уничтожьте противников используя Brave Stance"""
Training5#0,"""Уничтожьте противников используя Wise Stance"""
Training6#0,"""Уничтожьте противников"""
Retry_1#0,"""Задание 1"""
Retry_2#0,"""Задание 2"""
Retry_3#0,"""Задание 3"""
Retry_4#0,"""Задание 4"""
Retry_5#0,"""Задание 5"""
Retry_6#0,"""Задание 6"""
