Title#0,"""Основы Ганнера"""
Explanation#0,"""*Меню обучения<br>――――――――――――――――――――<br>Задание 1: используйте фотон арт<br>Amass Gear<br>Задание 2: передвигайтесь используя<br>S-Rolls<br>Задание 3: используйте Chain<br>Задание ４：боевая подготовка"""
SimpleExplanation#0,"""Выполните 4 задания!"""
Training1#0,"""Используйте фотон арт Amass Gear"""
Training2#0,"""Передвигайтесь используя S-Rolls"""
Training3#0,"""Используйте Chain"""
Training4#0,"""Уничтожьте противников"""
Retry_1#0,"""Задание 1"""
Retry_2#0,"""Задание 2"""
Retry_3#0,"""Задание 3"""
Retry_4#0,"""Задание 4"""
