Title#0,"""Основы Саммонера"""
Explanation#0,"""*Меню обучения<br>――――――――――――――――――――<br>Задание 1: зарегестрируйте и<br>выберите питомца<br>Задание 2: используйте<br>авто атаку питомца<br>Задание 3: используйте Point Assist<br>Задание ４：боевая подготовка"""
SimpleExplanation#0,"""Выполните 4 задания!"""
Training1#0,"""Зарегестрируйте питомца"""
Training1_1#0,"""Выберите питомца"""
Training2#0,"""Атакуйте питомцем"""
Training3#0,"""Выполните Point Assist"""
Training4#0,"""Уничтожьте противников"""
Retry_1#0,"""Задание 1"""
Retry_2#0,"""Задание 2"""
Retry_3#0,"""Задание 3"""
Retry_4#0,"""Задание 4"""
