name_7303#0,"""โนอัน (Noan)"""
ssn_019435_002_0010#0,"""ขอบคุณที่มานะ! เอาล่ะ,<br>นี่เป็นเรื่องสืบเนื่องจากที่เราคุยกันเมื่อกี้เลย"""
ssn_019435_002_0020#0,"""ดูเหมือนอุปกรณ์พิเศษที่แผนกพัฒนาอุปกรณ์สร้างขึ้นจะถูกน้องแมวคาบไปน่ะ"""
ssn_019435_002_0030#0,"""ทุกคนกำลังตามหาน้องแมวจอมซนตัวนั้นอยู่ จะได้เอาอุปกรณ์กลับคืนมา"""
ssn_019435_002_0040#0,"""เห็นว่ารู้ภูมิประเทศของภูมิภาคเอลิโอ (Aelio) เป็นอย่างดี,<br>เลยอยากจะขอให้ช่วยหน่อยน่ะ!"""
ssn_019435_002_0050#0,"""มีคนเห็นตามที่ต่างๆ ด้วยนะ<br>ลองใช้ข้อมูลพวกนั้นเป็นเบาะแสในการตามหาดูกันเถอะ!"""
ssn_019435_002_0060#0,"""ที่แรกเลย ใกล้ๆ กับซากเมืองเอลิโอ (Aelio Town Ruins)!"""
ssn_019435_002_0070#0,"""มีหอคอยที่มีแผงโซลาร์เซลล์มองเห็นซากเมืองอยู่<br>ดูเหมือนน้องแมวที่คล้ายกับเจ้าตัวแสบของเราจะอยู่บนยอดหอคอยนั้นนะ!"""
ssn_019435_002_0080#0,"""ฝากด้วยนะ!"""
ssn_019435_002_0110#0,"""ที่แรกเลย ใกล้ๆ กับซากเมืองเอลิโอ (Aelio Town Ruins)!"""
ssn_019435_002_0120#0,"""มีหอคอยที่มีแผงโซลาร์เซลล์มองเห็นซากเมืองอยู่<br>ดูเหมือนน้องแมวที่คล้ายกับเจ้าตัวแสบของเราจะอยู่บนยอดหอคอยนั้นนะ!"""
ssn_019435_002_0130#0,"""ฝากด้วยนะ!"""
ssn_019435_002_0210#0,"""ต่อไปก็ภูมิภาคเอลิโอเหนือ (Northern Aelio)!"""
ssn_019435_002_0220#0,"""มีหุบเขาลึกอยู่ระหว่างที่ราบสูงอัลโตลานี่ (Alto Lani Plateau) กับหนองน้ำฮาลฟาน่า (Halphana Marshlands)<br>เขาว่ากันว่ามันนอนอยู่บนคานเหล็กชั้นบนสุดที่พาดข้ามหุบเขานั้นแหละ"""
ssn_019435_002_0230#0,"""ฝากด้วยนะ!"""
ssn_019435_002_0310#0,"""สถานที่ต่อไปคือภูมิภาคเอลิโอใต้ (Southern Aelio)!<br>ดูเหมือนจะอยู่ใกล้ๆ ทางเข้า Cocoon บนยอดเขาพิค็อต (Mt. Picott) นะ"""
ssn_019435_002_0320#0,"""อย่าเพิ่งยอมแพ้ล่ะ มาพยายามด้วยกันเถอะ!"""
ssn_019435_002_0410#0,"""คราวนี้เป็นทะเลสาบฮาลฟีเรีย (Lake Halphiria)! มีเต็นท์กางอยู่ทางใต้ของทะเลสาบ,<br>และมีคนพบน้องแมวสีน้ำตาลที่นั่นด้วย!"""
ssn_019435_002_0420#0,"""คราวนี้ต้องจับได้แน่!"""
ssn_019435_002_0510#0,"""ขอบคุณมากเลยนะที่มาช่วยคราวนี้! เอาอุปกรณ์พิเศษนี้ไปใช้ได้ตามสบายเลยนะ"""
ssn_019435_002_0520#0,"""ถ้ามีอะไรเกิดขึ้นอีก,<br>จะต้องขอให้ช่วยอีกแน่นอนเลย!"""
