msc_020250_0010#0,"""นั่นมัน... พวก DOLLS งั้นเหรอ?"""
msc_020250_0020#0,"""พวกมันคือตัวที่เราเห็นใต้ดินที่ฮาลฟา (Halpha) นี่นา"""
msc_020250_0030#0,"""แต่ว่า... ดูจำนวนพวกมันสิ..."""
msc_020250_0040#0,"""ที่นี่ต้องเป็นโรงงานผลิตแน่ๆ เลย"""
msc_020250_0050#0,"""มาน่อน! ถ้าเธออยู่ที่นี่ก็ส่งเสียงหน่อยสิ!"""
msc_020250_0060#0,"""ยินดีต้อนรับ 909..."""
msc_020250_0070#0,"""นายคือเซเฟตโต้ (Zephetto) สินะ?!"""
msc_020250_0080#0,"""เธอคงจะเป็นไอน่า (Aina) สินะ..."""
msc_020250_0090#0,"""ไม่คิดเลยว่าแม้แต่รุ่นที่สอง (Second Generation) จะพัฒนามาได้ถึงขนาดนี้..."""
msc_020250_0100#0,"""มาน่อนอยู่ที่ไหน?!"""
msc_020250_0110#0,"""มาน่อน!!"""
msc_020250_0120#0,"""มาสิ ฉันจะรอ..."""
msc_020250_0130#0,"""นายทำอะไรกับมาน่อน?! เซเฟตโต้ (Zephetto)!"""
msc_020250_0140#0,"""แย่แล้ว... มาน่อนน่าสงสารจัง เธอคิดว่าเขาพูดถึงที่ไหนงั้นเหรอ?"""
msc_020250_0150#0,"""ฉันไม่รู้หรอก"""
msc_020250_0160#0,"""พวกเราเดินหน้าต่อไปกันเถอะ"""
msc_020250_0170#0,"""ขอโทษทีนะ ก็ต้องไม่รู้อยู่แล้วนี่นา"""
msc_020250_0180#0,"""ฉันเดาว่าเราคงต้องมุ่งหน้าต่อไปสินะ"""
msc_020250_0190#0,"""เธอพูดถูก..."""
name01#0,"""???"""
