msc_020280_0010#0,"""...People?!"""
msc_020280_0020#0,"""Huh?"""
msc_020280_0030#0,"""Ah... Right."""
msc_020280_0040#0,"""Umm... Where are we right now?"""
msc_020280_0060#0,"""..."""
msc_020280_0070#0,"""Uh... Hello..."""
msc_020280_0080#0,"""Do you know where Manon is?"""
msc_020280_0090#0,"""Did Manon come through here?"""
msc_020280_0100#0,"""Manon...?"""
msc_020280_0110#0,"""Do you know Manon?"""
msc_020280_0120#0,"""I don't know. She isn't here."""
msc_020280_0130#0,"""Sorry, um... Where is Zephetto?"""
msc_020280_0140#0,"""Zephetto..."""
msc_020280_0150#0,"""The Governor is in the Control Tower past this room."""
msc_020280_0160#0,"""Control Tower...?"""
msc_020280_0170#0,"""Could I ask you some more questions?"""
msc_020280_0180#0,"""..."""
msc_020280_0190#0,"""I have so many questions, but nobody's answering anymore."""
msc_020280_0200#0,"""That lady said Zephetto is in this direction."""
