name01#0,"""푸딩"""
11_voice_NPC_5082_104#0,"""<%me> 님.<br>장비 관리관 푸딩이라고 합니다."""
text02#0,"""이렇게 연락드린 것은<br>아크스의 새로운 훈련용 퀘스트를<br>안내해 드리기 위해서입니다."""
text03#0,"""익스트림 퀘스트라 불리는<br>이 퀘스트를 수주하려면 전용<br>『<red>익스트림 패스<c>』가 필요합니다."""
text04#0,"""패스는 제가 관리하고 있습니다.<br>아크스 활동 재개 시 자동으로 받거나<br>시간이 되실 때 받으러 와 주십시오."""
text05#0,"""또한 컬렉트 파일도 함께<br>발행되었기에 연락드립니다."""
text06#0,"""컬렉트 파일은 시트에 있는<br><blue>필요 아이템을 모두 획득하면<br>보상을 받을 수 있는<c> 시스템입니다."""
text07#0,"""<red>대상 아이템은<br>시트마다 다르며<c>, 보상도<br>그 내용에 따라 달라집니다."""
text08#0,"""컬렉트 파일에<br>새로운 시트가 추가되면<br>제가 연락드리겠습니다."""
text09#0,"""그럼 앞으로도<br>잘 부탁드립니다."""
linewindow#0,"""<br>『익스트림 퀘스트』에 대해<br>"""
text00#0,"""『익스트림 퀘스트』에 대해"""
text01#0,"""「익스트림 퀘스트」에 대해 설명하겠습니다.<br><br>「익스트림 퀘스트」는 가혹한 상황에서<br>임무 수행 능력을 높이기 위해 마련된 훈련 프로그램입니다.<br><br>아크스 쉽 격납고에 고정된 캠프십의<br>텔레풀을 통해 VR 공간으로 다이브할 수 있습니다.<br><br>VR 공간에는 「스테이지」라 불리는 에리어가 여러 겹<br>이어져 있으며 정기적으로 확장됩니다."""
text02#1,"""「익스트림 퀘스트」를 시작하려면<br>「<yellow>익스트림 패스<c>」가 필요합니다.<br><br>「<yellow>익스트림 패스<c>」는 로그인할 때 받거나<br>장비 관리관 푸딩에게 받을 수 있습니다.<br><br><yellow>계정당 22시간마다 한 번<c><br>받을 수 있습니다."""
text03#1,"""익스트림 퀘스트에서는 쓰러뜨린 에너미가<br>「<yellow>원석<c>」이나 「<yellow>조각<c>」이라 불리는 아이템을<br>드롭할 때가 있습니다.<br><br>원석과 조각에는 종류가 있으며, 획득할 수 있는 종류는<br>익스트림 퀘스트마다 다릅니다.<br><br>에너미가 드롭하는 것 외에도<br>퀘스트의 최종 에리어를 클리어하면<br>대량으로 획득할 수 있습니다.<br><br>원석과 조각은 아크스 로비의 마석 교환 숍에서<br>강력한 무기나 방어구로 교환할 수 있습니다."""
