text00#0,"""Я администратор боевой арены,<br>Лавернат. Поспешите задать<br>свои вопросы."""
text01#0,"""Правила: Бой за эмблемы"""
text02#0,"""Эмблемы"""
text03#0,"""Получение оружия"""
text04#0,"""Боевые области"""
text99#0,"""Уйти"""
text00#1,"""Желаете узнать о основных<br>правилах, да? Прежде всего,<br>пожалуйста, ознакомьтесь<br>с этим."""
text01#1,"""На этом обзор правил завершён.<br>Всё что осталось - отправиться<br>в бой."""
text00#2,"""Желаете узнать по поводу<br>эмблем, да?<br>Прежде всего, пожалуйста,<br>ознакомьтесь с этим."""
text01#2,"""Скорее всего, бои будут<br>сосредоточены в местоположении<br>самых ценных эмблем."""
text02#1,"""Если вы сможете взять эту<br>область под свой контроль,<br>у вас будет большое<br>преимущество. Пожалуйста,<br>не забывайте об этом."""
text00#3,"""Желаете узнать о<br>получении оружия, да?<br>Прежде всего, пожалуйста,<br>ознакомьтесь с этим."""
text01#3,"""Даже если вы получите оружие,<br>которое вам не нравится,<br>попробуйте попользоваться им.<br>Это будет ценным опытом."""
text02#2,"""Даже если вы получите оружие,<br>которое вам не нравится,<br>попробуйте попользоваться им.<br>Это будет ценным опытом."""
text00#4,"""Желаете узнать о<br>боевых областях, да?<br>Прежде всего, пожалуйста,<br>ознакомьтесь с этим."""
text01#4,"""Каждая боевая область имеет<br>свои особенности. Если вы<br>не можете научиться справляться<br>с ними, то вам будет трудно<br>добиться победы."""
text02#3,"""Прежде всего, отправляйтесь и<br>набирайтесь опыта. Продолжайте<br>столько, сколько вам<br>понадобится, чтобы понять."""
text00#5,"""Хорошо. Я больше не буду<br>давать вам советов."""
text01#5,"""Однако учтите, что я всё равно<br>буду рассказывать вам о<br>важных вещах."""
text02#4,"""Если вы решите, что вам нужен<br>совет, не стесняйтесь<br>спрашивать."""
11_voice_challe_ope_001#0,"""Это информация о доставке<br>предметов. Это длинное<br>объяснение, так что, прежде<br>всего ознакомьтесь с ним."""
text01#6,"""Подводя итог,<br><c bb0000>вы можете выбрасывать предметы<br>на землю, чтобы передавать<br>их другим игрокам<c>."""
text02#5,"""В квестах челленджей вы можете<br>передавать снаряжение друг<br>другу. Пожалуйста, не забывайте<br>об этом."""
