name01#0,"""시에(이스터)"""
11_voice_NPC_5134_100#0,"""따뜻하고 포근해서 기분 좋네!<br>봄 행사라면 역시 이스터!<br>올해도 신나고 즐겁게 기획할게!"""
text01002#0,"""그렇게 생각했는데……<br>사실 지금 조금 슬럼프야."""
text01003#0,"""늘 네게서<br>힌트를 얻어서 미안하지만<br>이번에도 도와주지 않을래?"""
11_voice_NPC_5134_101#0,"""안녕!\u3000지금은 어떻게 되고 있어?<br>언제까지든 기다릴게!"""
text02002#0,"""그래도 무리하진 마!<br>이렇게 상쾌한 봄날에는<br>마음껏 즐기지 않으면 손해야!"""
text03001#0,"""올해도 행사장에 장식할 알을<br>아주 많이 준비할 거야!<br>색과 무늬를 생각하면 정말 즐거워!"""
11_voice_NPC_5134_100#1,"""후후훗, 귀여운 알을 보면<br>분명 모두가 웃게 되겠지!<br>그러니 열심히 만들 거야!"""
text04001#0,"""하암…… 앗, 미안해!<br>밤늦게까지 기획에 몰두해서<br>이런 날씨면 졸려져……"""
11_voice_NPC_5134_105#0,"""봄잠이, 뭐였더라…… 쿨.<br>후후훗…… 모두 즐거워 보여……"""
11_voice_NPC_5134_100#2,"""이번에도 정말 많이<br>도와줘서 고마워!<br>이제 최고의 기획이 나올 것 같아!"""
text05002#0,"""모두가 푹 빠져<br>즐기는 모습을 상상하면<br>준비도 정말 즐거워!"""
11_voice_NPC_5134_101#1,"""나머지 준비는 내게 맡겨!<br>너도 이벤트를 즐겨 줘!"""
11_voice_NPC_5134_100#3,"""아직 조금 쌀쌀하지만<br>봄바람이 상쾌해서 기분 좋네!"""
text01002#1,"""그래서<br>이스터 이벤트를 준비 중이야!"""
text01003#1,"""늘 도와줘서 정말 든든해!<br>올해도 협력 부탁할게!"""
11_voice_NPC_5134_100#4,"""지금은 어떻게 되고 있어?<br>언제까지든 기다릴게!"""
text02002#1,"""여러모로 움직여 준 덕분에<br>정말 큰 도움이 됐어!\u3000그래도<br>너무 무리하진 마!"""
text03001#1,"""얼마 전에 꾼 꿈인데<br>아주 커다란 알 안에 숨어 있는<br>폭신한 랍피들에게 안겨 자고 있었어."""
11_voice_NPC_5134_100#5,"""그랬더니 꿈속에서 또<br>행사장을 알로 꾸미는 꿈을 꿨어!\u3000<br>……꿈속에서 꿈을 꾸는 건 이상한가?"""
11_voice_NPC_5134_105#1,"""음, 왜 즐거운 이벤트 전에는<br>항상 방해가 들어오는 걸까!"""
text04002#0,"""즐거워 보이면<br>에너미도 다가오는 걸까?"""
text04003#0,"""아무튼 많이 도와줘서<br>감격할 만큼 고마워!"""
11_voice_NPC_5134_100#6,"""수고했어!<br>아이디어부터 행사장 안전까지.<br>처음부터 끝까지 정말 고마워!"""
text05002#1,"""모두를 웃게 할<br>기획 준비도 아주 순조로워.<br>전부 네 덕분이야!"""
11_voice_NPC_5134_101#2,"""이제 푹 쉬고 있어!<br>최고로 즐거운 이벤트는<br>내게 맡겨 줘!"""
