11_voice_NPC_6009_100#0,"""안녕!<br>너, 아크스 맞지?"""
text01002#0,"""나는 시에야.<br>이 오라클에서 열리는 여러<br>이벤트를 기획하고 있어."""
text01003#0,"""그런데 꽤 힘들더라고.<br>그래서!\u3000괜찮다면<br>네가 도와줬으면 해!"""
text01004#0,"""부탁을 들어줄 거라면<br>나한테 다시 한번<br>말을 걸어 주면 좋겠어!"""
text02001#0,"""순조롭게 진행되고 있어?<br>언제까지든 기다릴게!"""
text03001#0,"""이벤트는 좋지.<br>모두가 웃어 주니까!"""
11_voice_NPC_6009_100#1,"""그래서 나도<br>힘내서 준비할게!<br>도와주면 좋겠어!"""
11_voice_NPC_6009_100#2,"""도와줘서 고마워.<br>정말 큰 도움이 되고 있어!"""
text04002#0,"""아, 그래도.<br>무리하면 안 돼!"""
text05001#0,"""수고했어!<br>이제 이벤트도 잘될 것 같아!<br>정말 큰 도움이 됐어!"""
11_voice_NPC_6009_100#3,"""모두가 기뻐할 얼굴을<br>상상하면 벌써 설렌다니까!"""
text05003#0,"""정말, 정말 고마워!"""
