un_061090_0010#0,"""Esos Photoners eran increíblemente fuertes."""
un_061090_0020#0,"""Su capacidad para absorber Photons hace que casi todos nuestros ataques sean completamente inútiles."""
un_061090_0030#0,"""¿Crees que todos los Photoners son capaces de hacer eso?"""
un_061090_0040#0,"""Esto es solo especulación... Pero creo que es por la bendición de Shiva."""
un_061090_0050#0,"""¿Su bendición?..."""
un_061090_0060#0,"""Sí, Shiva es la única Photoner capaz de absorber Photons."""
un_061090_0070#0,"""Ella expreso que fue creada para ese propósito, por lo que es una habilidad única de ella."""
un_061090_0080#0,"""Shiva ha otorgado el uso de esa misma habilidad a sus aliados Photoner."""
un_061090_0090#0,"""¿Y ahora todos ellos son capaces de absorber Photons?"""
un_061090_0100#0,"""Sí, precisamente así es. Sin embargo, existen diferencias individuales entre los que se lo otorgan, por lo que no está exento de fallas."""
un_061090_0110#0,"""¿Eh? De Verdad?"""
un_061090_0120#0,"""Sí. La cantidad de Photons absorbidos no puede exceder la cantidad máxima que el huésped es capaz de contener."""
un_061090_0130#0,"""En otras palabras, si eres capaz de producir más Photons de los que el enemigo puede absorber en un ataque, no podrán absorber más y recibiran daño."""
un_061090_0140#0,"""La prueba está en el hecho de que pudiste derrotar a las fuerzas Photoner."""
un_061090_0150#0,"""Ah, Ya veo. Logramos vencerlos incluso con lo fuertes que eran."""
un_061090_0160#0,"""Lo que significa que si de alguna manera pudiéramos montar un ataque que sobrepasara los límites de Photon de Shiva..."""
un_061090_0170#0,"""Si, seria posible."""
un_061090_0180#0,"""Sin embargo... Shiva es [Profound Darkness] en teoria."""
un_061090_0190#0,"""Un ser creado para absorber todos los Photons."""
un_061090_0200#0,"""Tendríamos que descubrir una manera de superar una capacidad tan insondable..."""
un_061090_0210#0,"""Esa es... definitivamente la situación."""
