un_061030_0001#0,"""A.P.242/2/23"""
un_061030_0010#0,"""...Uf. Finalmente tenemos un tiempo libre."""
un_061030_0020#0,"""El código de operación independiente ARKS... Nunca pensé que alguna vez lo usarían."""
un_061030_0030#0,"""Perdóneme."""
un_061030_0040#0,"""Geh, Casra. ¿Necesitas algo?"""
un_061030_0050#0,"""Veo que soy tan popular como siempre. Bueno, no importa"""
un_061030_0060#0,"""Perfecto. <%me> también está aquí."""
un_061030_0070#0,"""La situación aún es bastante impredecible, pero las cosas se han calmado hasta cierto punto. Estoy aquí para dar mi informe."""
un_061030_0080#0,"""En primer lugar, la Mothership ha caído completamente bajo el dominio de Shiva."""
un_061030_0090#0,"""Supuse que podrías pensar en ello como la \""Mothership Shiva\"" por ahora. Su ubicación actual es desconocida."""
un_061030_0100#0,"""Todos las naves ARKS están operando actualmente de forma independiente. Debes estar al tanto de los detalles, Xiera."""
un_061030_0110#0,"""Correcto. Tuvimos un comienzo difícil, pero en su mayoría se ha suavizado."""
un_061030_0120#0,"""Los daños de nuestra batalla anterior comprenden aproximadamente el 40% de todo ARKS... También hay numerosas bajas."""
un_061030_0130#0,"""Actualmente estamos investigando a los enemigos que acompañan a Shiva."""
un_061030_0140#0,"""Esas máquinas extrañas... ¿Eran Photoners?"""
un_061030_0150#0,"""Actualmente no lo sabemos. Sin embargo, podemos informar que no poseían un sentido de sí mismos o una voluntad propia."""
un_061030_0160#0,"""Entonces, ¿Realmente son armas mecánicas? Ah, acabo de recibir los datos... ¿Qué es todo esto?"""
un_061030_0170#0,"""Espera... ¿Casra? ¡Cómo puede haber tantos ya...!"""
un_061030_0180#0,"""Mi informe verbal cubrió solo los puntos principales. Revise esos datos para conocer el alcance total de nuestros hallazgos."""
un_061030_0190#0,"""Ahora, si me disculpas."""
un_061030_0200#0,"""¿Por qué siempre me deja con estos líos! ¡Al menos resuelva todo primero!"""
