st_061120_0001#0,"""A.P.242/2/17/12:00"""
st_061120_0010#0,"""...Por cierto Lisa, ¿Cómo pudiste leer los movimientos del enemigo?"""
st_061120_0020#0,"""Hehehehehe. Porque Lisa en realidad usa sus ojos."""
st_061120_0030#0,"""？？"""
st_061120_0040#0,"""Todos los ARKS se basan demasiado en los Photons. Y no confían en sus ojos."""
st_061120_0050#0,"""Aunque no puedes ver, confías en el radar para decidir dónde atacar, ¿Sí? Es verdad."""
st_061120_0060#0,"""Todos piensan que están usando sus ojos, pero realmente perciben a los Photons y sus movimientos."""
st_061120_0070#0,"""Pero estos enemigos esconden sus Photons."""
st_061120_0080#0,"""Y pueden leer nuestros Photons en su lugar. Naturalmente, no puedes seguir el ritmo."""
st_061120_0090#0,"""En otras palabras, no hay nada que puedas hacer al respecto."""
st_061120_0100#0,"""Entonces, ¿Nunca podremos luchar contra ellos normalmente?..."""
st_061120_0110#0,"""Si descubres una tecnología superior a la del enemigo, podrías luchar como siempre."""
st_061120_0120#0,"""También hay otros miembros de ARKS además de Lisa que luchan sin usar Photons."""
st_061120_0130#0,"""Ella quiere decir..."""
st_061120_0140#0,"""...Estás aquí."""
st_061120_0150#0,"""Señorita, ¿Estás sola?"""
st_061120_0160#0,"""¿Pretendes enfrentarte a mí sola, ademas tiento que tienes muy poco Photon? Tu me subestimas."""
st_061120_0170#0,"""¿Quién está subestimando a quién?"""
st_061120_0180#0,"""...Hm? Podría ser?..."""
st_061120_0190#0,"""¿No usas Photons?"""
st_061120_0200#0,"""¡Está bien!, ¡No tengo uno solo!, ¡No puedo sentirlos en absoluto, y no confío en ellos!"""
st_061120_0210#0,"""¡Tus poderes de absorción de Photon no funcionarán en mí!"""
st_061120_0220#0,"""¡Ah!"""
st_061120_0230#0,"""¿Quién pensaria que esta maldición sería útil después de todo?..."""
st_061120_0240#0,"""Nunca lo perdonaré... ¡Pero Lutero puede ser útil a veces!"""
st_061120_0250#0,"""¡Toma esto!"""
st_061120_0260#0,"""なッ！？"""
st_061120_0270#0,"""……ふふ、ふふふっ。"""
st_061120_0280#0,"""Jovencita, ¿Qué fue lo que acabas de decir?"""
st_061120_0290#0,"""A menos que me equivoque... Usted pronunció un nombre muy interesante."""
st_061120_0300#0,"""¡¿Que?!, ¡Esto es malo!..."""
