un_049060_0010#0,"""<%me>さん！<br>いいところに、こちらへどうぞ！"""
un_049060_0020#0,"""さあさ、地球の情報収集ですよ！\u3000情報収集！<br>私と<%me>さんだけの<br>秘密の諜報、始めちゃいましょう！"""
un_049060_0030#0,"""ほら、女性陣だけの動きを追っていても<br>状況がつかみにくいじゃないですか。"""
un_049060_0040#0,"""アルくんやエンガさんのまわりも<br>どうなってるのか見てみるべきだなーと<br>思いまして……！"""
un_049060_0050#0,"""さあさあ、見ちゃいましょう！<br>地球は今、どんな感じなんですかーっと！"""
un_049060_0060#0,"""あははっ、大きい！\u3000大きーい！<br>お風呂おっきくて気持ちいいー！<br>気持ちいいね、お兄ちゃん！"""
un_049060_0070#0,"""まあ、それは否定しないが……<br>……なんなんだよ、この場の面子は。"""
un_049060_0080#0,"""ほほ、随分と難しい顔をしておるな。"""
un_049060_0090#0,"""地学の特別講師で来てたあんたはまだいい……<br>問題はてめえだてめえ。"""
un_049060_0100#0,"""何しれっと混ざってやがる、亜贄萩斗！"""
un_049060_0110#0,"""失敬な。私はＯＢだし、多大な寄付もしている。<br>いわば、この学校を支えている存在だよ。<br>敬意を払われこそすれ、だろう。"""
un_049060_0120#0,"""あのな、てめえのせいで<br>こっちがどんだけ迷惑被ってると思ってやがんだ？"""
un_049060_0130#0,"""だからその謝罪の意を言葉だけでなく<br>寄付や慈善事業というかたちで<br>表しているんじゃないか。"""
un_049060_0140#0,"""一晩ぐらい、昔を懐かしんでいる私を<br>寮に泊めてくれたっていいだろう？"""
un_049060_0150#0,"""……すまんの。<br>マザークラスタに入ったときから<br>こんなやつなんじゃよ。"""
un_049060_0160#0,"""じいさんが謝ることじゃねえよ。<br>……ったく。"""
un_049060_0170#0,"""でも、賑やかなのっていいよね。<br>僕、みんなと一緒が一番楽しいよ。"""
un_049060_0180#0,"""お姉ちゃんたちも一緒に来ればよかったのに。"""
un_049060_0190#0,"""あーほ、そんなことしたら大騒ぎだ。"""
un_049060_0200#0,"""前は一緒に入ったのに……"""
un_049060_0210#0,"""何！？"""
un_049060_0220#0,"""詳しく！"""
un_049060_0230#0,"""おい出てけクソＯＢ。"""
un_049060_0240#0,"""重ね重ね失礼だな君は。<br>健全な男子は同年代異性の身体事情に<br>興味津々なものだろう？"""
un_049060_0250#0,"""ここは男だけの場なんだ。<br>何を遠慮する必要があるんだい。"""
un_049060_0260#0,"""ふむ……そういえばエンガよ。<br>ぬしはなにやらオークゥに<br>気を持たれているように見えたが？"""
un_049060_0270#0,"""ノってくんのかよじいさん！"""
un_049060_0280#0,"""ふむふむ、君は貧乳が好きなんだね！"""
un_049060_0290#0,"""好きなんて一言も言ってねえ！<br>あと、てめえはもう少し表現をオブラートに包め！"""
un_049060_0300#0,"""お兄ちゃん、貧乳って何？<br>ねえ、何、何？"""
un_049060_0310#0,"""くっそめんどくせえ飛び火だな！<br>あー、ヒツギだヒツギ、ヒツギみたいな胸のことだ！<br>すとーん、って感じで何もなかっただろ！"""
un_049060_0320#0,"""え？<br>お姉ちゃんの胸、ぽよんとしてたよ。"""
un_049060_0330#0,"""何……だと……！"""
un_049060_0340#0,"""でも、コオリのほうがもっとすごかった。<br>ぽよよよーん、って感じだった。"""
un_049060_0350#0,"""ほほ。<br>確かに鷲宮氷莉はよい発育をしておるのう。<br>あれは非常に眼福であったぞ。"""
un_049060_0360#0,"""だからノっかるんじゃねえよエロジジイ！"""
un_049060_0370#0,"""ふふ、いいねえ、男同士の会話っぽくなってきた。<br>……ああ、学生の頃にも<br>こういう話をしてみたかったなあ。"""
un_049060_0380#0,"""お前ほんと一人ぼっちだったんだな。<br>……よくそれで生徒会長やれたな。"""
un_049060_0390#0,"""まあ、優秀だったからね、私は！"""
un_049060_0400#0,"""今の一言で嫌われてた理由もよーくわかったぜ。"""
un_049060_0410#0,"""それで、エンガ君、君の好みはどうなんだい？<br>でっかいのかい、ちっちゃいのかい？"""
un_049060_0420#0,"""ちなみに私は、どちらでも可だ！<br>小さいには小さき美、大には大なる美があるからね！"""
un_049060_0430#0,"""うっせえ、聞いてもいねえことを<br>べらべらしゃべってんじゃねえよ！"""
un_049060_0440#0,"""ヒツギ君とコオリ君でいうならば<br>断然コオリ君になるが。"""
un_049060_0450#0,"""……てめえいい度胸だ表出ろ。"""
un_049060_0460#0,"""なぜだい、やはり君は貧乳が好きなのかい？<br>ならなおさら、オークゥとはお似合いじゃないか。<br>私の最新アプリで仲を取り持とうかい？"""
un_049060_0470#0,"""本気で死ぬか？\u3000お？"""
un_049060_0480#0,"""アル君、君はどうだい？<br>直に触れてみて、ヒツギ君とコオリ君<br>どちらの胸の中がよかったんだい？"""
un_049060_0490#0,"""んー……よくわからないけど<br>抱きしめてくれるのは、好き。"""
un_049060_0500#0,"""コオリのはときどき息苦しいから<br>ときどき嫌いだけど……<br>あったかいから、二人とも好きだよ。"""
un_049060_0510#0,"""そうか！<br>つまり私と同意見ということだね！"""
un_049060_0520#0,"""てめえのただれた意見を<br>アルのイノセントな思いに重ねてんじゃねえ！"""
un_049060_0530#0,"""ほほ、若いのう。<br>こういった一幕こそ、平和の具現というもの<br>なのじゃろうなあ……マザーよ。"""
un_049060_0540#0,"""…………はっ！<br>す、すいません、食い入るように見てしまいました！"""
un_049060_0550#0,"""み、皆さん仲よさそうで良かったですね！<br>はい、はい！\u3000今回の情報収集は終了です！"""
un_049060_0560#0,"""今の映像情報は、私がしっかり、厳重に<br>内密に保管させてもらいますので、はい！"""
