st_048160_0001#0,"""A.D.2028/6/6/14:00"""
st_048160_0010#0,"""……그 후로 일개월.<br>내 주변의 세계는 생각보다 더<br>싱겁게 평범하게 돌아왔다."""
st_048160_0020#0,"""나와 코오리는 고등학교 2학년.<br>오빠는 3학년이 되었다."""
st_048160_0030#0,"""학교도 원래대로, 수업도 여태까지대로.<br>학생회도 그대로 남아있다."""
st_048160_0040#0,"""하, 하, 하, 학생회~♪<br>예, 예, 예, 예산안~♪"""
st_048160_0050#0,"""다, 다, 다, 다시 해야돼~……"""
st_048160_0060#0,"""응…… 아, 히츠기.<br>아라토론 씨한테서 연락왔어~."""
st_048160_0070#0,"""이번 「에스카」의 유지보수를<br>도와줬으면 한다는데~.<br>알겠습니다라고 답신해둘게~."""
st_048160_0080#0,"""현재 마더 클러스터는<br>마더의 부재를 숨긴채<br>아라토론 씨가 총괄하고 있다."""
st_048160_0090#0,"""마더의 의지를 이어, 지구를 위해<br>세계를 뒤에서 지탱하기 위한 조직으로<br>바뀌나가겠다고 호언장담했다."""
st_048160_0100#0,"""……방해 좀 한다."""
st_048160_0110#0,"""아, 엔가 씨.<br>아니, 와왓, 뭐하고 있어요?<br>이런 곳에 숨어서."""
st_048160_0120#0,"""됐으니까 조용히 해.<br>이쪽 보지 마라, 절대로.<br>……왔다!"""
st_048160_0130#0,"""어~이, 10% 미남!<br>수학ⅢC 숙제 아직 안 낸 건 너뿐이야!<br>도망다니지 말고 적당히 포기해!"""
st_048160_0140#0,"""……현대 국어 과제도 미제출.<br>어차피 안했겠지만.<br>체념하지 못하는 건 꼴사나워."""
st_048160_0150#0,"""아~…… 그렇구나<br>……그런 거군요."""
st_048160_0160#0,"""오쿠와 풀은 아무 예고도 없이<br>마더 클러스터의 권한을 이용해서<br>어째선지 우리 학교 담임으로 부임해왔다."""
st_048160_0170#0,"""둘 다 세계적으로 유명한 수학자랑 문학가라<br>부임 당시엔 상당한 소동이었지만 당사자는 관심도 없었다."""
st_048160_0180#0,"""풀이 말하기론 오쿠가 원해서<br>그랬다고는 하는데……<br>그런 것치곤 본인도 즐기고 있는 것 같다."""
st_048160_0190#0,"""……어떻게 해도 안 나올 생각이구나.<br>그럼 어쩔 수 없지.<br>맥스웰~!"""
st_048160_0200#0,"""앗, 너!<br>그건 치사하지! 어이!"""
st_048160_0210#0,"""자 잡았다~.<br>그럼 풀, 부탁해."""
st_048160_0220#0,"""……네네.<br>공부방으로 3명 들어갑니다~."""
st_048160_0230#0,"""왠지 가벼~운 느낌으로<br>능력을 쓰고 있는데<br>……괜찮은 걸까, 저거."""
st_048160_0240#0,"""좋은 일이라 생각합니다.<br>스스로 쓸 수 있는 힘을 인식하고 다루는 것은<br>결코 나쁜 일이 아니랍니다."""
st_048160_0250#0,"""와, 파레그 씨!"""
st_048160_0260#0,"""안녕하세요.<br>두 분 다 건강해보여 다행이네요.<br>……어떠신가요, 이 다음 한 판?"""
st_048160_0270#0,"""아, 아하하, 나도 히츠기도<br>아직 일이 남아있어서…… 좀……"""
st_048160_0280#0,"""그건 아쉽네요.<br>다들 바쁘신 것 같아서<br>상대를 안해주신단 말이죠."""
st_048160_0290#0,"""그 분께도 권유를 하고 있지만<br>꽤나 도전을 안 받아주신단 말이에요."""
st_048160_0300#0,"""파레그 씨는 항상 신출귀몰.<br>그 뒤로 모습을 감췄다고 생각했더니<br>이렇게 가끔 모습을 보인다."""
st_048160_0310#0,"""아, 차라도……"""
st_048160_0320#0,"""괜찮습니다.<br>근처에 들렀을 뿐이니까요."""
st_048160_0330#0,"""그럼 싸우고 싶어지시면 언제든<br>절 불러주세요."""
st_048160_0340#0,"""오피엘 씨는 파레그 씨가 데리고<br>여러모로 부려먹고 있다고 한다."""
st_048160_0350#0,"""듣기로는 그를 사법으로 벌하긴 어려워서<br>죽는 게 낫다고 생각할만한 일을 시키고 있다<br>말했으니…… 짐작할 수 있겠지."""
st_048160_0360#0,"""아~ 진짜~…… 이렇게 갑자기 잔뜩<br>기부금을 보내봤자 분배하기 힘든데~!"""
st_048160_0370#0,"""내 일이 끝나지 않는 것도<br>예산안이 전~혀 정리되지 않는 것도<br>전~부 YMT 코퍼레이션 잘못이야~!"""
st_048160_0380#0,"""그, 오피엘 씨의 대우를 들어서인지는 모르겠지만<br>그 변태 사장인 아니에 하기토는 마음을 바로 잡고?<br>자선사업에 손을 댔다고 한다."""
st_048160_0390#0,"""학교에도 엄청나게 기부금을 보내는 건……<br>뭐랄까, 비즈니스적인 그다운<br>속죄법이라고 생각한다."""
st_048160_0400#0,"""좋~아……!<br>이쪽 사무 작업은 끝!"""
st_048160_0410#0,"""어!?<br>그렇게 소란스러웠는데도!?"""
st_048160_0420#0,"""그래서 나는 묵묵히 했잖아.<br>코오리는 집중력이 부족한 거야, 집중력이."""
st_048160_0430#0,"""에에에~……<br>그런 상황에서 집중하라니 무리~……"""
st_048160_0440#0,"""나는 이미 익숙해졌어."""
st_048160_0450#0,"""누나!<br>아직 안 갔지!?"""
st_048160_0460#0,"""알~, 복도는 뛰면 안돼.<br>몇 번이나 말했잖아."""
st_048160_0470#0,"""……히츠기를 닮았을 뿐이라 생각해."""
st_048160_0480#0,"""시끄럽네.<br>그래서 알. 어땠어, 첫 등교의 감상은?"""
st_048160_0490#0,"""어, 어어……!<br>엄청 즐겁고…… 그리고<br>엄청…… 기뻐!"""
st_048160_0500#0,"""그렇지? 억지로 초등부에<br>편입시켰으니까<br>친구 100명 정도 만들어야 된다."""
st_048160_0510#0,"""응! 마더 몫도 생각해서<br>200명 정도 친구 만들어올게!"""
st_048160_0520#0,"""알은 이쪽에 남았다.<br>우리가 그렇게 바란 것 이상으로<br>……알이 그러길 바랐으니까."""
st_048160_0530#0,"""그럼, 알, 「갈」까."""
st_048160_0540#0,"""응!"""
st_048160_0550#0,"""아, 그러면 나도 같이……"""
st_048160_0560#0,"""넌 네 일부터 마치고 말이야."""
st_048160_0570#0,"""히~잉……!"""
st_048160_0580#0,"""가자, 누나!"""
st_048160_0590#0,"""응."""
st_048160_0600#0,"""아크스는…… 아크스 쉽은 그 후<br>그대로 저쪽 세계에 머물렀다."""
st_048160_0610#0,"""이쪽 세계는 다 지켜냈다고 판단한 건지<br>환창종의 대처 때를 빼면<br>과도한 간섭을 피하게 되었다."""
st_048160_0620#0,"""그래서 그 뒤로 계속 만나지 못했다.<br>나도 이쪽에서 해야할 일이<br>잔뜩 있어서 꽤나 만나러 가지 못했다."""
st_048160_0630#0,"""……이쪽이 바쁘단 걸 알아서인지<br>저쪽에서 만나러 오는 일도 없었다."""
st_048160_0640#0,"""그 점에선 좀<br>눈치 있게 해줬으면 좋았을텐데…… 뭐 좋아."""
st_048160_0650#0,"""그 편이 깜짝 놀라줄테니까."""
st_048160_0660#0,"""……좋아."""
st_048160_0670#0,"""아앗, 예약 없이 관리실에 들어오는 건……<br>……아니, 히츠기 씨!? 알도!"""
st_048160_0680#0,"""우와~, 우와우와우와~! 오랜만이에요!<br>무슨 일이신가요 오늘은, 갑자기 오시다니!<br>말씀해주시면 배웅나갔을텐데!"""
st_048160_0690#0,"""……아, 그 얼굴.<br>왠지 목적을 알 것 같네요."""
st_048160_0700#0,"""그러면 얼른 대면!"""
st_048160_0710#0,"""어, 이렇게 갑자기!?"""
st_048160_0720#0,"""아, 어…… 그…… 아아아~<br>뭔 말을 하려고 했더라, 나!"""
st_048160_0730#0,"""에이, 이제 자잘한 건 됐어!"""
st_048160_0740#0,"""<%me>! 기다렸지!<br>같이 모험하러 가자!"""
