name01#0,"""환창조신"""
name02#0,"""？？？"""
st_048150_0001#0,"""A.D.2028/4/25/17:00"""
st_048150_0010#0,"""하아아아아아아앗!"""
st_048150_0020#0,"""헉…… 허억…… 허억……!"""
st_048150_0030#0,"""이해…… 할 수 없다……"""
st_048150_0040#0,"""왜…… 창조를, 신생을 거부하는가.<br>그 앞에 기다리고 있는 건…… 멸망뿐.<br>알고 있을 터다, 인류."""
st_048150_0050#0,"""거절하는 게 아니야.<br>그저 널 의지하지 않아도 인간은……<br>우리는 스스로 걸어갈 수 있으니까."""
st_048150_0060#0,"""……저기, 신님. 우리 인류는<br>신처럼 완벽하지 않고 틀리기도 해.<br>보고 있으면 답답한 일 투성이일 거야."""
st_048150_0070#0,"""그래도…… 그래도 여기까지 해왔어.<br>틀리고 틀리고 틀리고 틀리고……<br>찾아낸 미래가 지금 이때야."""
st_048150_0080#0,"""그러니까…… 지켜봐줘, 신님.<br>우리가 가는 그 끝을…… 미래를……!"""
st_048150_0090#0,"""신조차도 넘어서…… 만드는 미래……<br>흐, 하하…… 하하하하하……!<br>……그야말로 상상도 할 수 없는 미래군."""
st_048150_0100#0,"""허나…… 신은 불멸.<br>인간이 원하면 나는 다시 구현된다."""
st_048150_0110#0,"""그렇다면 그럴 때마다<br>인간의 힘이란 걸 보여줄게.<br>신을 의지하지 않아도 괜찮다는 걸 말이야."""
st_048150_0120#0,"""……그건, 인류의 의지인가?"""
st_048150_0130#0,"""……아니.<br>이건 내……<br>야사카 히츠기의, 의지야."""
st_048150_0140#0,"""……좋다.<br>다음에 내가 형태를 갖출 그때까지<br>……이 별이 가는 길을 맡기도록 하지."""
st_048150_0150#0,"""……엔가."""
st_048150_0160#0,"""아뎀.<br>너에게만 보이는 세계도<br>분명 있었겠지."""
st_048150_0170#0,"""하지만 그렇게 간단히 멸망하진 않는다고, 지구는.<br>우리는 확실히 어리석을지도 모르지만<br>지나치다고는 생각하지 않아."""
st_048150_0180#0,"""뭐, 일단, 우리에게 맡겨둬.<br>어떻게든 된다고, 이런 건."""
st_048150_0190#0,"""……내가 남긴 에테르의 잔재는<br>신의 형태를 하고 닥쳐오겠지."""
st_048150_0200#0,"""그것과 매번 싸우게 되겠지만……<br>그거야말로 상상도 안 가는군."""
st_048150_0203#0,"""……아니, 그걸로 끝나진 않아.<br>내 수만년에 걸친 절망을 받아서<br>더 강하게, 더 흉악하게 구현될 거야."""
st_048150_0206#0,"""창조보다도, 더욱 파괴의 의지를 구현한<br>강력하고 무자비한 신의……"""
st_048150_0210#0,"""신경쓰지마.<br>그 정도는 다 생각했어.<br>널 쓰러뜨린 우리를 믿어."""
st_048150_0220#0,"""……그렇게 할게.<br>수고를 끼치네, 엔가."""
st_048150_0230#0,"""……그러게 말이다, 아뎀."""
st_048150_0240#0,"""알!"""
st_048150_0250#0,"""난 괜찮아.<br>하지만, 마더는……"""
st_048150_0260#0,"""마더…… 우리를 위해서……?"""
st_048150_0270#0,"""……아니. 원래 이 몸은 다했었다.<br>지금 여기 있는 것은 기적의 구현에 불과하지.<br>그렇기에 너희가 근심할 필요는 없다."""
st_048150_0280#0,"""이러면 됐던 것이다.<br>신의 손도, 어머니의 손도 벗어나……<br>아이들이 자기 발로 걸어나간다."""
st_048150_0290#0,"""그거야말로 지구의 새로운 단계.<br>너희가 만들어야할 미래다."""
st_048150_0300#0,"""<%me>.<br>나는, 오리지널처럼 될 수 있었던 걸까.<br>……시온처럼, 될 수 있었던 걸까."""
st_048150_0310#0,"""마더는 마더야"""
st_048150_0320#0,"""마치 시온 같아"""
st_048150_0330#0,"""……그래.<br>그렇다면, 내 복수도…… 이걸로 끝이다."""
st_048150_0340#0,"""이제 괜찮아.<br>가끔 틀리기도 하지만 분명 괜찮아.<br>이 별은, 우리는 괜찮으니까……!"""
st_048150_0350#0,"""……느긋하게 쉬어, 마더."""
st_048150_0360#0,"""히츠기……"""
st_048150_0370#0,"""괜찮아, 멈춰설 생각은 없어."""
st_048150_0380#0,"""……다들 돌아가자.<br>우리가 있어야할 곳으로."""
