name01#0,"""환창조신"""
name02#0,"""？？？"""
st_048130_0180#0,"""…여긴, 어디?<br>아까까지 있던 곳이랑 달라."""
st_048130_0190#0,"""기분 좋은 바람과 포근한 빛…<br>…이런 환경, 현실감이 없어."""
st_048130_0200#0,"""…그렇겠지.<br>이곳은 나의 정원. 인간의 몸에는 과분한 곳이다."""
st_048130_0210#0,"""!?<br>누, 누구!"""
st_048130_0220#0,"""불손한 말이구나, 인간의 아이여.<br>불러 놓고도 다시 내게 누구냐 묻는 것이냐."""
st_048130_0230#0,"""…설마, 네 녀석이."""
st_048130_0240#0,"""…그러하다.<br>나는 이 별과 우주를 창조한 존재이자<br>이 우주 그 자체이다."""
st_048130_0250#0,"""아뎀의 몸을 그릇으로 신을 내린다는 게<br>그런 소리였나…!"""
st_048130_0260#0,"""하지만 우주의 창조신 등장이라니<br>갑자기 너무 터무니없어졌잖아."""
st_048130_0270#0,"""…뜻밖의 형태이긴 하나<br>이렇게 형태를 얻었으니<br>이 몸의 역할을 다할 수밖에 없지."""
st_048130_0280#0,"""이 땅, 이 별을 양식으로 삼아<br>자, 새로운 우주의 창조를 시작하겠노라."""
st_048130_0290#0,"""별을 양식으로 창조라니… 지구를 부술 생각!?"""
st_048130_0300#0,"""지금의 인류, 이 별과 이 우주에게는 그렇다.<br>허나 걱정할 필요는 없다. 다시 태어난 우주는<br>새로운 인류가 이어 나갈 것이니."""
st_048130_0310#0,"""끝난 세계는 양식으로서의 가치밖에 없으며<br>그것을 인간이 원한다면…<br>나는 그것을 행할 뿐이다."""
st_048130_0320#0,"""그런 짓… 하게 두지 않아!"""
st_048130_0330#0,"""흠, 칼을 겨누는가.<br>창조의 신에게."""
st_048130_0340#0,"""아메노무라쿠모가… 사라졌어…!?<br>어째서…!"""
st_048130_0350#0,"""그것은 내 일부를 이용해 구현한 것.<br>내게 통할 리 없으며, 내 뜻에 따라 안개처럼<br>흩어진다. 그것이 도리일 터."""
st_048130_0360#0,"""…?<br>왜 힘이 흩어지지 않지?"""
st_048130_0370#0,"""…그렇군.<br>다른 우주, 다른 차원에서 온 방문자인가, <%me><br>그렇다면 내 관리 밖인 것도 도리."""
st_048130_0380#0,"""<%me><br>이 쇠락한 별을 위해<br>힘써 준 것에 감사한다."""
st_048130_0390#0,"""이 뒤는 창조신인 내가 이어받지.<br>느긋이 돌아가 주겠나."""
st_048130_0400#0,"""저것도… 내 세계의 것이 아니니.<br>함께 돌아가도록 해 주마."""
