name01#0,"""환창조신"""
name02#0,"""？？？"""
st_048130_0840#0,"""……끝이다."""
st_048130_0850#0,"""윽!"""
st_048130_0860#0,"""히츠기!"""
st_048130_0870#0,"""말도 안돼……!<br>그대는 <%me>!<br>어떻게 이쪽 세계로……!"""
st_048130_0880#0,"""<%me> 씨!"""
st_048130_0890#0,"""<%me>！"""
st_048130_0900#0,"""<%me>……!"""
st_048130_0910#0,"""이건…… 아메노무라쿠모……?<br>흩어졌을텐데 어떻게?"""
st_048130_0920#0,"""에테르를 다루는 거라면<br>환창조신보다 내가 능숙하지.<br>그뿐인 얘기다."""
st_048130_0930#0,"""아, 알까지!?<br>하지만 그 말투는…… 마더?"""
st_048130_0940#0,"""알의 승낙을 받아 일시적으로 신체를 빌렸다.<br>그보다 야사카 엔가, 와시노미야 코오리……<br>둘 다 내 손을 잡아라."""
st_048130_0950#0,"""그람!"""
st_048130_0960#0,"""내 구현무장까지……!"""
st_048130_0970#0,"""……저 자는 신이라고 하지만 그 기반은<br>아뎀이 이루어낸 에테르로 인한 구현화 현상.<br>그리하여 저것은 진짜 신이 아니다."""
st_048130_0980#0,"""그렇기에 인류의 힘으로 쓰러뜨려보거라.<br>그 힘으로, 그 마음의 모든 것을 담아서.<br>그걸 위한 장소는 나와 알이 유지하마."""
st_048130_0990#0,"""응, 알고 있어.<br>……그러니까 누나, 힘내!"""
st_048130_1000#0,"""지구의…… 우주의 구현인<br>내게 저항하려는 것인가, 인류."""
st_048130_1010#0,"""새로운 창조를, 다음 진화를 바라지 않고<br>네녀석들은 그저 퇴폐하는 것만을 바란다고……<br>그와 같은 어리석은 결론을 낸다는 것인가."""
st_048130_1020#0,"""……그건 틀렸어.<br>우리는 우리 발로 걷고 있어.<br>미래를 향해서, 확실하게!"""
st_048130_1030#0,"""걸려 넘어지거나, 뒤로 돌아가거나<br>틀린 방향으로 나아가기도 하지만<br>인류는 서서, 걸어가고 있다고!"""
st_048130_1040#0,"""멈춰설 때도 있어, 되돌아볼 때도 있어<br>틀렸다고 후회할 때도 있고……<br>돌이킬 수 없는 일도 잔뜩 있어."""
st_048130_1050#0,"""그래도 우리가 걸어온 이 길이<br>우리의 진화의 길이자 미래를 향한 길이야."""
st_048130_1060#0,"""그리고 아직 이 길은 앞으로 계속되고 있어……<br>그걸 누구든지 방해하게 두지 않겠어."""
st_048130_1070#0,"""설령 신이라고 해도!"""
st_048130_1080#0,"""신이 정한 미래를 거절하다니……<br>어리석다, 어리석어 어리석어, 실로 어리석구나."""
st_048130_1090#0,"""멸망하라, 인류.<br>멸망하라, 지구."""
st_048130_1100#0,"""내 창조의 실패는 새로운 창조로 되찾겠다.<br>네놈들을 말소하고 다시 만들어내겠다.<br>이 별을…… 이 우주를."""
st_048130_1110#0,"""지구는 네 장난감이 아니야"""
st_048130_1120#0,"""지구를 다시 만들 필요 따윈 없어"""
st_048130_1130#0,"""<%me>…… 가자!"""
st_048130_1140#0,"""고마워…… <%me>!"""
