name01#0,"""근위병"""
name02#0,"""？？？"""
st_048030_0001#0,"""A.D.2028/4/24/13:30"""
st_048030_0010#0,"""호위 감사드립니다.<br><%me> 씨."""
st_048030_0020#0,"""보답은 아니지만<br>한 번 저와 겨뤄 보지 않으시겠습니까?<br>조금 몸이 근질근질해 보이시거든요."""
st_048030_0030#0,"""…후후, 농담이랍니다.<br>아무리 저라도 때와 장소는 가리거든요.<br>지금은 싸울 때가 아니니까요."""
st_048030_0040#0,"""…히츠기 씨였나요?<br>눈빛이 좋아졌네요.<br>전에 만났을 때와는 다른 사람 같아요."""
st_048030_0050#0,"""히츠기 씨뿐 아니라 곁에 있던 분들도<br>모두 강하게 자신의 의지를 가지고 계시죠.<br>정말 인간다웠습니다."""
st_048030_0060#0,"""모든 것이 전부 <%me> 씨 덕분은 아니겠지만<br><%me> 씨가 있었기에 그런 표정을 짓게 된 거겠죠.<br>…훌륭한 일이라 생각합니다."""
st_048030_0070#0,"""사람의 의지가 지닌 강함과 눈부심, 아름다움을<br>…왜 믿지 못하는 걸까요."""
st_048030_0080#0,"""지금을 살아가는 사람은 자신의 손으로<br>앞으로 나아갈 수 있는데도…"""
st_048030_0090#0,"""…지진? 라스베가스에서?"""
st_048030_0100#0,"""살려, 줘…! 부엑!!"""
st_048030_0110#0,"""이건…!<br>사람이, 환창종으로…!?"""
st_048030_0120#0,"""…이 무슨 짓을.<br>아뎀… 이것이 바라던<br>진화의 형태라고 말하는 겁니까!"""
