name01#0,"""근위병"""
name02#0,"""？？？"""
st_048010_0001#0,"""A.D.2028/4/24/10:00"""
st_048010_0010#0,"""……으음, 아쉽네.<br>엔가나 다른 분들이라면 분명 내 말을<br>이해해줄 거라 생각했는데."""
st_048010_0020#0,"""지구의 미래를 생각해서 나온 경의 의견.<br>속물들에겐 꽤나 어려운 얘기겠죠."""
st_048010_0030#0,"""오피엘?<br>엔가나 아크스 분들을<br>모욕하는 건 봐줄 수 없어."""
st_048010_0040#0,"""그 사람들의 협력이 없었다면<br>여기까지 올 수 없었으니까 말이야.<br>감사를 해도 모자라지."""
st_048010_0050#0,"""……말이 지나쳤습니다.<br>부디 용서해주시길."""
st_048010_0060#0,"""이해해줬으면 됐어."""
st_048010_0070#0,"""아뎀 님!<br>아크스에서 아뎀 님의 동향에 대해<br>문의해왔습니다!"""
st_048010_0080#0,"""대답을 거절하는 건 용납할 수 없다는<br>강경한 문의였습니다……<br>아뎀 님, 대체 뭘……?"""
st_048010_0090#0,"""대답할 필요는 없어.<br>무언이야말로 내 의지를 확실히 표현하지."""
st_048010_0100#0,"""그보다 자네, 어스 가이드에 들어온지<br>얼마나 됐더라?"""
st_048010_0110#0,"""네……! 아뎀 님을 처음 뵌지<br>벌써 10년…… 근위로 선택받은지는<br>3년 4개월이 지났습니다!"""
st_048010_0120#0,"""그래, 10년……<br>별의 반짝임에 비하면 정말 한순간."""
st_048010_0130#0,"""하지만 사람에게 있어선 긴 시간이지.<br>……오래 종사해준데 감사하지."""
st_048010_0140#0,"""과, 과분한 말씀이십니다!<br>아뎀 님의 인도가 있었기에 새로운 힘<br>새로운 이치를 알 수 있었습니다!"""
st_048010_0150#0,"""이 몸, 이 힘, 당신을 위해서라면……!"""
st_048010_0160#0,"""나를 위해서……? 그건 아니야<br>네 힘도, 내 힘도, 모든 것은 지구를 위해.<br>지구의 새로운 진화를 위해서 있는 거지."""
st_048010_0170#0,"""……진화를 위해서, 말입니까?"""
st_048010_0180#0,"""그래…… 사람은, 지구는 바뀌어야만 해.<br>새로운 이치를 만들어내, 창세의 때를 부활시켜<br>낙원을 다시 이 곳에, 이 세계에……"""
st_048010_0190#0,"""그리고 그에 걸맞는 형태로<br>……사람은 진화해야만 하지."""
st_048010_0200#0,"""불완전한 내게 잘도 종사해줬어.<br>함께 완전한 것으로 진화하자."""
st_048010_0210#0,"""어…… 으, 커, 어어어어억!?<br>아아아 아뎀 니이이이이이이임!?"""
st_048010_0220#0,"""그릇이 버티지 못했나.<br>……진화란 어려운 것이네."""
st_048010_0230#0,"""……무엇을 하신 겁니까?"""
st_048010_0240#0,"""에테르를 불어넣어 그에 적합한<br>진화의 이미지를 구현해본 거야.<br>마더의 힘에 감사해야겠네."""
st_048010_0250#0,"""진화의 방향성은 틀리지 않았을테니까<br>시행 횟수를 늘려서 조절하는 수밖에 없나."""
st_048010_0260#0,"""육체의 강제진화…… 입니까……?<br>아뎀 경, 그걸 억지로 시행하면<br>뒤틀림이 생겨서 그릇이 버티지 못합니다만?"""
st_048010_0270#0,"""버티는 그릇도 때로 있는 법이야, 오피엘.<br>나는 지금까지 몇 번이나 봐왔으니 알고 있지."""
st_048010_0280#0,"""진화를 위해선 때로 희생도 생기는 법.<br>그건 어떤 일이든 마찬가지야."""
st_048010_0290#0,"""……자, 갈까 오피엘.<br>이 별을 새로 탄생시키기 위해."""
