name01#0,"""환창조신"""
name02#0,"""？？？"""
st_048130_0460#0,"""<%me>……!<br>그 사람을 어디로 보낸 거야!?"""
st_048130_0470#0,"""방문자는 있어야할 곳으로 돌려보냈다.<br>그 노고에 감사는 하나, 이것은 이쪽의 문제.<br>남은 건 내 우주를 다시 만드는 것뿐."""
st_048130_0480#0,"""……!"""
st_048130_0490#0,"""……이걸로, 끝인 거야?<br>……여기까지 노력해왔는데<br>이렇게 끝나는 게 내 결말이야?"""
st_048130_0500#0,"""그런 건…… 싫어……!<br>나는 아직 아무것도 이루지 못했어!"""
st_048130_0510#0,"""……그래, 야사카 히츠기.<br>아직 네겐 해야할 일이 있다."""
st_048130_0520#0,"""！！"""
st_048130_0530#0,"""뭐냐, 이 잡음은……?"""
st_048130_0540#0,"""……지구의 아이여. 내 자식들이여.<br>들리고 있는가, 내 목소리가."""
st_048130_0550#0,"""그 목소리…… 마더!?"""
st_048130_0560#0,"""내 안에 불순물…… 이라고……!<br>어느새……!"""
st_048130_0570#0,"""아직 이 별에 이름이 없고<br>달이란 것이 존재하지 않았을 때……<br>머나먼 옛날 일이다."""
st_048130_0580#0,"""……내 대부분은 달이 되었지만<br>내 일부는 지구와 하나가 되었다."""
st_048130_0590#0,"""그리고 네놈의 구현에 사용된 에테르.<br>그것 또한 내게서 태어난 것……<br>나는 네놈의 일부다, 지구 의지."""
st_048130_0600#0,"""창조의 신이 스스로를 부정할 순 없겠지?<br>네놈이 아무리 소망해도 난 없앨 수 없다."""
st_048130_0610#0,"""칫…… 부서진 별의 파편인가……"""
st_048130_0620#0,"""허나 이 몸의 주도권은 내게 있다.<br>잡음 따위 천천히 제거하면 된다."""
st_048130_0630#0,"""……일단은 사소한 일부터 처리한다."""
st_048130_0640#0,"""……알.<br>내 목소리가 들리는가."""
st_048130_0650#0,"""응, 들려, 마더……<br>내 안에 있는 거구나."""
st_048130_0660#0,"""이제 와서 내가 할 소리는 아니지만<br>야사카 히츠기를…… 아니, 지구를 구하기 위해<br>힘을 빌려주지 않겠나."""
st_048130_0670#0,"""응, 누나나 형이나<br>모두를 구할 수 있다면……<br>내 힘을 써줬으면 해."""
st_048130_0680#0,"""<%me>, 시에라.<br>지구와의 연결은 나와 마더가 만들게."""
st_048130_0690#0,"""그러니까 부탁해…… 다시 한 번 지구로……<br>모두를 도와서 지구를 구해줘!"""
st_048130_0692#0,"""알겠어"""
st_048130_0694#0,"""맡겨둬"""
st_048130_0700#0,"""……<%me> 씨.<br>꽤나 쉽게 승낙해버리네요.<br>어떻게 저쪽으로 갈 생각이에요?"""
st_048130_0710#0,"""액세스는 차단되어있고<br>좌표도 엉망으로 교란되어있어서<br>한동안은 전송도 못 할 것 같은데……"""
st_048130_0720#0,"""마음만으로는 어떻게 되지 않는 일도 있습니다.<br>……뭔가 방법은 있는 건가요?"""
st_048130_0730#0,"""그래도 방법이 있을 거야"""
st_048130_0740#0,"""이쪽에는 시에라가 있어"""
st_048130_0750#0,"""……그건 저에 대한 신뢰라고<br>받아들여도 되나요?<br>받아들여도 되겠죠!"""
st_048130_0760#0,"""흐, 흐흥!<br>여태까지 중에 최고의 칭찬이에요, 그거!"""
st_048130_0770#0,"""가장 처음에 말했잖아요!<br>저는 <%me> 씨를<br>서포트하기 위한 전속 내비게이터!"""
st_048130_0780#0,"""<%me> 씨가 바라신다면<br>뭐든지 해보이겠습니다!"""
st_048130_0790#0,"""떠올려주세요, 히츠기 씨나<br>코오리 씨가 이쪽에 왔던 때를."""
st_048130_0800#0,"""그녀들은 PSO2를 통해서 저쪽에서<br>이쪽으로 왔었습니다."""
st_048130_0810#0,"""그걸 이쪽에서 하면 되는 거에요!"""
st_048130_0820#0,"""원리는 알아냈습니다! 실물도 봤습니다!<br>분석도 됐고요! 연결도 있어!<br>그렇다면 못 만든다는 게 거짓말이겠죠!"""
st_048130_0830#0,"""이쪽에서 저쪽으로 갈 방법을!"""
