un_049010_0010#0,"""여, 여보세요.<br>들리시나요?"""
un_049010_0020#0,"""아, <%me> 씨.<br>잘 연결됐나 보군요, 다행이에요."""
un_049010_0030#0,"""이렇게 연락드린 것은<br>꼭 부탁드릴 일이 있어서입니다."""
un_049010_0040#0,"""<%me> 씨.<br>저와 1대1로 싸우지 않으시겠어요?"""
un_049010_0050#0,"""여러모로 진정되어 가고 있으니<br>이쯤에서 한 판 어떨까 해서요.<br>결투 신청입니다."""
un_049010_0060#0,"""휴이 씨와 클라리스 클레이스 씨에게도<br>권유해 봤지만, 시에라 씨에게<br>아크스 규정 등을 이유로 거절당했습니다."""
un_049010_0070#0,"""그 점에서 <%me> 씨는 아크스 규정에 얽매이지 않는<br>존재이니 거절하기 어렵지 않을까 해서요."""
un_049010_0080#0,"""아, 지금 당장이 아니어도 좋습니다.<br>기다리는 건 익숙하니까<br>준비와 각오가 되시면 찾아와 주세요."""
un_049010_0090#0,"""이봐요! 파레그 씨!<br>권유 금지! 그런 건 안 돼요!"""
un_049010_0100#0,"""어머어머, 시끄러운 분이 오셨군요.<br>그럼 기대하고 있겠습니다."""
un_049010_0110#0,"""아앗, 정말! 끊어버렸어!<br><%me> 씨!<br>지금 그 통신, 결투 신청이죠?"""
un_049010_0120#0,"""정말…!<br>강해 보이는 상대에게 닥치는 대로<br>도전장을 보내는 것 같아서 골치예요."""
un_049010_0130#0,"""무리해서 응할 필요는 없습니다.<br>그건 파레그 씨의 심심풀이니까요."""
un_049010_0140#0,"""뭐, <%me> 씨가<br>싸우고 싶으시다면 말리진 않겠지만…<br>…엄청나게 강하다고요, 저 사람."""
un_049010_0150#0,"""할 거라면…<br>정말로… 조심해 주세요."""
