Title#0,"""Создатель Фантомов"""
Explanation#0,"""惑星・地球の太平洋上において<br>強大な幻創種の反応を確認した。<br>地球各地から集めた膨大なエーテルにより<br>世界を創り変えようとしている。<br>アークス各員は、至急現地へと赴き<br>目標を撃破し、その目的を阻止せよ。<br>――――――――――――――――――――<br>クエストクリア可能回数/1回<br>最大与ダメージ制限/999999<br>失敗条件/任務の失敗、制限時間の経過"""
SimpleExplanation#0,"""Победите Деус ESC-A!"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
NpcComMsg1#0,"""Мы начнём операцию<br>по уничтожению Древа жизни,<br>которое растёт в центре<br>Фантомного континента,<br>появившегося в Тихом океане."""
NpcComMsg2#0,"""Если вы победите Бога фантомов,<br>контролирующего всё это,<br>то дерево должно исчезнуть<br>вместе с континентом.<br>Нас ждёт тяжелая битва,<br>будьте осторожны!"""
Area0S#0,"""Древо жизни"""
Area0L#0,"""Планета Земля - Древо жизни"""
Area1S#0,"""Верхушка Древа жизни"""
Area1L#0,"""Планета Земля - Верхушка Древа жизни"""
Area2S#0,"""Верхушка Древа жизни"""
Area2L#0,"""Планета Земля - Верхушка Древа жизни"""
Area3S#0,"""Верхушка Древа жизни"""
Area3L#0,"""Планета Земля - Верхушка Древа жизни"""
Area3S#1,"""Остров Пасхи"""
Area3L#1,"""Планета Земля - Остров Пасхи"""
QuestInfoPlanetName#0,"""Планета Земля"""
