Title#0,"""Творец Фантомов"""
Explanation#0,"""惑星・地球の太平洋上において<br>再び、超巨大幻創種の反応を確認した。<br>尋常ならざる巨大反応が観測されており<br>極めて危険な任務となるため、本任務は<br>熟練のアークスのみ出撃を許可する。<br>――――――――――――――――――――<br>プレイ可能回数1回、ランキングあり<br>最大与ダメージ制限/999999<br>失敗条件/任務の失敗、制限時間の経過、<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000全員累計5回の戦闘不能"""
SimpleExplanation#0,"""Победите Деус ESC-A!"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
NpcComMsg1#0,"""Мы начинаем операцию против<br>Бога фантомов, который вновь<br>появился в Тихом океане."""
NpcComMsg2#0,"""Наблюдается огромная активность,<br>которую мы никогда не наблюдали<br>раньше. Мы ожидаем, что это<br>будет очень опасный штурм."""
NpcComMsg3#0,"""Если вы объедените свои силы,<br>то, безусловно, сможете победить!<br>Пожалуйста, будьте осторожны!"""
Area0S#0,"""Древо жизни"""
Area0L#0,"""Планета Земля - Древо жизни"""
Area1S#0,"""Верхушка Древа жизни"""
Area1L#0,"""Планета Земля - Верхушка Древа жизни"""
Area1S#1,"""Остров Пасхи"""
Area1L#1,"""Планета Земля - Остров Пасхи"""
QuestInfoPlanetName#0,"""Планета Земля"""
TargetExplanation#0,"""Цель квеста [Победить Деус ESC-A Грация!]<br><br><c f0df60>Задание будет<c ff2020>провалено после пяти смертей во<c f0df60>всех группах<c>."""
