name_7224#0,"""ไซเทร"""
ssn_019170_002_0010#0,"""ขอบใจที่มานะ ขอแนะนำตัวอีกครั้งก็แล้วกัน"""
ssn_019170_002_0020#0,"""ชื่อไซเทร อยู่หน่วยเสบียงของเซ็นทรัลซิตี้ หน้าที่หลักๆ คือคอยดูแลเรื่องการส่งเสบียงให้กองทหารตอนที่พวกเขากำลังต้องการน่ะ"""
ssn_019170_002_0030#0,"""...สิ่งที่อยากให้ช่วยก็คือ จัดการศัตรูให้หน่อยน่ะ"""
ssn_019170_002_0040#0,"""แถวนี้เราต้องคอยรับมือกับศัตรูอยู่ตลอดเวลาที่พยายามขนส่งเสบียงเลย"""
ssn_019170_002_0050#0,"""ช่วงนี้มีศัตรูที่มีสัญลักษณ์ปรากฏตัวมากขึ้นเรื่อยๆ แถมพวกมันยังดุร้ายเป็นพิเศษด้วย"""
ssn_019170_002_0060#0,"""แล้วบังเอิญได้ยินเรื่องของเธอเข้าพอดี เลยหวังว่าจะช่วยจัดการเรื่องนี้ให้หน่อยน่ะ"""
ssn_019170_002_0070#0,"""ขอพึ่งพาให้ช่วยจัดการศัตรูพวกนั้นได้ไหม?"""
ssn_019170_002_0080#0,"""ตอนนี้มีรายงานว่าพบศัตรูที่มีสัญลักษณ์อยู่แถวๆ Regional Mag เยอะแยะเลย"""
ssn_019170_002_0011#0,"""ไง! สบายดีไหม?"""
ssn_019170_002_0021#0,"""ทางนี้มีเรื่องที่ไม่ค่อยเป็นไปตามแผนเท่าไหร่น่ะ..."""
ssn_019170_002_0031#0,"""ช่วงนี้มีศัตรูที่มีสัญลักษณ์ปรากฏตัวแถวนี้เยอะขึ้นเรื่อยๆ เลยน่ะสิ"""
ssn_019170_002_0041#0,"""ทำให้เราต้องคอยรับมือกับศัตรูตลอดเวลาที่พยายามจะขนส่งเสบียง..."""
ssn_019170_002_0051#0,"""ก็เลยอยากจะขอความช่วยเหลือจากเจ้าหน้าที่ ARKS ฝีมือดีอย่างเธอไงล่ะ"""
ssn_019170_002_0061#0,"""ไว้ใจให้ช่วยเรื่องนี้ได้... ใช่ไหม?"""
ssn_019170_002_0071#0,"""ตอนนี้มีรายงานว่าพบศัตรูที่มีสัญลักษณ์อยู่แถวๆ Region Mag เยอะแยะเลย"""
ssn_019170_002_0090#0,"""ขอบใจมากนะ!"""
ssn_019170_002_0110#0,"""อ๊ะ กลับมาแล้วเหรอ!"""
ssn_019170_002_0120#0,"""ต้องขอบคุณเลยนะ การขนส่งเสบียงของเราน่าจะง่ายขึ้นอีกหน่อยแล้วล่ะ"""
ssn_019170_002_0130#0,"""ขอบใจมากจริงๆ!"""
ssn_019170_002_0140#0,"""แต่ดูเหมือนว่าบางพื้นที่ก็ยังมีศัตรูที่มีสัญลักษณ์เพ่นพ่านอยู่อีกเยอะเลย"""
ssn_019170_002_0150#0,"""ถ้าไม่รังเกียจ จะดีใจมากเลยถ้าช่วยจัดการศัตรูให้เราอีกสักหน่อยน่ะ"""
ssn_019170_002_0160#0,"""ขอบใจเสมอเลยนะ!"""
ssn_019170_002_0300#0,"""เสบียงคือเส้นเลือดใหญ่ของการต่อสู้เลยนะ!"""
ssn_019170_002_0310#0,"""...แต่ตอนนี้เส้นเลือดใหญ่นั่นกำลังแย่นิดหน่อยน่ะ..."""
ssn_019170_002_0400#0,"""เสบียงคือเส้นเลือดใหญ่ของการต่อสู้! จะไม่ยอมให้ใครถูกตัดขาดจากเสบียงเด็ดขาด!"""
ssn_019170_002_0410#0,"""...น่าจะเป็นคำพูดเท่ๆ ประโยคเดียวที่หัวหน้าเคยพูดไว้แหละ"""
npc_menu_0010#0,"""แลกเปลี่ยน Seasonal Point (จนถึง $(0))"""
npc_menu_0030#0,"""Recycle Item (จนถึง $(0))"""
npc_menu_0040#0,"""ถามเกี่ยวกับ Seasonal Event"""
npc_menu_0050#0,"""ปิดเมนู"""
npc_menu_0060#0,"""Recycle Item (จนถึง $(0))"""
npc_menu_1010#0,"""เกี่ยวกับ Seasonal Event"""
npc_menu_1020#0,"""เกี่ยวกับศัตรูตามฤดูกาล"""
npc_menu_1040#0,"""เกี่ยวกับ Seasonal Regional Mag"""
npc_menu_2000#0,"""ไม่เป็นไร"""
