st_054160_0010#0,"""ハリエット様、総員配置につきました！"""
st_054160_0020#0,"""ありがとうございます。"""
st_054160_0030#0,"""まさか、守護輝士君が不在のタイミングに<br>こんなことが起きてしまうなんてねえ。<br>間が悪いというか、なんというか……"""
st_054160_0040#0,"""心配は無用です。<br>剣の巫女はこの時のために<br>いるのですから。"""
st_054160_0050#0,"""手が震えてるぞ、剣の巫女。<br>無駄に虚勢を張る必要もないだろう。"""
st_054160_0060#0,"""……よもや私の代で、とは考えます。<br>できれば、使いたくない力でした。"""
st_054160_0070#0,"""ですが、そのときが来たのであれば<br>この身この力、剣に捧げるのみです。"""
st_054160_0080#0,"""守護輝士がいらっしゃれば<br>心強かったのですが……"""
st_054160_0090#0,"""無い袖は振れないだろう。<br>……それよりも、来るぞ！"""
st_054160_0100#0,"""あ……あれが、紅き邪竜！？"""
st_054160_0105#0,"""魔神城よりも大きい……！"""
st_054160_0110#0,"""やれやれ、世界を滅ぼしたという伝承も<br>馬鹿には出来ないかもしれないね。"""
st_054160_0120#0,"""燐光……！<br>ブレスが来るぞ、結界展開！"""
st_054160_0130#0,"""無用です。"""
st_054160_0140#0,"""剣は言います。<br>あれを倒し、封じろと。<br>我が身はそれを為すための器であると。"""
st_054160_0150#0,"""……すぐに終わらせます。<br>皆さんは、どうか巻き込まれないよう。"""
st_054160_0152#0,"""ふっ！"""
st_054160_0154#0,"""くっ！"""
st_054160_0156#0,"""はああっ！"""
st_054160_0160#0,"""紅き邪竜、そして剣の巫女。<br>……双方ともに規格外だな。"""
st_054160_0170#0,"""各員、結界を維持。<br>相手は巫女に任せるとしても<br>決して紅き邪竜を逃がすなよ。"""
st_054160_0180#0,"""どうしたんだい、ハリエット。"""
st_054160_0190#0,"""……なぜでしょう。<br>かの邪竜を見ていると<br>胸騒ぎが止まらないのです。"""
st_054160_0200#0,"""胸騒ぎ、か。"""
