name01#0,"""휴날"""
st_054130_0010#0,"""이 얼마나……얼마나<br>압도적인 힘인가, 수호휘사……!"""
st_054130_0020#0,"""아니.<br>실험체들의 힘도 있었나……"""
st_054130_0030#0,"""훌륭하다……!<br>내가……졌다……!"""
st_054130_0040#0,"""<%me> 씨!<br>괜찮으세요!?"""
st_054130_0050#0,"""방금 그 힘은……"""
st_054130_0060#0,"""그보다 두 사람은……"""
st_054130_0070#0,"""저도 모르겠습니다……<br>반응은 다크 펄스 【거구】와<br>똑같았는데……"""
st_054130_0080#0,"""맞다, 멜폰시나 씨는……!"""
st_054130_0090#0,"""겟템하르트 씨는 이제 없습니다.<br>그리고 멜폰시나 씨도……"""
st_054130_0100#0,"""……어이, <%me><br>힘을 빌려준 답례를 해."""
st_054130_0110#0,"""어이, 시나.<br>둘 다 꼴이 말이 아니네."""
st_054130_0120#0,"""……그러게, 겟템하르트.<br>방패막이는커녕 이용당하기까지 하고<br>나 정말 꼴사납네."""
st_054130_0130#0,"""……하지만 끝났어.<br>수호휘사가 끝내 줬어."""
st_054130_0140#0,"""응, 보고 있었어.<br>역시 수호휘사라는 생각이 들었어.<br>……정말 고마워."""
st_054130_0150#0,"""여기까지 오느라 오래 걸렸네."""
st_054130_0160#0,"""그래, 오래 걸렸어."""
st_054130_0170#0,"""……조금 지쳤네.<br>쉬어도 모두 화내지 않겠지."""
st_054130_0180#0,"""하, 먼저 쉬고 있는 놈들이<br>불평하게 둘 것 같냐."""
st_054130_0190#0,"""……그럼 나도 쉴까."""
st_054130_0200#0,"""그래."""
st_054130_0210#0,"""……그럼 잘 있어, 겟템하르트."""
st_054130_0220#0,"""잘 가라, 시나."""
st_054130_0230#0,"""여기는 우리 종착점이야.<br>기록으로만 남은 시나와<br>이미 사라진 내 기억의 종착점."""
st_054130_0240#0,"""하지만 <%me><br>여기는 끝이 아니야.<br>아직 할 일이 남았잖아."""
st_054130_0250#0,"""에피메라와 마신성……<br>그게 이 세계를 갉아먹는 근원이야."""
st_054130_0260#0,"""베른에는 아직<br>마신성이 많이 남아 있을 겁니다."""
st_054130_0270#0,"""그걸 해결하지 않으면……<br>두 분을 볼 낯이 없겠죠."""
st_054120_0430#0,"""【거구】에게 먹힌 줄 알았던 내가<br>이번에는 수호휘사님의 힘이 되는 건가.<br>……하, 무슨 얄궂은 운명이냐."""
st_054120_0440#0,"""나베리우스에서 처음 만났을 때부터<br>같은 냄새가 난다고 생각했지만……<br>설마 한몸이 될 줄이야."""
st_054120_0450#0,"""이제 와서 이 상황을 따질 생각은 없어.<br>어차피 아카식 레코드의 변덕이겠지.<br>생각해 봐야 소용없어."""
st_054120_0460#0,"""……가져가, 내 힘을.<br>이 【거구】의 힘이 필요할 거야."""
st_054120_0470#0,"""……그리고 반드시 구해 내.<br>그 물러 터진 방식이 얼마나 통하는지 보여 줘."""
st_054120_0480#0,"""게, 겟템하르트 씨의 포톤이<br><%me> 씨 안으로……"""
st_054120_0490#0,"""아니, 이건……<br>【거구】의 반응!?"""
st_054120_0500#0,"""<%me> 씨……<br>맞죠?"""
st_054120_0510#0,"""하지만 그 모습은……<br>마치……다커!"""
st_054120_0520#0,"""크후, 후하하, 후하하하하!<br>나와 같은 힘을 얻은 건가!<br>상대로 부족함이 없다!"""
st_054120_0530#0,"""수호휘사, 역시 마지막은<br>나와 일대일 승부가 되겠구나!"""
st_054120_0540#0,"""혼자가 아니야"""
st_054120_0550#0,"""이쪽은 세 명이야"""
st_054120_0560#0,"""저희 마음을……맡기겠습니다."""
st_054120_0570#0,"""온 힘을 다해 박살 내 버려!"""
skit01#0,"""***"""
skit02#0,"""***"""
