st_054090_0002#0,"""비켜라앗!"""
st_054090_0004#0,"""……쓰러져!"""
st_054090_0006#0,"""하아……하아……!"""
st_054090_0010#0,"""적 반응이 모두 사라졌어요……<br>에르밀도 이미 없습니다."""
st_054090_0020#0,"""……그럼 여기에는 볼일 없어.<br>어서 황제 놈을 박살 내러 가자."""
st_054090_0030#0,"""네?<br>그, 죽은 사람들에게 마지막 인사라도<br>하지 않아도 괜찮나요……"""
st_054090_0040#0,"""그런 쓸데없는 짓을 할 시간은……<br>큭……! 콜록, 커헉!"""
st_054090_0050#0,"""게, 겟템하르트 씨!?"""
st_054090_0060#0,"""무리하지 마"""
st_054090_0070#0,"""조금은 쉬어야 해"""
st_054090_0080#0,"""하, 웃기지 마.<br>그건 죽으라는 말이나 다름없어."""
st_054090_0090#0,"""하, 웃기지 마.<br>쉰다고 나을 몸이 아니야."""
st_054090_0100#0,"""저희 몸은 마인병 실험 때문에<br>이미 만신창이입니다.<br>멈춰 있을 여유조차 없을 만큼요."""
st_054090_0110#0,"""하지만 그런 몸으로 계속 무리하면……"""
st_054090_0120#0,"""그래도 돼.<br>우리 목숨 따위 그 정도면 충분해."""
st_054090_0130#0,"""얼마나 오래 살았는지가 아니야.<br>어떻게 살았는지가 중요해."""
st_054090_0140#0,"""난 방금 베어 넘긴<br>저놈들처럼 되진 않아……!<br>오직 이 손으로 황제를 쓰러뜨린다!"""
st_054090_0150#0,"""걱정해 주는 건 고맙지만<br>……내 생각도 겟템하르트와 같아."""
st_054090_0160#0,"""게다가 마지막 인사를 하고 싶어도<br>이렇게 되면 누가 누군지 알 수 없고<br>……동료들이 이런 모습이라고 생각하고 싶지 않아."""
st_054090_0170#0,"""……두 분 다 몹시 화가 나 있어요.<br>저도 알 수 있을 정도로요."""
st_054090_0180#0,"""이런 끔찍한 짓을<br>그냥 둘 수는 없습니다.<br>……반드시 막아요."""
skit01#0,"""***"""
skit02#0,"""***"""
