name01#0,"""용감한 남자"""
name02#0,"""겁먹은 남자"""
name03#0,"""도망치려는 남자"""
st_054040_0010#0,"""하아, 하아!<br>쏟아져 나온 잡것들은<br>이게 전부냐!"""
st_054040_0020#0,"""……아, 아직 더 온다!<br>더는 안으로……아이들이 있는 곳까지……!<br>으, 으아아악!"""
st_054040_0030#0,"""안 돼……멈출 기미가 없어!<br>물러나지 않으면 휩쓸린다!"""
st_054040_0040#0,"""……물러설 수 있을 리 없잖아!<br>이 뒤에 뭐가 있는지<br>잊지 마라, 겁쟁이들아!"""
st_054040_0050#0,"""……읏!<br>맞아, 그랬지."""
st_054040_0060#0,"""애초에 내놓은 목숨이잖아!<br>이제 와서 아까워하지 마!<br>조금이라도 더 길동무로 삼아 주겠어!"""
st_054040_0070#0,"""이번에도 아슬아슬했어요!<br>서둘러 오길 잘했네요!"""
st_054040_0080#0,"""시나!?<br>그 녀석들은……!"""
st_054040_0090#0,"""안심해, 겟템하르트.<br>이분들은 우리 편이야!"""
st_054040_0100#0,"""겟템하르트으!?"""
st_054040_0110#0,"""무, 무슨 일이죠?<br>겟템하르트라는 이름에 무슨 문제라도 있나요?"""
st_054040_0120#0,"""아, 아뇨! 아무것도 아니에요!"""
st_054040_0130#0,"""생각은 나중에 하죠!<br>우선 이 상황부터 해결해요!"""
