st_054170_0002#0,"""흡!"""
st_054170_0004#0,"""어림없습니다!"""
st_054170_0006#0,"""지금입니다!"""
st_054170_0010#0,"""끝입니다, 붉은 사룡.<br>여기는 있을 곳이 아닙니다.<br>깊은 땅속에서 잠드십시오."""
st_054170_0020#0,"""이야, 훌륭하군, 검의 무녀.<br>아무리 붉은 사룡이라도<br>천적 앞에서는 꼼짝 못 하는군."""
st_054170_0030#0,"""……물론.<br>평범한 경우라면 말이지."""
st_054170_0040#0,"""그곳은 힘과 명성을 좇다가<br>성과 함께 무너진 자가<br>에피메라와 함께 잠든 곳."""
st_054170_0050#0,"""그 원통함, 그 원한……그 영혼!<br>받아 줄 그릇이 있다면 어떻게 될까?"""
st_054170_0060#0,"""아리사 님, 위험합니다!"""
st_054170_0070#0,"""……뭐라고!?"""
st_054170_0080#0,"""크악!"""
st_054170_0090#0,"""콜록, 콜록!<br>……검의 봉인이 통하지 않아?<br>다른 힘이 있는 건가……?"""
st_054170_0100#0,"""검의……무녀어……!<br>배신자……놈……!"""
st_054170_0110#0,"""이, 이 목소리는……!"""
st_054170_0120#0,"""루츠!<br>영혼을 붉은 사룡에 깃들게 한 건가!"""
st_054170_0130#0,"""오오오……하리엣……<br>루서……용서 못 해, 용서 못 해……!"""
st_054170_0140#0,"""나를 거스르는 자는 모두……!<br>이 힘으로 없애 주마……!"""
st_054170_0150#0,"""수호휘사!<br>돌아와 주셨군요!"""
st_054170_0160#0,"""오오오……수호휘사!<br>네놈도……네놈도 없애 주마……!"""
st_054170_0170#0,"""이게 붉은 사룡……?<br>하지만 이 느낌은……"""
st_054170_0180#0,"""……눈치챘나, 요정.<br>저 안에는 루츠의 영혼이 깃들어 있어.<br>에피메라의 힘으로 말이지."""
st_054170_0190#0,"""검의 무녀는 붉은 사룡의 힘을 봉인하지만<br>에피메라의 힘은 근원이 달라.<br>……전부 봉인하지 못하는 것도 당연하겠지."""
st_054170_0200#0,"""한때 세상을 무너뜨린 존재와<br>지금 세상을 무너뜨리려는 존재를<br>섞어 놓다니……너무하네요."""
st_054170_0210#0,"""그런데 완전히 봉인할 수 없다면<br>저걸 어떻게 해야 하나요?"""
st_054170_0220#0,"""……쓰러뜨릴 수밖에 없습니다.<br>그 몸을 산산이 베어 버리면<br>아무리 사룡이라 해도……!"""
st_054170_0230#0,"""숙부님의 영혼을 구하기 위해서라도……!<br>윽……!"""
st_054170_0240#0,"""무리하지 마"""
st_054170_0250#0,"""맡겨 둬"""
st_054170_0260#0,"""……하지만 제가 봉인하지 않으면<br>숙부님이 너무나 가엾습니다!"""
st_054170_0270#0,"""……잘 들어, 수호휘사, 검의 무녀."""
st_054170_0280#0,"""저놈에게서 에피메라의 힘을<br>떼어 낼 방법은<br>……딱 하나 있어."""
st_054170_0290#0,"""오라버니, 그건……"""
st_054170_0300#0,"""수호휘사, 사룡의 움직임을 막아.<br>검의 무녀는 봉인 준비와 지원을.<br>……거기까지 하면 나머지는 내가."""
st_054170_0310#0,"""……무슨 생각인가요?"""
st_054170_0320#0,"""에피메라 전문가만<br>할 수 있는 일을 할 뿐이야."""
st_054170_0330#0,"""설명할 시간이 없어.<br>움직여!"""
st_054170_0340#0,"""수호휘사, 물러나십시오!"""
st_054170_0350#0,"""검이여……재앙을 물리칠 빛의 사슬이 되어<br>꿈틀대는 악의를 속박하라! 빈드와!"""
st_054170_0360#0,"""안 됩니다……!<br>사룡과는 다른 힘이 속박을……!"""
st_054170_0370#0,"""소환으로 사라진 육체의 복원.<br>그리고 영혼의 정착……"""
st_054170_0380#0,"""……감히 이런 짓을 해 놓았군.<br>그건 내가 찾아냈고……<br>내가 버린 연구다!"""
st_054170_0400#0,"""영혼이 자리 잡을 곳은 이쪽이다!<br>붉은 사룡의 안이 아니야!"""
st_054170_0410#0,"""크, 크으으윽……!<br>누구 짓인지는 몰라도 웃기지 마.<br>그걸 다룰 수 있는 건……나뿐이다!"""
st_054170_0420#0,"""그걸……그걸 써야 할 대상은……!<br>그런 곳에 있지 않아!"""
st_054170_0430#0,"""……오라버니!"""
st_054170_0440#0,"""……봉인한 건가요?"""
st_054170_0450#0,"""……아닙니다.<br>검은 봉인이 완전하지 않다고 말합니다.<br>이래서는 잠시 시간을 버는 데 그칩니다."""
st_054170_0460#0,"""머지않아<br>붉은 사룡이 다시 나타날 겁니다."""
st_054170_0470#0,"""그때야말로 사룡을 쓰러뜨리고<br>숙부님의 영혼을 풀어 드려야 합니다……<br>너무나 가엾습니다."""
st_054170_0480#0,"""……윽!"""
st_054170_0490#0,"""오라버니!"""
st_054170_0500#0,"""……하리엣인가.<br>괜찮아, 나는……문제없어."""
st_054170_0510#0,"""루서 씨, 뭘 한 건가요."""
st_054170_0520#0,"""육체 소환에 따른 무한 재생을<br>술식에 손을 대 막았을 뿐이야.<br>사룡 자체의 힘은 그대로 남아 있어."""
st_054170_0530#0,"""게다가 에피메라의 힘으로<br>강화 술식까지 걸려 있었어……<br>단단히 각오하지 않으면 되레 당할 거야."""
st_054170_0540#0,"""후, 선뜻 고개를 끄덕이는군……<br>그래야 수호휘사답다고 해야 하나."""
st_054170_0550#0,"""……난 지쳤어.<br>조금 쉬게 해 줘."""
name01#0,"""레드 드래곤(루츠)"""
name02#0,"""？？？"""
