msc_014330_5010#0,"""핫!! 이얍, 가라"""
msc_014330_5020#0,"""후!"""
msc_014330_5030#0,"""윽!"""
msc_014330_5040#0,"""탓!"""
msc_014330_5050#0,"""핫!"""
msc_014330_5060#0,"""얏!"""
msc_014330_5070#0,"""후!"""
msc_014330_5080#0,"""큭!"""
msc_014330_5100#0,"""윽!"""
msc_014330_0010#0,"""……에!?"""
msc_014330_5110#0,"""우오오오오오!!"""
msc_014330_5120#0,"""큭!"""
msc_014330_5130#0,"""큭."""
msc_014330_0020#0,"""무, 무사하신가요…<br>다행이야…"""
msc_014330_0030#0,"""다행이야 라니… 어째서!?<br>어째서 나 같은걸 감싸준거야!"""
msc_014330_0040#0,"""마논은 내가 지킬게!<br>너는 그렌을 도와줘!"""
name01#0,"""에아리오 원정대 레인저"""
name02#0,"""에아리오 원정대 포스"""
name03#0,"""스티아 선발대 헌터"""
name04#0,"""스티아 선발대 파이터"""
