Npc_7001001#0,"""Манон"""
Npc_7002001#0,"""Аина"""
Npc_7002002#0,"""Аина"""
Npc_7003001#0,"""Гароа"""
Npc_7004001#0,"""Крофод"""
Npc_7005001#0,"""Бурудар"""
Npc_7006001#0,"""Ран"""
Npc_7007001#0,"""Лю Лин"""
Npc_7008001#0,"""Росса"""
Npc_7009001#0,"""Орандже"""
Npc_7195001#0,"""Сурона"""
Npc_7196001#0,"""Да Чуа"""
Npc_7197001#0,"""Шан Леи"""
Npc_7198001#0,"""Хороман"""
Npc_7199001#0,"""Гуиден"""
Npc_7200001#0,"""Карутевье"""
Npc_7201001#0,"""Сомья"""
Npc_7203001#0,"""Франме"""
Npc_7205001#0,"""Рабона"""
Npc_7206001#0,"""Миша"""
Npc_7207001#0,"""Ютирои"""
Npc_7208001#0,"""Куроше"""
Npc_7209001#0,"""Этеруна"""
Npc_7210001#0,"""Торавис"""
Npc_7211001#0,"""Шанди"""
Npc_7400001#0,"""Шанди"""
Npc_7417001#0,"""Дигхор"""
Npc_7418001#0,"""Беркман"""
Npc_7419001#0,"""Боно"""
Npc_7602001#0,"""Барри"""
Npc_7604001#0,"""Агри"""
Npc_7605001#0,"""Изи"""
Npc_7606001#0,"""Дари"""
Npc_7607001#0,"""Аджэ"""
Npc_7608001#0,"""Отто"""
Npc_7609001#0,"""Морие"""
Npc_7610001#0,"""Уэксу"""
Npc_7611001#0,"""Нандел"""
Npc_7612001#0,"""Хокси"""
Npc_7613001#0,"""Тоуэн"""
Npc_7617001#0,"""Раскина"""
Npc_7618001#0,"""Сеймар"""
Npc_7619001#0,"""Барме"""
Npc_7622001#0,"""Кенджинс"""
Npc_7623001#0,"""Норисимо"""
Npc_7632001#0,"""Лулу"""
Npc_7633001#0,"""Нико"""
Npc_7634001#0,"""Лоло"""
Npc_7635001#0,"""Сура"""
Npc_7636001#0,"""Вера"""
Npc_7637001#0,"""Джури"""
Npc_7638001#0,"""Арнест"""
Npc_7642001#0,"""Рал"""
Npc_7643001#0,"""Редджис"""
Npc_7645001#0,"""Руди"""
Npc_7646001#0,"""Бир"""
Npc_7648001#0,"""Фаин"""
Npc_7649001#0,"""Боджи"""
Npc_7653001#0,"""Матильда"""
Npc_7654001#0,"""Комьюна"""
Npc_7655001#0,"""Уезли"""
Npc_7656001#0,"""Сегретт"""
Npc_7657001#0,"""Адила"""
Npc_7658001#0,"""Радомагг"""
Npc_7660001#0,"""Стагги"""
Npc_7661001#0,"""Башиния"""
Npc_7662001#0,"""Датрей"""
Npc_7663001#0,"""Шарки"""
Npc_7664001#0,"""Хорньян"""
Npc_7667001#0,"""Неска"""
Npc_7687001#0,"""Трешис"""
Npc_7688001#0,"""Диментерна"""
Npc_7903001#0,"""Дарге"""
Npc_7904001#0,"""Да Чуа"""
Npc_7905001#0,"""Шамал"""
Npc_7906001#0,"""Шан Леи"""
Npc_7907001#0,"""Хосанья"""
Npc_7908001#0,"""Хороман"""
Npc_ArksTrainer#0,"""Инструктор ARKS"""
Npc_CounterQuest1#0,"""Историк ARKS"""
Npc_CounterSalon1#0,"""Сотрудник салона"""
Npc_CounterLab1#0,"""Специалист по усилению предметов"""
Npc_ClassCounter#0,"""Координатор классов"""
Npc_EmergencyCounter#0,"""Администратор срочных квестов"""
Npc_KitchenPolice#0,"""Продуктовый прилавок"""
Npc_Appraiser#0,"""Оценщик лаборатории предметов"""
Npc_MyShop#0,"""Приёмщик магазина игрока"""
Npc_ItemShop#0,"""Сотрудник магазина предметов"""
Npc_RecycleShop#0,"""Торговец предметами"""
Npc_Restaurant#0,"""Сотрудник уголка отдыха"""
Npc_MineralResearcher#0,"""Исследователь минералов ARKS"""
Npc_Communication#0,"""Сотрудник информационной поддержки ARKS"""
Npc_WeatherResearcher#0,"""Метеорологический исследователь ARKS"""
Npc_Telegraphist#0,"""Телеграфист ARKS"""
Npc_SeniorTelegraphist#0,"""Старший телеграфист ARKS"""
Npc_MagEngineer#0,"""Инженер-механик ARKS"""
Npc_MeleeInstructor#0,"""Наставник хантеров"""
Npc_MeleeInstructor2#0,"""Наставник файтеров"""
Npc_RangeInstructor#0,"""Наставник рейнджеров"""
Npc_RangeInstructor2#0,"""Наставник ганнеров"""
Npc_CasterInstructor#0,"""Наставник форсов"""
Npc_CasterInstructor2#0,"""Наставник тектеров"""
Npc_Seasonal#0,"""Исследователь аномальных явлений ARKS"""
Npc_MiniGame#0,"""ミニゲームNPC（仮）"""
