name_7440#0,"""Hatsukari"""
ssn_015490_0001#0,"""ยินดีต้อนรับสู่ Stia!"""
ssn_015490_0002#0,"""การเรียกตัวจาก Central ค่อนข้างกะทันหันไปหน่อย ขอโทษทีนะที่ไม่ได้มีการต้อนรับอย่างเป็นทางการ!"""
ssn_015490_0003#0,"""ฉันพูดแทนทุกคนไม่ได้หรอก แต่ฉันดีใจนะที่มีเธอมาอยู่กับเรา!"""
ssn_015490_0101#0,"""โย่! ฉันชื่อ Hatsukari เป็นผู้บัญชาการหมวดรบที่ 2 ของภูมิภาค Stia นี้"""
ssn_015490_0102#0,"""เธออาจจะยังไม่ค่อยชินกับที่นี่นัก แต่เธอก็ทำผลงานได้ดีเลย พูดตรงๆ นะ มันช่วยฉันได้มากเลยล่ะ"""
ssn_015490_0103#0,"""แต่ฉันพนันได้เลยว่ายังมีเรื่องของ Stia อีกเยอะที่เธอยังไม่รู้ ใช่ไหมล่ะ?"""
ssn_015490_0104#0,"""ฉันสามารถสอนเธอเกี่ยวกับศัตรูที่ร้ายกาจแถวนี้ได้นะ ถามมาได้เลย"""
ssn_015490_0201#0,"""พวกที่เรียกว่า 'Sonner' นี่เป็นตัวปัญหาของจริงเลย"""
ssn_015490_0202#0,"""จนกว่าเธอจะทำลาย 'Dazzle Pod' ใกล้ๆ ให้หมด ตัวหลักมันจะไม่ได้รับความเสียหายเลย..."""
ssn_015490_0203#0,"""ดังนั้นถ้าเธอเจอพวกมันเข้าล่ะก็ ต้องจัดการฝักพวกนั้นก่อนเลยนะ!"""
ssn_015490_0301#0,"""อืม... มีแผนจะไปที่อื่นงั้นเหรอ? ได้สิ ไว้ค่อยมาคุยกับฉันทีหลังแล้วกัน"""
