name_7440#0,"""Hatsukari"""
ssn_015610_0001#0,"""โย่! ยังทำผลงานได้ดีอยู่ใช่ไหม?"""
ssn_015610_0002#0,"""ฉันนึกว่าการต่อสู้จะเบาบางลงบ้างตั้งแต่ภารกิจเข้าไปในใจกลางของ Stia ซะอีก แต่ว่า..."""
ssn_015610_0003#0,"""รู้สึกเหมือนว่ามันจะยุ่งกว่าเดิมด้วยซ้ำไป ว่าไหมล่ะ?"""
ssn_015610_0004#0,"""ยังไงก็เถอะ มาร่วมมือกันและผ่านเรื่องนี้ไปให้ได้นะ"""
ssn_015610_0101#0,"""เฮ้! มาได้จังหวะพอดีเลยนะ"""
ssn_015610_0102#0,"""ถึงแม้ว่าศัตรูตัวเป้งจะถูกโค่นลงไปแล้ว แต่การต่อสู้ก็แทบจะไม่ลดลงเลย!"""
ssn_015610_0103#0,"""แต่ก็นะ ลูกทีมของฉันพร้อมลุยเสมอ ดังนั้นมันก็เลยไปได้สวย"""
ssn_015610_0104#0,"""ภารกิจของเราตอนนี้คือปฏิบัติการกวาดล้างศัตรูใน Dext Base"""
ssn_015610_0105#0,"""ที่นั่นยังเต็มไปด้วยศัตรูอยู่เลย"""
ssn_015610_0106#0,"""ว่าไงล่ะ? อยากจะมาร่วมแจมไหม?"""
ssn_015610_0201#0,"""เป้าหมายคือศัตรูใน Dext Base ไหวไหม?"""
ssn_015610_0202#0,"""ประเมินความแข็งแกร่งของตัวเองกับศัตรูให้ดี อย่าฝืนเกินไป แล้วเธอจะปลอดภัยแน่นอน"""
ssn_015610_0301#0,"""อ้าว ยุ่งอยู่หรอกเหรอ? ก็สมเหตุสมผลดี ฉันคงไม่ใช่คนเดียวที่พึ่งพาความช่วยเหลือของเธอหรอก"""
ssn_015610_0401#0,"""การต่อสู้ใน Stia ยังไม่จบลงหรอกนะ"""
ssn_015610_0402#0,"""แต่ก็ต้องขอบคุณเธอ มันดีกว่าเมื่อก่อนเยอะเลยล่ะ"""
ssn_015610_0403#0,"""พูดอีกอย่างก็คือ ตอนนี้สถานการณ์คงจะสูสีกันแล้วมั้ง ฮ่าๆๆ!"""
ssn_015610_0404#0,"""ฉันคาดหวังผลงานดีๆ จากเธออยู่นะ!"""
